slug,name,event_type,time_min_hours,time_max_hours,fit_ok,alpha,r2_loglog,n_points_fit,n_windows_in_range,track_anchor_to_t0_hours,r_min_fit,r_max_fit,y_min_fit,y_max_fit,note
hurricane_beryl_pre_landfall_2024,Hurricane Beryl Pre Landfall Disaster Maps June 30 2024,hurricane,24.0,72.0,1,0.678179719841405,0.15167316768739636,8,3,3.9166666666666665,165.0,235.0,0.026082843166451597,0.0513302976083545,
hurricane_ernesto_puerto_rico_14_august_2024,Hurricane Ernesto Puerto Rico 14 August 2024,hurricane,24.0,72.0,1,2.05892518112559,0.7922020941785644,12,3,3.0,75.0,185.0,0.006477123427317988,0.05804407421662683,
hurricane_john_southern_mexico_25_september_2024,Hurricane John Southern Mexico 25 September 2024,hurricane,,,0,,,0,0,35.75,,,,,t0_misaligned_vs_track_anchor
hurricane_milton_across_florida_us,"Hurricane Milton Across Florida, US",hurricane,24.0,72.0,1,-0.39929993052948454,0.26431229633107567,29,3,14.5,15.0,295.0,0.011245457211472187,0.1751916974191774,
tropical_storm_debby_united_states_pre_landfall_4_august_2024,Tropical Storm Debby United States Pre-landfall 4 August 2024,tropical_storm,24.0,72.0,1,-0.5705959400736148,0.05244175814088037,44,3,4.0,55.0,495.0,0.0001946057889681274,0.04576445877693458,
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,"Tropical Storm Kristine in Bicol and Calabarzon, Philippines",tropical_storm,24.0,72.0,1,-0.25180889781369203,0.016317677192828173,40,3,22.5,105.0,495.0,0.0023942381738126794,0.17992380407095665,
typhoon_yagi_across_northeastern_vietnam,Typhoon Yagi Across Northeastern Vietnam,typhoon,,,0,,,0,0,29.0,,,,,t0_misaligned_vs_track_anchor
