scheme_id,edges_km,winner_lo_km,winner_hi_km,winner_mid_km,winner_median_tau_hours,winner_n_tiles
0,"25.01,53.88,93.38,160.08",53.87730812886168,93.37612785491562,70.92851621399727,340.32173279875616,667
1,"22.31,39.02,101.51,279.60",39.021444995263224,101.51495084880875,62.9385420131706,356.0940649094068,1241
2,"22.11,42.82,113.03,218.66",42.815675283291434,113.02744875313088,69.5654119797541,358.45928748826327,1478
3,"25.67,39.62,99.27,237.97",0.0,25.66759720112493,12.833798600562465,346.1770948096176,171
4,"17.86,44.59,62.17,144.88",44.59488048778636,62.16949846150297,52.653977569375925,324.8933867427912,432
5,"15.78,47.15,72.84,214.03",47.14604963579318,72.84315482464197,58.60261933557525,320.3362662805729,522
6,"26.00,47.72,53.30,174.80",0.0,25.999143535178842,12.999571767589421,334.9859802752159,181
7,"24.70,51.44,68.21,177.48",51.43661391911058,68.2130738127433,59.23385469426981,320.3362662805729,346
8,"19.57,40.85,130.37,163.44",40.846195990883565,130.3723832062319,72.97407701533693,358.6628780768998,2188
9,"24.80,62.37,86.42,194.49",0.0,24.79756340713504,12.39878170356752,346.1770948096176,163
10,"25.70,50.80,73.62,203.84",50.80366252792206,73.6192270995394,61.15657257508349,324.49883691941034,443
11,"33.96,35.11,123.97,206.06",35.113359840976344,123.9670566330138,65.97650997121404,356.9727919123578,2028
12,"21.30,82.44,120.99,148.19",21.29576499330596,82.44464859219524,41.90133484001533,346.4525927943204,1171
13,"25.47,57.75,95.39,237.23",0.0,25.470091515649695,12.735045757824848,351.42529022808725,169
14,"24.59,59.08,143.28,168.92",0.0,24.58770435040571,12.293852175202854,348.8011925188524,160
15,"26.30,44.53,103.23,148.64",0.0,26.302407567004142,13.151203783502071,334.9859802752159,187
16,"21.63,47.61,125.19,266.30",47.606724021983425,125.1935768222397,77.20139934678222,355.2905277405512,1753
17,"17.96,40.99,117.55,121.54",117.55379300535648,121.5362315645349,119.5284276144734,315.5373426231934,134
18,"22.27,48.80,136.92,237.62",48.798582924769505,136.92371286175833,81.74156321267562,357.6656265057541,2232
19,"23.04,45.60,93.94,292.72",45.59869200021623,93.936717348458,65.44762365345059,345.817580614102,892
20,"22.46,46.34,109.21,194.05",109.21489474896804,194.05172656008654,145.57932165014157,359.02002738360295,1994
21,"23.80,37.85,99.71,179.01",37.8452781193572,99.71237772674502,61.42998182492864,356.5045393204072,1229
22,"33.46,58.87,99.40,236.37",33.461909729024654,58.86785175888151,44.38277527935019,351.440059125471,628
23,"22.96,65.04,99.87,231.40",22.963555986959776,65.04339061026326,38.64747782016925,347.56620046532777,917
24,"18.10,54.53,65.57,120.24",54.52683782663462,65.57005785708728,59.79404578263999,287.52446188071843,229
25,"23.17,39.93,104.19,350.55",39.926533525840526,104.1865856967217,64.49658290764725,358.30140714720034,1301
26,"20.31,42.78,105.27,226.23",42.77856283701006,105.26923092556284,67.10638129084977,354.5069299656279,1264
27,"23.92,47.49,119.20,227.76",47.491009662560835,119.19799389720905,75.23850795922407,354.8647063552885,1513
28,"19.31,49.02,100.89,153.65",49.01996557200231,100.88607381423647,70.3237645825958,352.422607637831,953
29,"26.68,40.35,127.51,209.87",0.0,26.677902473892246,13.338951236946123,333.8622763714834,190
30,"25.56,43.13,97.08,121.37",43.13203175354215,97.07828647160139,64.70845180246992,345.817580614102,1032
31,"18.84,54.75,58.73,247.14",54.74756841644559,58.73456678731526,56.70603771732632,273.55414681348014,95
32,"16.16,60.41,80.95,243.00",60.413200421934185,80.94710589856746,69.930492149174,339.7356484923183,299
33,"25.83,34.05,136.65,286.79",0.0,25.831989494345414,12.915994747172707,344.2025144130501,177
34,"24.59,46.69,96.08,156.73",46.69065032162863,96.08213941063224,66.9786352009042,348.3814879123575,903
35,"32.90,43.65,98.73,164.02",43.6542229144255,98.72839379363336,65.64991478022233,353.0796479681226,1053
36,"21.38,36.33,136.93,192.44",36.328106213044656,136.92557286074324,70.52834007806412,359.4126773468141,2572
37,"31.83,50.17,84.06,184.31",50.16683518358766,84.0632342274597,64.93986769688013,333.7487068635744,580
38,"21.73,50.10,91.04,185.55",50.099587785586955,91.04496233332979,67.53750871074617,344.87520055290986,699
39,"17.71,40.87,151.21,169.10",0.0,17.711818946522353,8.855909473261177,354.0066807095934,72
40,"19.21,54.40,139.05,142.16",139.0469006444932,142.16498308403567,140.59729826000202,337.53345969775165,99
41,"23.73,42.69,64.39,240.34",42.691928187535574,64.38722973497197,52.42914254534188,324.8933867427912,520
42,"24.85,50.90,82.86,224.08",50.90104564663165,82.85501870824162,64.94156672979739,325.2879365661721,549
