slug,alpha_mono,n_mono,alpha_full,n_full,alpha_full_wls,r2_mono,r2_full,r2_full_wls,status
flooding_in_central_and_eastern_europe_sept_16_2024,-0.014878197323548087,6,-0.03623081158039498,7,-0.012507599300843955,0.14082254965527652,0.329386257075744,0.08050549741230062,ok
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,0.7412300746592427,6,0.5263211984614026,13,0.5827408706846593,0.9787072412745618,0.8761134246780947,0.9446944292961379,ok
hurricane_beryl_across_southeastern_texas_us,0.8001103007909469,6,0.5752354116605234,14,0.6393783040252623,0.99008402077699,0.8126257747002348,0.9346964043590797,ok
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,0.3873447555457084,9,0.4200806329300112,13,0.35289552441135,0.8943490655993533,0.9215185943867654,0.9175950606005122,ok
park_fire_california_29_july_2024,0.22263452531866407,5,-0.05462935222359245,12,0.006284503086553083,0.710898435813511,0.06849491117827422,0.0017188234663830793,ok
spain_flood,0.05753786648193489,4,0.03591129757121654,5,0.036858535886986565,0.8131357693611689,0.46815466421164054,0.6446792156180172,ok
the_earthquake_across_central_mexico,0.24428962528911286,3,0.24428962528911286,3,0.23387662557626238,0.9450504889193666,0.9450504889193666,0.9649188666683178,ok
the_flooding_across_bagmati_and_koshi_provinces_nepal,1.215462091736481,5,0.045830808324079424,14,0.5521175068199298,0.944199067047627,0.0019099477466837378,0.4055289978020641,ok
the_flooding_across_rio_grande_do_sul_state_brazil,0.38957619948066224,3,0.42205437224657316,18,0.2952401349181112,0.9316519498034503,0.7191596286206976,0.656363609384963,ok
the_wildfires_in_quito_pichincha_province_ecuador,0.4242021835762336,4,0.32837955324359686,13,0.2809370224773568,0.6809807649039861,0.44453822970930856,0.571119729873822,ok
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,0.7109067116199009,4,-0.0031820019639469312,11,0.2667582228027891,0.9425686776919282,5.2905625851362714e-05,0.3324518230085445,ok
tropical_storm_yagi_philippines_2_september_2024,0.46725800107111964,8,0.1451524369182173,14,0.30842891791391713,0.9342228197739663,0.09655302477624017,0.5873132925891501,ok
turkiye_earthquake_2023,0.2228386744457223,4,0.06225677395367739,34,0.10152495040056952,0.9593725850264299,0.41516193807126756,0.7797162601945129,ok
typhoon_krathon_across_taiwan,0.10129978589277557,4,0.003388635595193885,11,0.010258998211633319,0.948745116262028,0.00026677839007438475,0.006824335443324836,ok
typhoon_yagi_across_northeastern_vietnam,0.5223034173699458,5,0.4491092900706157,10,0.44423493640373435,0.9554191237720306,0.9004516503763178,0.9521352269082552,ok
