slug,alpha_mono,n_mono,alpha_full,n_full,alpha_full_wls,r2_mono,r2_full,r2_full_wls,status
cambodia_monsoon_season_study_2024_05_09,,2,-0.16209468393854626,35,-0.1171573589293403,,0.14228345392128183,0.13155371829535412,ok
flooding_in_central_and_eastern_europe_sept_16_2024,,2,0.008630959606050986,37,-0.02584568592582358,,0.0010948324582922275,0.0098579029845689,ok
hurricane_john_across_southeastern_guerrero_mexico,,0,,0,,,,,ok
hurricane_john_southern_mexico_25_september_2024,,2,0.11755446971207958,6,0.1304627995813844,,0.1627174621632843,0.19755373510493213,ok
moldova_flooding_2024,0.9572903177853052,3,0.019927693645514197,37,0.0038344527302209353,0.8794672098655322,0.0029005952552239034,0.00016526897929602935,ok
spain_flood,,2,0.24351356624701448,13,0.3240635266532977,,0.16797358064398038,0.27916533752716544,ok
the_earthquake_across_central_mexico,0.4251421748542572,8,0.4095184793930301,10,0.39827507848054916,0.7482878336367216,0.7727105709189981,0.8549372367882884,ok
the_wildfires_in_quito_pichincha_province_ecuador,0.7804941327885703,3,0.41312562721253565,40,0.36244884530923804,0.8602030926082725,0.5093285653723709,0.6070248848148885,ok
tropical_storm_debby_united_states_pre_landfall_4_august_2024,,1,-0.14502986929900502,38,-0.07080284580962949,,0.27039720293207836,0.1352694281827297,ok
turkiye_earthquake_2023,0.2553451872320688,9,0.04373009854588502,100,0.08812386187902614,0.8215701654505426,0.13581014502168853,0.5369177109164529,ok
typhoon_krathon_across_taiwan,0.2727008093973827,10,0.2727008093973827,10,0.19839180188845057,0.5967348920575782,0.5967348920575782,0.5214695614594307,ok
typhoon_yagi_across_northeastern_vietnam,1.0025312947096547,3,0.42174529850364123,29,0.45439666023215824,0.999528289789404,0.645549467994734,0.7763659493070194,ok
wildfires_in_boise_county_idaho_27_august_2024,,2,0.0425580211534091,23,0.025370729898745843,,0.025824819620244743,0.011798763306549498,ok
