distance_band,n_windows,P_max,t_at_P_max,P_min,t_at_P_min,t_flip_start,t_flip_end,P_flip_start,P_flip_end
0-25km,0,,,,,,,,
25-50km,0,,,,,,,,
0-50km,0,,,,,,,,
50-100km,32,0.1089273817334541,640.0,-0.003827479569203,16.0,-8.0,16.0,0.0248154893242815,-0.003827479569203
100-200km,32,0.074684572714427,496.0,-0.2396797598276332,256.0,304.0,328.0,-0.1960158847953863,0.0462800961599478
200km+,31,0.0904816997410171,-8.0,-0.1702957874274202,352.0,-8.0,40.0,0.0904816997410171,-0.0446428385424471
