window_start_pt,hours_since_quake,only_hour_pt,distance_band,n_od,F_r,F_total,P,A,reliable
2024-06-30 08:00:00,-8.0,8,0-25km,0,0.0,0.0,,,False
2024-06-30 08:00:00,-8.0,8,0-50km,17,97.32262291349134,256.0,0.38016649575582556,0.38016649575582556,False
2024-06-30 08:00:00,-8.0,8,100-200km,43,-24.095748084322803,616.0,-0.0391164741628616,0.0391164741628616,True
2024-06-30 08:00:00,-8.0,8,200km+,51,75.82366438297238,838.0,0.0904816997410171,0.0904816997410171,True
2024-06-30 08:00:00,-8.0,8,25-50km,17,97.32262291349134,256.0,0.3801664957558255,0.3801664957558255,False
2024-06-30 08:00:00,-8.0,8,50-100km,98,34.791316032642754,1402.0,0.0248154893242815,0.0248154893242815,True
2024-07-01 08:00:00,16.0,8,0-25km,0,0.0,0.0,,,False
2024-07-01 08:00:00,16.0,8,0-50km,0,0.0,0.0,,,False
2024-07-01 08:00:00,16.0,8,100-200km,59,-100.13860188574378,1102.0,-0.0908698746694589,0.0908698746694589,True
2024-07-01 08:00:00,16.0,8,200km+,3,-11.263943682388197,33.0,-0.3413316267390363,0.3413316267390363,False
2024-07-01 08:00:00,16.0,8,25-50km,0,0.0,0.0,,,False
2024-07-01 08:00:00,16.0,8,50-100km,172,-11.199205219488135,2926.0,-0.003827479569203,0.003827479569203,True
2024-07-02 08:00:00,40.0,8,0-25km,0,0.0,0.0,,,False
2024-07-02 08:00:00,40.0,8,0-50km,16,88.24636333673136,281.0,0.3140439976396134,0.3140439976396134,False
2024-07-02 08:00:00,40.0,8,100-200km,106,-271.0131687740169,1868.0,-0.1450819961317007,0.1450819961317007,True
2024-07-02 08:00:00,40.0,8,200km+,108,-87.45532070465399,1959.0,-0.0446428385424471,0.0446428385424471,True
2024-07-02 08:00:00,40.0,8,25-50km,16,88.24636333673136,281.0,0.3140439976396134,0.3140439976396134,False
2024-07-02 08:00:00,40.0,8,50-100km,352,144.00775744247187,6679.0,0.021561275257145,0.021561275257145,True
2024-07-03 08:00:00,64.0,8,0-25km,0,0.0,0.0,,,False
2024-07-03 08:00:00,64.0,8,0-50km,11,101.90233350591296,199.0,0.5120720276679044,0.5120720276679044,False
2024-07-03 08:00:00,64.0,8,100-200km,112,-355.3899708941225,2138.0,-0.1662254307269048,0.1662254307269048,True
2024-07-03 08:00:00,64.0,8,200km+,101,38.718640037478345,1770.0,0.0218749378742815,0.0218749378742815,True
2024-07-03 08:00:00,64.0,8,25-50km,11,101.90233350591296,199.0,0.5120720276679043,0.5120720276679043,False
2024-07-03 08:00:00,64.0,8,50-100km,334,307.5197824367956,6480.0,0.0474567565488882,0.0474567565488882,True
2024-07-04 08:00:00,88.0,8,0-25km,0,0.0,0.0,,,False
2024-07-04 08:00:00,88.0,8,0-50km,14,47.33022144907984,219.0,0.2161197326442002,0.2161197326442002,False
2024-07-04 08:00:00,88.0,8,100-200km,112,-274.7383134615018,2100.0,-0.1308277683150008,0.1308277683150008,True
2024-07-04 08:00:00,88.0,8,200km+,122,44.26944378020046,2194.0,0.0201775040019145,0.0201775040019145,True
