window_start_pt,hours_since_quake,only_hour_pt,distance_band,n_od,F_r,F_total,P,A
2024-07-10 08:00:00,232.0,8,50-100km,323,370.43256456755773,6026.0,0.06147238044599365,0.06147238044599365
2024-07-10 08:00:00,232.0,8,100-200km,104,-363.7357086569781,1991.0,-0.18268995914463992,0.18268995914463992
2024-07-10 08:00:00,232.0,8,200km+,145,-24.783004376852514,2609.0,-0.009499043456056924,0.009499043456056924
2024-07-11 08:00:00,256.0,8,0-25km,0,0.0,0.0,,
2024-07-11 08:00:00,256.0,8,25-50km,14,97.19421773417137,243.0,0.39997620466737194,0.39997620466737194
2024-07-11 08:00:00,256.0,8,50-100km,328,312.703080255443,6001.0,0.05210849529335827,0.05210849529335827
2024-07-11 08:00:00,256.0,8,100-200km,106,-462.8216162271598,1931.0,-0.23967975982763323,0.23967975982763323
2024-07-11 08:00:00,256.0,8,200km+,139,-31.731140635680287,2503.0,-0.012677243561997717,0.012677243561997717
2024-07-12 08:00:00,280.0,8,0-25km,0,0.0,0.0,,
2024-07-12 08:00:00,280.0,8,25-50km,16,69.87971364171749,239.0,0.292383739086684,0.292383739086684
2024-07-12 08:00:00,280.0,8,50-100km,325,258.25945305748155,6235.0,0.04142092270368589,0.04142092270368589
2024-07-12 08:00:00,280.0,8,100-200km,104,-286.7759378587902,1997.0,-0.14360337399038067,0.14360337399038067
2024-07-12 08:00:00,280.0,8,200km+,148,-192.57134995634394,2800.0,-0.0687754821272657,0.0687754821272657
2024-07-13 08:00:00,304.0,8,0-25km,0,0.0,0.0,,
2024-07-13 08:00:00,304.0,8,25-50km,10,69.13767698839477,123.0,0.5620949348649982,0.5620949348649982
2024-07-13 08:00:00,304.0,8,50-100km,210,336.39447211180527,3367.0,0.0999092581264643,0.0999092581264643
2024-07-13 08:00:00,304.0,8,100-200km,74,-254.6246343492069,1299.0,-0.19601588479538637,0.19601588479538637
2024-07-13 08:00:00,304.0,8,200km+,97,-137.51919531186198,1615.0,-0.08515120452746872,0.08515120452746872
2024-07-14 08:00:00,328.0,8,0-25km,0,0.0,0.0,,
2024-07-14 08:00:00,328.0,8,25-50km,6,-18.048259065997,70.0,-0.25783227237138573,0.25783227237138573
2024-07-14 08:00:00,328.0,8,50-100km,97,33.99943433821947,1400.0,0.024285310241585336,0.024285310241585336
2024-07-14 08:00:00,328.0,8,100-200km,44,26.981296061249573,583.0,0.04628009615994781,0.04628009615994781
2024-07-14 08:00:00,328.0,8,200km+,51,-29.496399763371095,754.0,-0.0391198935853728,0.0391198935853728
2024-07-15 08:00:00,352.0,8,0-25km,0,0.0,0.0,,
2024-07-15 08:00:00,352.0,8,25-50km,13,110.51931129516552,218.0,0.5069693178677318,0.5069693178677318
2024-07-15 08:00:00,352.0,8,50-100km,307,431.7707146071842,5559.0,0.07767057287411121,0.07767057287411121
2024-07-15 08:00:00,352.0,8,100-200km,92,-260.82381170108545,1733.0,-0.15050421910045322,0.15050421910045322
2024-07-15 08:00:00,352.0,8,200km+,116,-363.5815061575422,2135.0,-0.17029578742742024,0.17029578742742024
2024-07-16 08:00:00,376.0,8,0-25km,0,0.0,0.0,,
2024-07-16 08:00:00,376.0,8,25-50km,15,96.33637964096782,251.0,0.38381027745405505,0.38381027745405505
2024-07-16 08:00:00,376.0,8,50-100km,331,243.0455351336252,5990.0,0.04057521454651506,0.04057521454651506
2024-07-16 08:00:00,376.0,8,100-200km,94,-356.7490734456056,1844.0,-0.19346479037180345,0.19346479037180345
2024-07-16 08:00:00,376.0,8,200km+,124,-241.78843112889183,2287.0,-0.10572296944857536,0.10572296944857536
2024-07-17 08:00:00,400.0,8,0-25km,0,0.0,0.0,,
2024-07-17 08:00:00,400.0,8,25-50km,13,70.59437449210806,213.0,0.3314289882258594,0.3314289882258594
2024-07-17 08:00:00,400.0,8,50-100km,299,524.765934308574,5767.0,0.09099461319725576,0.09099461319725576
2024-07-17 08:00:00,400.0,8,100-200km,100,-357.253816289656,1860.0,-0.19207194424175056,0.19207194424175056
2024-07-17 08:00:00,400.0,8,200km+,134,-134.81987920456078,2491.0,-0.05412279373928574,0.05412279373928574
2024-07-18 08:00:00,424.0,8,0-25km,0,0.0,0.0,,
2024-07-18 08:00:00,424.0,8,25-50km,15,110.55475907756055,244.0,0.453093274908035,0.453093274908035
2024-07-18 08:00:00,424.0,8,50-100km,324,455.02971794259287,5992.0,0.07593953904248879,0.07593953904248879
2024-07-18 08:00:00,424.0,8,100-200km,96,-354.81598520299036,1819.0,-0.19506101440516238,0.19506101440516238
2024-07-18 08:00:00,424.0,8,200km+,129,-55.26818866926925,2497.0,-0.022133836070992893,0.022133836070992893
2024-07-19 08:00:00,448.0,8,0-25km,0,0.0,0.0,,
2024-07-19 08:00:00,448.0,8,25-50km,15,83.07707870980512,235.0,0.35351948387151116,0.35351948387151116
2024-07-19 08:00:00,448.0,8,50-100km,343,469.1934355420469,6462.0,0.07260808349459098,0.07260808349459098
2024-07-19 08:00:00,448.0,8,100-200km,97,-361.83346658587703,1925.0,-0.18796543718746858,0.18796543718746858
2024-07-19 08:00:00,448.0,8,200km+,131,-15.456194556602451,2517.0,-0.00614072092038238,0.00614072092038238
2024-07-20 08:00:00,472.0,8,0-25km,0,0.0,0.0,,
2024-07-20 08:00:00,472.0,8,25-50km,8,-23.902823673358206,104.0,-0.22983484301305968,0.22983484301305968
2024-07-20 08:00:00,472.0,8,50-100km,193,218.56938295199353,3131.0,0.06980817085659327,0.06980817085659327
2024-07-20 08:00:00,472.0,8,100-200km,80,-196.15810678436225,1330.0,-0.14748729833410695,0.14748729833410695
2024-07-20 08:00:00,472.0,8,200km+,90,16.98819882659545,1457.0,0.011659710931088162,0.011659710931088162
2024-07-21 08:00:00,496.0,8,0-25km,0,0.0,0.0,,
2024-07-21 08:00:00,496.0,8,25-50km,2,0.000274487192047701,26.0,1.0557199694142347e-05,1.0557199694142347e-05
2024-07-21 08:00:00,496.0,8,50-100km,95,126.72142876927741,1317.0,0.09621976368206334,0.09621976368206334
2024-07-21 08:00:00,496.0,8,100-200km,34,33.90679601234989,454.0,0.07468457271442708,0.07468457271442708
2024-07-21 08:00:00,496.0,8,200km+,47,42.076657180438175,605.0,0.06954819368667467,0.06954819368667467
2024-07-22 08:00:00,520.0,8,0-25km,0,0.0,0.0,,
