distance_band,n_windows,P_max,t_at_P_max,P_min,t_at_P_min,t_flip_start,t_flip_end,P_flip_start,P_flip_end
0-25km,0,,,,,,,,
25-50km,31,0.5620949348649982,304.0,-0.25783227237138573,328.0,112.0,136.0,0.26104850810479163,-0.012614929116215737
50-100km,32,0.10892738173345413,640.0,-0.0038274795692030544,16.0,-8.0,16.0,0.024815489324281566,-0.0038274795692030544
100-200km,32,0.07468457271442708,496.0,-0.23967975982763323,256.0,304.0,328.0,-0.19601588479538637,0.04628009615994781
200km+,32,0.09048169974101716,-8.0,-0.3413316267390363,16.0,-8.0,16.0,0.09048169974101716,-0.3413316267390363
