band,n_points,tau_hours,tau_r2,fit_ok
0-25km,78,1355.4610175359394,0.206438601919664,1
100-200km,78,1171.219055658177,0.34626653879410807,1
200km+,78,2889.9448312202567,0.09215584468770721,1
25-50km,78,,,0
50-100km,78,2138.0833860644984,0.09694190912759226,1
