ds,hours_since_quake,band,n_polygons,activity_mean
2023-02-20,344.0,100-200km,173,0.1724787705730348
2023-02-20,344.0,200km+,3105,0.24748807773493448
2023-02-20,344.0,25-50km,39,0.13094955335652833
2023-02-20,344.0,50-100km,72,0.1764064151507145
2023-02-21,368.0,0-25km,3,0.21538358501408253
2023-02-21,368.0,100-200km,173,0.17246367677858906
2023-02-21,368.0,200km+,3105,0.2581175631126949
2023-02-21,368.0,25-50km,39,0.12923203749381004
2023-02-21,368.0,50-100km,72,0.17242246796706226
2023-02-22,392.0,0-25km,3,0.2153835850140827
2023-02-22,392.0,100-200km,173,0.167742909490868
2023-02-22,392.0,200km+,3105,0.2707680229188363
2023-02-22,392.0,25-50km,39,0.12459967713816507
2023-02-22,392.0,50-100km,72,0.17603234396766945
2023-02-23,416.0,0-25km,3,0.2153835850140827
2023-02-23,416.0,100-200km,173,0.16062903978564647
2023-02-23,416.0,200km+,3105,0.27247306862174747
2023-02-23,416.0,25-50km,39,0.12007291871250039
2023-02-23,416.0,50-100km,72,0.17547168995889698
2023-02-24,440.0,0-25km,3,0.21538358501408264
2023-02-24,440.0,100-200km,173,0.15314431679228752
2023-02-24,440.0,200km+,3105,0.26587551434378065
2023-02-24,440.0,25-50km,39,0.10484298785054047
2023-02-24,440.0,50-100km,72,0.16191153387629306
2023-02-25,464.0,0-25km,3,0.21538358501408264
2023-02-25,464.0,100-200km,173,0.15351933059294487
2023-02-25,464.0,200km+,3105,0.278425002923515
2023-02-25,464.0,25-50km,39,0.10600229472141098
2023-02-25,464.0,50-100km,72,0.16741663365264448
2023-02-26,488.0,0-25km,3,0.2153835850140826
2023-02-26,488.0,100-200km,173,0.15587260807503245
2023-02-26,488.0,200km+,3105,0.2868295039223546
2023-02-26,488.0,25-50km,39,0.10837669806331934
2023-02-26,488.0,50-100km,72,0.17012306774280972
2023-02-27,512.0,0-25km,3,0.21531162453800531
2023-02-27,512.0,100-200km,173,0.15470780850968122
2023-02-27,512.0,200km+,3105,0.2972067146951398
2023-02-27,512.0,25-50km,39,0.1123163888397919
