slug,name,event_type,distance_band,fit_min_hours,fit_max_hours,peak_min_hours,peak_max_hours,early_hours,class,mean_dev_0_early,n_points_total,max_abs_dev,t_peak_hours,phi_at_peak,abs_dev_at_peak,growth_fit_ok,growth_tau_in_hours,growth_A,growth_r2,growth_bic,decay_fit_ok,decay_best_model,decay_exp_tau_out_hours,decay_pl_beta,decay_r2,decay_bic,n_points_growth,n_points_decay
moldova_flooding_2024,Moldova Flooding Sept 16 2024,flood,0-25km,0.0,832.0,0.0,200.0,72.0,neutral,0.004897312402550351,27,0.10763660001454167,112.0,1.0478242066125572,0.04782420661255715,1,1999.0976879468883,0.7677730832234613,0.6758295057584531,-41.611316939289836,1,power_law,,0.010000000000332254,-0.044759308265824194,-166.5892215621907,5,23
moldova_flooding_2024,Moldova Flooding Sept 16 2024,flood,25-50km,0.0,832.0,0.0,200.0,72.0,inflow,0.02183134067485108,27,0.13706031893164883,136.0,1.0745937247036823,0.07459372470368231,1,1999.9999999999998,0.8106742461198033,0.8061083716333638,-52.569780729171455,1,power_law,,0.010000000000000136,-0.07190570556083875,-166.25960340181558,6,22
moldova_flooding_2024,Moldova Flooding Sept 16 2024,flood,50-100km,0.0,832.0,0.0,200.0,72.0,outflow,-0.033174280632152886,27,0.06519085866144647,64.0,0.9638913340639212,0.036108665936078754,0,,,,,1,power_law,,0.01000000000000003,-0.00786139115860296,-198.001123541964,3,25
moldova_flooding_2024,Moldova Flooding Sept 16 2024,flood,100-200km,0.0,832.0,0.0,200.0,72.0,outflow,-0.04338221767593172,27,0.057171561045114005,40.0,0.9521036493063334,0.0478963506936666,0,,,,,1,power_law,,0.07256118844260326,0.02220922817652249,-214.00680194932988,2,26
moldova_flooding_2024,Moldova Flooding Sept 16 2024,flood,200km+,0.0,832.0,0.0,200.0,72.0,unknown,,0,,,,,0,,,,,0,,,,,,0,0
park_fire_2024,"The Park Fire in Northern California, US",wildfire,0-25km,0.0,832.0,0.0,200.0,72.0,neutral,0.019326107712447138,16,0.06175892153755069,184.0,1.0287895010177437,0.02878950101774369,1,1982.9106753200847,0.028789501018718515,-0.0010134024528698493,-80.0810956722284,0,,,,,,8,9
park_fire_2024,"The Park Fire in Northern California, US",wildfire,25-50km,0.0,832.0,0.0,200.0,72.0,neutral,0.012487180622635208,16,0.04859819508261998,40.0,1.0168997713921712,0.016899771392171248,0,,,,,1,power_law,,0.010000000000001367,-0.011210771706309464,-130.78881010755242,2,15
park_fire_2024,"The Park Fire in Northern California, US",wildfire,50-100km,0.0,832.0,0.0,200.0,72.0,inflow,0.029170962711610793,16,0.06286109973876353,40.0,1.0336873814177063,0.03368738141770633,0,,,,,1,power_law,,0.010000000000245332,-0.00907707847403394,-131.8946887494935,2,15
park_fire_2024,"The Park Fire in Northern California, US",wildfire,100-200km,0.0,832.0,0.0,200.0,72.0,inflow,0.025941282155313994,16,0.05695235185541514,40.0,1.0292597062773174,0.029259706277317443,0,,,,,1,power_law,,0.010000000000130828,-0.029742209422592536,-135.85909282164658,2,15
park_fire_2024,"The Park Fire in Northern California, US",wildfire,200km+,0.0,832.0,0.0,200.0,72.0,inflow,0.029631238310285173,16,0.05274974101848984,40.0,1.0338600517341614,0.0338600517341614,0,,,,,1,power_law,,0.03567390647409044,0.014981163965772648,-132.63331858161155,2,15
