"latitude","longitude","quadkey","country","date_time","n_baseline","n_crisis","n_difference","density_baseline","density_crisis","percent_change","z_score","ds"
"18.76071243773883","-70.938720703125","03221121122031","DO","2025-11-10 00:00","23.232995307902854","45.257820711385456","22.024825403482602","2.7768154204955234e-05","5.1934284728132315e-05","90.88775499535492","1.2700272358498939","2025-11-10"
"24.896401864347848","-76.168212890625","03203203312303","BS","2025-11-10 00:00","14.089979274071318","12.254905014074971","-1.8350742599963468","1.6840390661721886e-05","1.4062756807843269e-05","-12.160879923470159","-0.5183082567627723","2025-11-10"
"19.42515338859868","-70.784912109375","03221103323030","DO","2025-11-10 00:00","126.45973037800736","151.6761720042993","25.21644162629194","0.00015114509546942028","0.00017405154246330723","19.78384981005964","4.0","2025-11-10"
"19.57014180784997","-71.707763671875","03221103220022","DO","2025-11-10 00:00","237.44439966263653","257.59894948832755","20.15454982569102","0.00028379434582386057","0.0002956001190094651","8.452515493845407","2.5206135395662965","2025-11-10"
"18.260653043337236","-76.739501953125","03221021231031","JM","2025-11-10 00:00","11.93899906705902","","","","","","","2025-11-10"
"26.578701847629624","-78.60717773437499","03203200022110","BS","2025-11-10 00:00","28.160168191647557","25.228122574926886","-2.9320456167206714","3.365712782273741e-05","2.8949792110358263e-05","-10.05496812449973","-0.6012552602297698","2025-11-10"
"18.427501656067832","-77.991943359375","03221020302030","JM","2025-11-10 00:00","18.016577577013674","","","","","","","2025-11-10"
"17.947380369910924","-77.178955078125","03221023000113","JM","2025-11-10 00:00","30.482357518888588","30.581021988241837","0.09866446935324902","3.6432616324213405e-05","3.509235482951754e-05","0.313396064110043","0.02809395057106702","2025-11-10"
"18.490028257153526","-72.60864257812499","03221120210333","HT","2025-11-10 00:00","42.87805590828169","51.484712553950864","8.606656645669176","5.124799676883903e-05","5.907977182494521e-05","19.614945255686973","3.5317747634132566","2025-11-10"
"18.510865391985682","-72.366943359375","03221120300230","HT","2025-11-10 00:00","77.6928782561121","99.95869246357752","22.265814207465425","9.285878964167332e-05","0.00011470466570983794","28.294573411077426","3.4834493509727746","2025-11-10"
"18.635834841685934","-74.124755859375","03221031210010","HT","2025-11-10 00:00","100.5506959018061","124.70288744968823","24.15219154788214","0.00012017853024173594","0.00014309914090943177","23.783383593191694","2.3507799393043074","2025-11-10"
"18.030974439872132","-77.35473632812499","03221020333313","JM","2025-11-10 00:00","11.70060637553969","","","","","","","2025-11-10"
"18.88549765488575","-70.718994140625","03221121121301","DO","2025-11-10 00:00","123.1504313254302","155.963779931512","32.81334860608179","0.00014718981010115713","0.00017897166118299723","26.430313818298035","4.0","2025-11-10"
"18.490028257153526","-77.706298828125","03221020301333","JM","2025-11-10 00:00","23.89582261999819","","","","","","","2025-11-10"
"18.531699989972637","-72.23510742187501","03221120301202","HT","2025-11-10 00:00","126.36998775033125","145.74536394606875","19.375376195737502","0.00015103783477870682","0.00016724581762895697","15.211885105710165","2.8133766501172435","2025-11-10"
"26.559049562821336","-78.519287109375","03203200023012","BS","2025-11-10 00:00","","93.21875699869207","","","","","","2025-11-10"
"19.57014180784997","-71.048583984375","03221103231132","DO","2025-11-10 00:00","133.89032286065364","149.20489948954514","15.314576628891501","0.0001600261646194716","0.0001712157061723706","11.353354565480569","4.0","2025-11-10"
"23.130256804790854","-75.06958007812501","03203232100313","BS","2025-11-10 00:00","15.965936166945005","17.045062190443552","1.0791260234985476","1.9082540655418386e-05","1.9559561178440116e-05","6.360545111569058","0.3987126436728517","2025-11-10"
"19.67362522793804","-71.422119140625","03221103203321","DO","2025-11-10 00:00","74.83022073610478","89.4367622769652","14.60654154086042","8.94373317367385e-05","0.00010263053333643391","19.262164080587805","1.9947870899465094","2025-11-10"
"18.6566541672986","-68.851318359375","03221131022232","DO","2025-11-10 00:00","21.83275667928874","19.649778946335168","-2.182977732953571","2.609458428218829e-05","2.254852749432332e-05","-9.56072787712803","-0.7449189616740516","2025-11-10"
"18.78151640328573","-71.246337890625","03221121032103","DO","2025-11-10 00:00","","181.65875494390983","","","","","","2025-11-10"
"19.0309629537779","-71.97143554687501","03221120112302","HT","2025-11-10 00:00","16.547628095678167","18.354182123800584","1.8065540281224166","1.9777780806882882e-05","2.1061803360974858e-05","10.2951465478537","0.8071858386679938","2025-11-10"
"18.1562910909582","-77.42065429687501","03221020331322","JM","2025-11-10 00:00","23.119273416558645","","","","","","","2025-11-10"
"19.921712410135534","-72.740478515625","03221102210021","HT","2025-11-10 00:00","10.50123110597825","15.641049505832516","5.139818399854265","1.2551106769839837e-05","1.7948427602444587e-05","44.68928893344842","0.9798228418091571","2025-11-10"
"19.051733340051832","-69.35668945312499","03221130103211","DO","2025-11-10 00:00","14.52864844538607","","","","","","","2025-11-10"
"18.510865391985682","-70.191650390625","03221130200321","DO","2025-11-10 00:00","15.908602086924494","19.746162636121216","3.8375605491967217","1.9014014769964983e-05","2.2659129770566757e-05","22.695906672050235","2.130099940874259","2025-11-10"
"19.487307187313725","-72.652587890625","03221102230323","HT","2025-11-10 00:00","67.0805453362462","74.67899569487697","7.598450358630771","8.017489360985516e-05","8.569569114610557e-05","11.160971641902144","2.5508882954324226","2025-11-10"
"19.093266310501892","-72.718505859375","03221120012030","HT","2025-11-10 00:00","139.8180945019178","195.84983762115849","56.03174311924067","0.00016711105724071676","0.00022474173681140015","39.790158585392284","4.0","2025-11-10"
"17.863746776877754","-76.541748046875","03221023100302","JM","2025-11-10 00:00","13.769100249104083","17.101017162744434","3.3319169136403506","1.645687497085464e-05","1.9623770665723222e-05","22.560053472739277","1.5500763996818359","2025-11-10"
"18.635834841685934","-68.65356445312501","03221131201011","DO","2025-11-10 00:00","197.0633620685953","213.83574313674697","16.772381068151674","0.00023553079375031403","0.0002453809351523152","8.468189620220066","2.9384031477577217","2025-11-10"
"19.54943713600337","-70.762939453125","03221103321211","DO","2025-11-10 00:00","154.87009465443833","179.9716074234593","25.101512769020957","0.00018510125849496595","0.00020652113946260448","16.104123645187123","4.0","2025-11-10"
"18.093643959554118","-77.420654296875","03221020333120","JM","2025-11-10 00:00","10.03380453723738","","","","","","","2025-11-10"
"18.010079636382102","-76.78344726562501","03221021233221","JM","2025-11-10 00:00","1011.2980565541035","1336.0962300468302","324.79817349272673","0.0012087068416879356","0.0015331980405760034","32.08523135946251","4.0","2025-11-10"
"18.76071243773883","-70.08178710937499","03221130023030","DO","2025-11-10 00:00","11.402243653776202","16.43874623032572","5.036502576549518","1.3628000000190664e-05","1.8863801081886266e-05","40.609608367241016","2.23227855791446","2025-11-10"
"18.469188587923547","-72.65258789062501","03221120212101","HT","2025-11-10 00:00","","12.842609717805962","","","","","","2025-11-10"
"18.635834841685934","-68.697509765625","03221131201001","DO","2025-11-10 00:00","862.9698953484221","937.4717849567237","74.50188960830155","0.0010314245240740814","0.0010757682504205245","8.623204351148878","4.0","2025-11-10"
"24.196868525459625","-76.453857421875","03203221121000","BS","2025-11-10 00:00","","10.241380664928691","","","","","","2025-11-10"
"19.73568324384165","-70.784912109375","03221103303032","DO","2025-11-10 00:00","","20.262432958786704","","","","","","2025-11-10"
"19.21780263228372","-69.37866210937499","03221130101210","DO","2025-11-10 00:00","52.22687467241226","63.259606462255064","11.032731789842806","6.242173642815245e-05","7.259170596727083e-05","20.72774675902796","3.711950250164038","2025-11-10"
"18.635834841685934","-72.25708007812499","03221120300111","HT","2025-11-10 00:00","71.34169242654644","73.33519982401505","1.9935073974686048","8.52678309571633e-05","8.415365760854561e-05","2.7556825540026613","0.20183318333651196","2025-11-10"
"19.093266310501892","-70.345458984375","03221121113130","DO","2025-11-10 00:00","24.215145444580603","29.476530663422718","5.261385218842115","2.8942023354681645e-05","3.382492820487501e-05","20.86597212142167","3.3045467435574687","2025-11-10"
"18.989414391154263","-70.43334960937501","03221121113232","DO","2025-11-10 00:00","138.3667432566392","151.11224933724696","12.745506080607754","0.00016537639734644384","0.00017340442954679917","9.145299504586491","1.344524319784403","2025-11-10"
"18.84391287916165","-70.103759765625","03221130021221","DO","2025-11-10 00:00","10.97665718454524","10.135095374686632","-0.8415618098586091","1.3119337619445988e-05","1.1630231430991923e-05","-7.026683630425409","-0.6833869092382475","2025-11-10"
"25.07564804130032","-77.398681640625","03203202311301","BS","2025-11-10 00:00","711.1498384582883","729.3762537942146","18.226415335926276","0.0008499686809828424","0.00083697432715663","2.5593511858942626","0.19990616990921678","2025-11-10"
"19.300774497281314","-69.818115234375","03221130010110","DO","2025-11-10 00:00","16.0876366547608","23.210367219974437","7.122730565213637","1.922799748815565e-05","2.6634376134320067e-05","41.6835324224264","4.0","2025-11-10"
"18.71909681081604","-71.09252929687501","03221121033300","DO","2025-11-10 00:00","31.201524783635577","46.80615148565829","15.604626702022713","3.729216746008685e-05","5.3711026295014385e-05","48.459278890895234","4.0","2025-11-10"
"18.55253204866865","-69.884033203125","03221130210211","DO","2025-11-10 00:00","2284.8556391407874","2523.055990791014","238.20035165022682","0.0027308671517762193","0.0028952589000335286","10.420620951363407","3.9002734063636786","2025-11-10"
"19.756363895671193","-71.531982421875","03221103203020","DO","2025-11-10 00:00","","24.334414499031038","","","","","","2025-11-10"
"18.469188587923547","-70.037841796875","03221130203100","DO","2025-11-10 00:00","852.823510592544","1015.3687774997303","162.54526690718626","0.0010192975308564573","0.001165156659464621","19.03733791476199","4.0","2025-11-10"
"19.21780263228372","-69.312744140625","03221130101301","DO","2025-11-10 00:00","91.67940978416287","106.37357150623917","14.694161722076302","0.00010957553920909875","0.00012206587200438469","15.854828765415002","3.6464188587166664","2025-11-10"
"19.300774497281314","-70.806884765625","03221121101001","DO","2025-11-10 00:00","19.019961709791474","17.220552556001387","-1.7994091537900871","2.2732722265483362e-05","1.9760940000236365e-05","-8.988074901811736","-0.7740635575118772","2025-11-10"
"19.777041866851583","-72.213134765625","03221102303003","HT","2025-11-10 00:00","138.8823028475302","162.16551410175018","23.283211254219964","0.00016599259590508751","0.00018608827933081518","16.64485841328931","3.0262492074279774","2025-11-10"
"25.552353242276165","-79.288330078125","03202313102311","BS","2025-11-10 00:00","22.39405357458973","19.45247624901523","-2.9415773255744995","2.676544822103559e-05","2.2322118570977517e-05","-12.574038595729286","-0.46678792844404393","2025-11-10"
"18.739905906106394","-70.235595703125","03221130022033","DO","2025-11-10 00:00","20.602291213822767","28.11748513944106","7.515193925618295","2.462392781555057e-05","3.226539537515568e-05","34.788874250567964","4.0","2025-11-10"
