relpath,dataset,window_start_pt,date_pt,time_pt,size_bytes,sha256,source_relpath
raw/population/2172754818300831_2023-02-05_0000.csv,population,2023-02-05 00:00,2023-02-05,0000,7096840,d23d18819b716d598895f1e3dfc4ca82193a9de9b8f8635fe22756d80c396cee,population/2172754818300831_2023-02-05_0000.csv
raw/population/2172754818300831_2023-02-05_0800.csv,population,2023-02-05 08:00,2023-02-05,0800,6399645,da6ff82f4f3637c84365fc0f0b52e2cfa6c8b47c35f95b97a5295cde130c5c40,population/2172754818300831_2023-02-05_0800.csv
raw/population/2172754818300831_2023-02-05_1600.csv,population,2023-02-05 16:00,2023-02-05,1600,5343849,f2169bbd3689d8dd53b7e500d5650b17a2aded86a6c9a135cbd5857a20362185,population/2172754818300831_2023-02-05_1600.csv
raw/population/2172754818300831_2023-02-06_0000.csv,population,2023-02-06 00:00,2023-02-06,0000,6665801,c85fc8df6730a10ca8511cc679a84e3a7cedb4c89ebce4a467d945ab5332e074,population/2172754818300831_2023-02-06_0000.csv
raw/population/2172754818300831_2023-02-06_0800.csv,population,2023-02-06 08:00,2023-02-06,0800,6609313,7f8c4d6dd1719899b986564dc670a11a9185b8651a6b7faa6a2202579642fe11,population/2172754818300831_2023-02-06_0800.csv
raw/population/2172754818300831_2023-02-06_1600.csv,population,2023-02-06 16:00,2023-02-06,1600,5433325,3a818d224b0d3ea9897f938643b468cdea709ee5eeba447680965851d9e8de9d,population/2172754818300831_2023-02-06_1600.csv
raw/population/2172754818300831_2023-02-07_0000.csv,population,2023-02-07 00:00,2023-02-07,0000,6840094,d284944810b6c4c324a30751e9c43c7f018f0bb25ffe8da0034ec9e0be7757cc,population/2172754818300831_2023-02-07_0000.csv
raw/population/2172754818300831_2023-02-07_0800.csv,population,2023-02-07 08:00,2023-02-07,0800,6667758,18d93711f4e22f69a17cdf9aae1c6f8381171f08bb406cf9e4c62852c2600608,population/2172754818300831_2023-02-07_0800.csv
raw/population/2172754818300831_2023-02-07_1600.csv,population,2023-02-07 16:00,2023-02-07,1600,5436454,bb3ee6c4c20abfb053a379ccd5de746d9ed6ae8e224291f33d4d497bd28eb645,population/2172754818300831_2023-02-07_1600.csv
raw/population/2172754818300831_2023-02-08_0000.csv,population,2023-02-08 00:00,2023-02-08,0000,6864209,4d2c0cef02d7f6f219f80808c33e1b6d96a9817c97221188efbb4a2d9ecfe701,population/2172754818300831_2023-02-08_0000.csv
raw/population/2172754818300831_2023-02-08_0800.csv,population,2023-02-08 08:00,2023-02-08,0800,6741313,bd8b309fe0877a858afb2169528778a055e09a26f7eb616b83822e3268e5dca7,population/2172754818300831_2023-02-08_0800.csv
raw/population/2172754818300831_2023-02-08_1600.csv,population,2023-02-08 16:00,2023-02-08,1600,5489413,77c9063d2c015cf0ae6d2cb3d7da543b77c1a3a2695519eb5d9e184bb9ec1f1e,population/2172754818300831_2023-02-08_1600.csv
raw/population/2172754818300831_2023-02-09_0000.csv,population,2023-02-09 00:00,2023-02-09,0000,6890659,b311f57e7c6337d5bdcff9abfe1b7ea7760268bbfdf1c3d66e1ed1c44bc6002b,population/2172754818300831_2023-02-09_0000.csv
raw/population/2172754818300831_2023-02-09_0800.csv,population,2023-02-09 08:00,2023-02-09,0800,6823978,57ba9d82b8e146fa813566d5fc47771e7a10ab92f8402966dfaf7657d955a25c,population/2172754818300831_2023-02-09_0800.csv
raw/population/2172754818300831_2023-02-09_1600.csv,population,2023-02-09 16:00,2023-02-09,1600,5478055,29163908b359071b8037b07092365da62bb650ef90bc21c40ca7ef045c66bace,population/2172754818300831_2023-02-09_1600.csv
