slug,name,event_type,output_root,source,value_col,S_max_abs_delta,near_r_max_km,n_tiles_overlap_near_mean,n_r_bins_raw,n_time_raw,svd_complete_sigma1_energy,svd_complete_mode_used,svd_complete_rank1_rel_error,svd_fill_sigma1_energy,svd_fill_mode_used,svd_fill_rank1_rel_error,null_n,null_seed,null_row_shuffle_n,null_row_shuffle_mean,null_row_shuffle_std,null_row_shuffle_p_ge_obs,null_row_shuffle_z,null_col_shuffle_n,null_col_shuffle_mean,null_col_shuffle_std,null_col_shuffle_p_ge_obs,null_col_shuffle_z
hurricane_ernesto_puerto_rico_14_august_2024,Hurricane Ernesto Puerto Rico 14 August 2024,hurricane,outputs/_runs/trackpath/v3,root:outputs/_runs/trackpath/v3,phi_overlap,0.5216639037719394,50.0,4.352941176470588,18,15,0.9896588987115015,drop_complete,0.10169120556124049,0.809055204185795,fill_missing,0.43697230554602046,0,,0,,,,,0,,,,
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,Hurricane Helene Pre Landfall Gulf Of Mexico 24 September 2024,hurricane,outputs/_runs/trackpath/v3,root:outputs/_runs/trackpath/v3,phi_overlap,0.3520272647859739,50.0,795.3333333333334,50,12,0.9545283057178885,drop_complete,0.2132409301286022,0.9545283057178885,fill_missing,0.21324093012860226,0,,0,,,,,0,,,,
hurricane_milton_across_florida_us,"Hurricane Milton Across Florida, US",hurricane,outputs/_runs/trackpath/v3,root:outputs/_runs/trackpath/v3,phi_overlap,6.043410634389885,50.0,567.7666666666667,35,10,0.9498476534276082,drop_complete,0.22394719594670454,0.9498476534276082,fill_missing,0.22394719594670456,0,,0,,,,,0,,,,
hurricane_john_across_southeastern_guerrero_mexico,"Hurricane John Across Southeastern Guerrero, Mexico",hurricane,outputs/_runs/trackpath/v3,root:outputs/_runs/trackpath/v3,phi_overlap,0.2371536287262035,50.0,39.80952380952381,50,7,0.9315811524300638,drop_complete,0.26156996687298845,0.9315811524300638,fill_missing,0.26156996687298845,0,,0,,,,,0,,,,
typhoon_yagi_across_northeastern_vietnam,Typhoon Yagi Across Northeastern Vietnam,typhoon,outputs/_runs/trackpath/v4_yagi_fix,root:outputs/_runs/trackpath/v4_yagi_fix,phi_overlap,0.7657633224849418,50.0,176.07575757575756,18,11,0.926156258036644,drop_complete,0.27174205041427785,0.926156258036644,fill_missing,0.2717420504142779,0,,0,,,,,0,,,,
turkiye_earthquake_2023,Turkiye Turkey Earthquake Full Country Version Feb 8 2023,earthquake,outputs,event:outputs,phi_overlap,0.8663653176905799,50.0,94.54166666666667,50,36,0.8973500897661162,drop_complete,0.32039024678333117,0.8973500897661162,fill_missing,0.32039024678333117,0,,0,,,,,0,,,,
typhoon_krathon_across_taiwan,Typhoon Krathon Across Taiwan,typhoon,outputs/_runs/trackpath/v3,root:outputs/_runs/trackpath/v3,phi_overlap,0.4519464454697264,50.0,281.9848484848485,31,11,0.7813216294404274,drop_complete,0.46763059198428464,0.7813216294404274,fill_missing,0.4676305919842846,0,,0,,,,,0,,,,
hurricane_beryl_across_southeastern_texas_us,"Hurricane Beryl Across Southeastern Texas, US",hurricane,outputs/_runs/trackpath/v3,root:outputs/_runs/trackpath/v3,phi_overlap,0.3292482123622946,50.0,816.7555555555556,36,15,0.7504022171059168,drop_complete,0.49959762098521154,0.7504022171059168,fill_missing,0.49959762098521154,0,,0,,,,,0,,,,
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,"Tropical Storm Kristine in Bicol and Calabarzon, Philippines",tropical_storm,outputs/_runs/trackpath/v3,root:outputs/_runs/trackpath/v3,phi_overlap,0.842254393235784,50.0,,44,12,0.7023432066960384,drop_complete,0.5455793189848397,0.7023432066960384,fill_missing,0.5455793189848397,0,,0,,,,,0,,,,
tropical_storm_yagi_philippines_2_september_2024,Tropical Storm Yagi Philippines 2 September 2024,tropical_storm,outputs/_runs/trackpath/v3,root:outputs/_runs/trackpath/v3,phi_overlap,0.3595774860789557,50.0,345.0444444444444,35,15,0.6893024977582485,drop_complete,0.5574024598454435,0.6893024977582485,fill_missing,0.5574024598454435,0,,0,,,,,0,,,,
tropical_storm_debby_united_states_pre_landfall_4_august_2024,Tropical Storm Debby United States Pre-landfall 4 August 2024,tropical_storm,outputs/_runs/trackpath/v3,root:outputs/_runs/trackpath/v3,phi_overlap,1.5739501834059366,50.0,30.208333333333332,50,14,0.6523616815543205,fill_missing_fallback,0.5896086146298061,0.6523616815543205,fill_missing,0.5896086146298061,0,,0,,,,,0,,,,
hurricane_john_southern_mexico_25_september_2024,Hurricane John Southern Mexico 25 September 2024,hurricane,outputs/_runs/trackpath/v3,root:outputs/_runs/trackpath/v3,phi_overlap,0.6939778968826663,50.0,154.88888888888889,50,15,0.641864893339839,drop_complete,0.5984439043554223,0.641864893339839,fill_missing,0.5984439043554223,0,,0,,,,,0,,,,
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,outputs/_runs/trackpath/v3,root:outputs/_runs/trackpath/v3,phi_overlap,0.39819105370219865,50.0,185.3095238095238,50,14,0.37095397434702176,drop_complete,0.7931242182993642,0.37095397434702176,fill_missing,0.7931242182993642,0,,0,,,,,0,,,,
hurricane_beryl_pre_landfall_2024,Hurricane Beryl Pre Landfall Disaster Maps June 30 2024,hurricane,outputs/_runs/trackpath/v3,root:outputs/_runs/trackpath/v3,phi_overlap,,50.0,,0,0,,fill_missing_fallback,,,fill_missing,,0,,0,,,,,0,,,,
