r_bin_km,phi_mean,n_tiles_mean,n_tiles_overlap_mean,r_center_km,abs_dev
0.0,0.40343859331861714,85.66666666666667,49.333333333333336,5.0,0.5965614066813829
10.0,0.5137160337671958,185.0,137.0,15.0,0.48628396623280423
20.0,0.7686239956399271,209.0,157.66666666666666,25.0,0.23137600436007288
30.0,0.5398338548826258,222.0,144.33333333333334,35.0,0.4601661451173742
40.0,0.5174601985741314,255.33333333333334,174.66666666666666,45.0,0.4825398014258686
50.0,0.7216182204194012,345.3333333333333,289.3333333333333,55.0,0.27838177958059884
60.0,0.8189084200462536,395.3333333333333,332.6666666666667,65.0,0.18109157995374636
70.0,0.9094204730699698,393.0,349.6666666666667,75.0,0.09057952693003024
80.0,0.978920119784744,355.6666666666667,346.6666666666667,85.0,0.021079880215255975
90.0,1.0134920075752794,321.0,320.0,95.0,0.013492007575279352
100.0,1.048023549621954,336.0,336.0,105.0,0.0480235496219541
110.0,1.0940935642886684,352.6666666666667,351.3333333333333,115.0,0.09409356428866844
120.0,1.0833791385726366,357.6666666666667,356.0,125.0,0.08337913857263657
130.0,1.0122068743936292,363.3333333333333,360.3333333333333,135.0,0.012206874393629219
140.0,0.9946229715888042,245.33333333333334,239.33333333333334,145.0,0.0053770284111958055
150.0,0.9543352282354113,103.33333333333333,102.66666666666667,155.0,0.04566477176458872
160.0,0.8588008285524218,56.0,56.0,165.0,0.1411991714475782
