r_bin_km,phi_mean,n_tiles_mean,n_tiles_overlap_mean,r_center_km,abs_dev
0.0,1.0676365030621784,905.25,830.5,5.0,0.06763650306217839
10.0,1.044432682185298,718.75,647.25,15.0,0.044432682185298056
20.0,1.1261793605380463,739.5,672.75,25.0,0.12617936053804635
30.0,1.0534583203307784,794.0,679.5,35.0,0.05345832033077835
40.0,1.0521513876093285,946.75,866.0,45.0,0.05215138760932847
50.0,1.0601066929862524,956.75,846.25,55.0,0.060106692986252375
60.0,1.0715489236730926,968.75,861.5,65.0,0.07154892367309262
70.0,1.0761198005256718,933.75,775.0,75.0,0.0761198005256718
80.0,1.0557930395668313,1132.25,933.75,85.0,0.05579303956683135
90.0,1.0591467045668752,1083.25,982.0,95.0,0.05914670456687521
100.0,1.0548474499036686,975.5,908.0,105.0,0.05484744990366863
110.0,1.038199720224827,866.0,761.75,115.0,0.03819972022482698
120.0,1.0551750843212577,902.0,771.0,125.0,0.05517508432125773
130.0,1.0710568517767585,1142.0,1020.5,135.0,0.07105685177675847
140.0,1.0826098533400146,1187.25,1095.5,145.0,0.08260985334001458
150.0,1.0502936252297912,1196.0,1088.0,155.0,0.050293625229791195
160.0,1.083674525489612,1553.5,1447.75,165.0,0.08367452548961207
170.0,1.0922722607508975,1638.0,1558.75,175.0,0.09227226075089745
180.0,1.0841526586531784,1876.75,1802.25,185.0,0.08415265865317845
190.0,1.0994815872345074,1719.25,1637.25,195.0,0.0994815872345074
200.0,1.1018489160766058,1504.0,1456.25,205.0,0.10184891607660584
210.0,1.1101944804000015,1335.75,1301.5,215.0,0.11019448040000146
220.0,1.1368629426363768,1194.0,1154.5,225.0,0.13686294263637677
230.0,1.1181399793821503,1118.25,1063.25,235.0,0.11813997938215026
240.0,1.097101487730486,1177.5,1136.5,245.0,0.0971014877304861
250.0,1.0823779287102697,1073.75,1028.25,255.0,0.08237792871026972
260.0,1.0862546598023408,1237.0,1195.0,265.0,0.08625465980234082
270.0,1.08774639220536,1351.75,1310.75,275.0,0.08774639220536007
280.0,1.099317594212537,1310.0,1269.25,285.0,0.09931759421253705
290.0,1.1093539250001578,1306.0,1267.25,295.0,0.10935392500015784
300.0,1.105693028076188,1198.25,1166.5,305.0,0.10569302807618808
310.0,1.103553909068538,1082.75,1042.0,315.0,0.10355390906853801
320.0,1.093854203255596,1168.25,1127.5,325.0,0.09385420325559601
330.0,1.0945326569312313,1028.75,994.0,335.0,0.09453265693123125
340.0,1.1067534953776095,862.0,836.0,345.0,0.10675349537760948
350.0,1.1080163473951652,774.5,752.5,355.0,0.10801634739516519
360.0,1.0785274250325076,783.25,759.75,365.0,0.07852742503250765
370.0,1.0490872239323081,782.0,762.0,375.0,0.04908722393230813
380.0,1.094476464968945,740.5,718.5,385.0,0.0944764649689449
390.0,1.0924984662546968,540.5,524.0,395.0,0.09249846625469682
400.0,1.111666332162044,644.5,627.0,405.0,0.11166633216204391
410.0,1.085803002994008,530.5,513.25,415.0,0.085803002994008
420.0,1.0944201536763607,618.5,604.75,425.0,0.0944201536763607
430.0,1.072139646205648,689.0,674.25,435.0,0.07213964620564806
440.0,1.070606585658261,697.5,680.0,445.0,0.07060658565826095
450.0,1.0982634044046446,698.25,679.75,455.0,0.09826340440464465
460.0,1.1042937808912563,534.25,524.0,465.0,0.1042937808912563
470.0,1.0945363480976857,417.75,403.5,475.0,0.09453634809768574
480.0,1.0829808578698197,273.5,262.0,485.0,0.08298085786981968
490.0,1.0878657167441788,156.5,150.5,495.0,0.08786571674417876
