r_km,tau_p50,tau_p025,tau_p975
7.294559001979178,772.5684204265772,609.7141471615956,995.4523466759128
7.596742149641377,768.2500806422767,612.0546536712966,980.9507205231314
7.911443484449131,764.0380343700364,613.1783979671528,965.1400513632442
8.2391815826719,759.9026722341093,615.2764779551426,949.9672928016328
8.580496503030584,755.8874577965162,616.9493962482804,935.389671098638
8.935950676625831,751.8232958370502,618.9915742503664,921.9742928019446
9.306129833732422,747.5161426039674,621.0902369577097,909.5271612335833
9.691643968986849,743.1644510636288,623.2178063777002,899.4704995613114
10.093128346558572,739.2906198344814,625.3762545748077,887.4257490914811
10.511244546961384,735.8464897314077,627.7154113138711,876.8135333443269
10.946681557229738,732.8722939313539,630.1792683729038,866.3916633200304
11.400156906256589,729.6833692748097,632.4371271172464,855.9419096852923
11.872417847163488,726.3062825890833,633.481382499199,845.951325588334
12.3642425886514,723.7252765062547,634.6428398419131,836.7691081965891
12.876441577361206,721.4233675117769,635.8499941576363,827.3427992562105
13.409858833357038,719.2470804309338,637.4221811040136,820.0154928968021
13.965373340933187,717.1824485898048,638.0194290326523,813.1641777432279
14.543900497036242,715.2520354902065,640.0628082416871,807.246857976931
15.14639361968942,713.2666185813384,642.289456402953,799.8388834277622
15.773845518904515,711.6307306480629,644.0066136848453,793.1735566665907
16.427290132670276,709.8833122647954,646.232061188061,786.3295354252623
17.107804230712897,708.5099766664888,647.1695089777724,781.0494099207824
17.81650918883619,707.4103920885326,648.7069358584424,776.8658354448659
18.554572836765324,706.2407246250766,651.2397217163801,771.6153525069079
19.323211382538965,705.0283496308957,652.9790455095385,767.0510585258091
20.123691416621003,703.6663990296786,654.5284517535221,764.1205306943945
20.957331999034196,702.6965304061523,656.2140803300442,760.2346761941058
21.82550683295515,702.5556160194462,657.3580544354073,757.2003273289766
22.729646528352205,702.7406079531459,658.5725408856624,754.250059349938
23.671240959396368,702.8973961940274,659.9586202470174,751.8311633013653
24.65184171953005,702.5603426838218,661.2489387144859,750.0842079418632
25.673064678238976,702.2198712991778,662.62507743245,748.2052593136725
26.736592643740476,701.9162503870584,663.3186884404579,746.7525791380708
27.844178135975906,702.1107778750475,665.1269118862571,745.5800432394998
28.99764627447657,702.5316376187263,666.2844479039084,745.5509238325357
30.198897785861835,703.052986785442,667.3434896024613,745.2227245702762
31.449912135925324,703.718006803002,668.8238529373476,745.5945821982835
32.752750791470504,704.8966189524276,670.227892207414,747.0144085976327
34.109560617270375,706.2572926927827,671.8964021951638,747.08976630101
35.52257741374907,707.9536522264848,673.7913602594635,747.4659058122932
36.99412960121488,709.298915738336,675.54257160437,749.2883811632199
38.52664205671566,711.0569894232628,676.7481498208542,750.3618367715064
40.12264010983917,712.7764917659048,678.3548501518924,751.9196026623144
41.78475370404263,714.9546384306909,679.7654340024411,753.2755301654479
43.51572173036902,717.0362650001548,682.0115202082553,754.2437570514949
45.31839654069102,719.1258149575615,684.5688046508096,757.0840852442313
47.19574864791975,721.327908756776,686.9108327143953,758.7512684613249
49.150871620923716,723.719569932855,689.4685823876457,760.5653397206441
51.186987182223795,726.2083003013354,692.2352080718854,762.1416989451715
53.30745051686438,729.211589430217,695.1596398835882,764.4651515352414
55.515755801208854,732.0574990137462,698.4292166870812,765.9940973233453
57.81554196077017,735.225836672928,701.8675189098251,768.8882923904038
60.210598666564366,739.0734164579188,705.5389060035063,772.4213720272404
62.70487257986762,742.6766761173161,709.436736212335,775.6498275830623
65.30247385566787,746.1000563375683,713.0844928499276,779.1260027242251
68.00768291552747,749.7403676852339,716.607249823264,782.7465340855169
70.82495750101661,753.516629760036,720.9695770916437,787.0022999978349
73.7589400193418,757.8356212561373,725.4072569748229,791.3453057608552
76.8144651932728,762.3867443133367,730.1987291273878,796.0519752564162
79.99656802797382,766.9232516912286,735.1589711851137,801.1487989931294
83.31049210786779,771.3625427649667,740.1019619231557,806.2567276925807
86.7616982372051,776.0168955291024,744.9928570436265,811.1644063093612
90.35587343857405,781.2789120956426,749.97173181593,817.10234686396
94.09894032418396,786.6566840649978,754.8930297548808,822.7534391757227
97.9970668553594,792.2108254660327,759.5540748840408,830.4749400985129
102.05667650633083,798.2252229563885,764.0318846050279,838.9447787121046
106.28445884906857,804.1641766098822,768.7562286933957,846.8021123470863
110.68738057660156,810.1881811820075,772.9265268630626,855.0512697042604
115.27269698298687,816.2356129341184,776.7179034984117,863.8981451329936
120.04796391884676,822.7514075989734,781.1561770916236,873.59750219704
125.02105024217255,829.4481075962426,785.6786723246372,883.5639250205965
130.20015078491446,836.6615212652769,788.7965398350968,893.7629862163606
135.59379985672317,843.8216052697595,792.5418221743903,903.8276145818041
141.210885308094,851.7935488659358,795.4977627653316,915.2861272979484
147.0606631760895,859.2023514813682,798.4643965491954,927.3955012935314
153.15277293677352,867.0628498721774,801.5314521546039,940.050035894669
159.49725338948778,875.6676814912298,805.5940506713455,952.2458035691945
166.10455919915128,884.0748948042105,810.2547116712149,965.5758465867084
172.98557812383535,892.9081498110488,814.4585696051438,980.6228514636086
180.15164895600526,901.8021206713058,817.4851476744325,996.8846766304865
