slug,name,event_type,source,phi_col,S,arg_key,t_at_S,phi_at_S,min_phi,max_phi,n_points
the_wildfires_in_quito_pichincha_province_ecuador,"The Wildfires in Quito, Pichincha Province, Ecuador",wildfire,phi_heatmap,phi_aggregate,3.246740802186343,350.0,256.0,4.246740802186343,0.0,4.246740802186343,578
hurricane_beryl_across_southeastern_texas_us,"Hurricane Beryl Across Southeastern Texas, US",hurricane,phi_heatmap,phi_aggregate,2.228914800778223,390.0,88.0,3.228914800778223,0.7212583636683365,3.228914800778223,588
line_fire_southern_california_9_september_2024,Line Fire Southern California 9 September 2024,wildfire,phi_heatmap,phi_aggregate,2.208968585887644,200.0,328.0,3.208968585887644,0.7105127209858665,3.208968585887644,336
turkiye_earthquake_2023,Turkiye Turkey Earthquake Full Country Version Feb 8 2023,earthquake,phi_heatmap,phi_aggregate,2.174357132290443,10.0,136.0,3.174357132290443,0.1414960253028286,3.174357132290443,1750
the_flooding_in_conakry_city_conakry_guinea,"The Flooding in Conakry City, Conakry, Guinea",flood,phi_heatmap,phi_aggregate,1.789131289017499,50.0,232.0,2.789131289017499,0.0,2.789131289017499,248
the_flooding_across_bagmati_and_koshi_provinces_nepal,"The Flooding Across Bagmati and Koshi Provinces, Nepal",flood,phi_heatmap,phi_aggregate,1.6628438557470324,300.0,304.0,2.6628438557470324,0.0,2.6628438557470324,434
the_flooding_in_benue_and_kogi_states_nigeria,"The Flooding in Benue and Kogi States, Nigeria",flood,phi_heatmap,phi_aggregate,1.0851580078355978,0.0,88.0,2.085158007835598,0.0,2.085158007835598,222
park_fire_california_29_july_2024,Park Fire California 29 July 2024,wildfire,phi_heatmap,phi_aggregate,1.0194316888222854,290.0,232.0,2.0194316888222854,0.0,2.0194316888222854,630
hurricane_beryl_pre_landfall_2024,Hurricane Beryl Pre Landfall Disaster Maps June 30 2024,hurricane,phi_heatmap,phi_aggregate,1.0,190.0,16.0,0.0,0.0,1.1887207692945558,775
tropical_storm_yagi_philippines_2_september_2024,Tropical Storm Yagi Philippines 2 September 2024,tropical_storm,phi_heatmap,phi_aggregate,1.0,440.0,88.0,0.0,0.0,1.584845976742894,640
