distance_band,class,mean_dev_0_early,t_peak_hours,phi_at_peak,abs_dev_at_peak,n_points_total,max_abs_dev
0-25km,neutral,0.004897312402550351,112.0,1.0478242066125572,0.04782420661255715,27,0.10763660001454167
25-50km,inflow,0.02183134067485108,136.0,1.0745937247036823,0.07459372470368231,27,0.13706031893164883
50-100km,outflow,-0.033174280632152886,64.0,0.9638913340639212,0.036108665936078754,27,0.06519085866144647
100-200km,outflow,-0.04338221767593172,40.0,0.9521036493063334,0.0478963506936666,27,0.057171561045114005
200km+,unknown,,,,,0,
