r_bin_km,phi_mean,r_center_km,abs_dev
0.0,1.046648452171596,5.0,0.04664845217159597
10.0,1.0406769510434932,15.0,0.040676951043493226
20.0,1.0466910081343945,25.0,0.04669100813439453
30.0,1.0647807066735506,35.0,0.06478070667355063
40.0,1.0647797158286605,45.0,0.06477971582866049
50.0,1.058011991167771,55.0,0.058011991167771004
60.0,1.060111324348676,65.0,0.06011132434867594
70.0,1.0611727373324022,75.0,0.06117273733240225
80.0,1.0502310613117931,85.0,0.05023106131179311
90.0,1.0489957769883411,95.0,0.04899577698834112
100.0,1.0470823784709764,105.0,0.047082378470976405
110.0,1.0561846523044034,115.0,0.05618465230440339
120.0,1.0600292695089997,125.0,0.06002926950899967
130.0,1.0549689557083581,135.0,0.054968955708358136
140.0,1.0525384838470817,145.0,0.05253848384708171
150.0,1.061419951030635,155.0,0.06141995103063502
160.0,1.0401960234594023,165.0,0.04019602345940232
170.0,1.06580483795525,175.0,0.06580483795525005
180.0,1.0513209312601761,185.0,0.05132093126017612
190.0,1.0437235368890487,195.0,0.04372353688904873
200.0,0.9785538320579319,205.0,0.021446167942068106
210.0,1.02279643800774,215.0,0.022796438007739894
220.0,1.0461176548156854,225.0,0.046117654815685416
230.0,1.0361692884765303,235.0,0.03616928847653034
240.0,1.0324512313075889,245.0,0.03245123130758887
250.0,1.0557088275769546,255.0,0.05570882757695461
260.0,1.0768445503098343,265.0,0.07684455030983428
