slug,short_name,disaster_type,event_type,t_peak_hours,D_peak,near_delta,r_bin_km,bin_type,peak_delta_mean,delta0_signed,delta0_abs,tau,A,C,r2,n_points,fit_ok,daily_avg_applied,median_step_hours_raw
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,-8.0,0.1182352467469458,-0.1686674012421007,0.0,INFL,0.08395703464623117,0.028570535406030828,0.028570535406030828,66.74091188037676,0.18830613485660871,0.013650521034967411,0.957375076958329,14,1,0,24.0
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,-8.0,0.1182352467469458,-0.1686674012421007,10.0,EVAC,-0.17883935090497138,-0.2609388255392612,0.2609388255392612,20.284330315851175,0.277169048655859,0.013420915539610756,0.8787711795260318,14,1,0,24.0
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,-8.0,0.1182352467469458,-0.1686674012421007,20.0,EVAC,-0.2295380217316917,-0.3061241672908548,0.3061241672908548,67.30173396386378,0.18411840938672983,0.021898033249673942,0.9892999918789033,14,1,0,24.0
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,-8.0,0.1182352467469458,-0.1686674012421007,30.0,EVAC,-0.2942898655986436,-0.35359480361624784,0.35359480361624784,44.91373541677194,0.3591321424217725,0.023614726874541445,0.9894033256809285,14,1,0,24.0
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,-8.0,0.1182352467469458,-0.1686674012421007,40.0,EVAC,-0.2400750631989923,-0.29573399551118607,0.29573399551118607,56.55567484646889,0.2433210655663224,0.021825810229974284,0.9767919393777347,14,1,0,24.0
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,-8.0,0.1182352467469458,-0.1686674012421007,50.0,EVAC,-0.1532191406645368,-0.18786107085102777,0.18786107085102777,28.91358255470558,0.21443561874133532,0.025624482683446293,0.9650894985785787,14,1,0,24.0
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,-8.0,0.1182352467469458,-0.1686674012421007,60.0,EVAC,-0.1345660421684466,-0.16770673855246243,0.16770673855246243,22.821022874181352,0.2536113742542815,0.014433832519778565,0.9554969905345969,14,1,0,24.0
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,-8.0,0.1182352467469458,-0.1686674012421007,70.0,EVAC,-0.057020927933743415,-0.09310570020687103,0.09310570020687103,3000.1086382329304,3.659552981431305e-17,0.01377692882407098,-2.220446049250313e-16,14,1,0,24.0
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,-8.0,0.1182352467469458,-0.1686674012421007,80.0,INFL,0.009824165010833719,-0.012154450298367037,0.012154450298367037,42.776030459409625,0.03669451753091157,0.014555024771973412,0.41030845322468956,14,1,0,24.0
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,-8.0,0.1182352467469458,-0.1686674012421007,90.0,EVAC,-0.07075212846877593,-0.11314778733541342,0.11314778733541342,4.002097385902518,4.778958767373818,0.016460345713702567,0.0842322880475429,14,1,0,24.0
