slug,short_name,n_bins_used,daily_avg_applied,median_step_hours_raw
hurricane_beryl_across_southeastern_texas_us,beryl_tx,21,0,24.0
spain_flood,spain_flood,21,0,8.0
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,20,0,24.0
