k,sigma,energy_frac,energy_cum
1,2.8036585901241464,0.9400703436935446,0.9400703436935446
2,0.6401017089231047,0.049001352945090663,0.9890716966386351
3,0.25768165391364545,0.007941034750400228,0.9970127313890355
4,0.11518662313500028,0.0015867707669003379,0.9985995021559357
5,0.07694038587198049,0.0007079764603760991,0.9993074786163118
6,0.05197478926311262,0.00032306921180578265,0.9996305478281174
7,0.0328958206292536,0.00012941706539343874,0.9997599648935109
8,0.030199890182708924,0.0001090738958466898,0.9998690387893576
9,0.025970429899515018,8.066188658050208e-05,0.999949700675938
10,0.019784679694735578,4.681318016882585e-05,0.9999965138561069
11,0.00539905318339925,3.486143892771226e-06,0.9999999999999998
