check,source,metric,value
pooled_L10_within_event_demean_alpha_vs_distance_km,geo_unit_L10/pooled_unit_correlations.csv,p,0.000201594235181
pooled_L10_within_event_demean_alpha_vs_distance_km,geo_unit_L10/pooled_unit_correlations.csv,n,1770.0
mixed_effects_L8_delta_peak_unit,geo_unit_L8/mixed_effects_alpha_unit.csv,beta,-0.7100551673031101
mixed_effects_L8_delta_peak_unit,geo_unit_L8/mixed_effects_alpha_unit.csv,p,0.0055464967648522
mixed_effects_L8_delta_peak_unit,geo_unit_L8/mixed_effects_alpha_unit.csv,n_obs,275.0
mixed_effects_L8_distance_km,geo_unit_L8/mixed_effects_alpha_unit.csv,beta,4.0245898033744175e-05
mixed_effects_L8_distance_km,geo_unit_L8/mixed_effects_alpha_unit.csv,p,0.3296207345057541
mixed_effects_L8_distance_km,geo_unit_L8/mixed_effects_alpha_unit.csv,n_obs,275.0
mixed_effects_L8_D_peak_unit,geo_unit_L8/mixed_effects_alpha_unit.csv,beta,0.7319467839546184
mixed_effects_L8_D_peak_unit,geo_unit_L8/mixed_effects_alpha_unit.csv,p,0.0384285966177498
mixed_effects_L8_D_peak_unit,geo_unit_L8/mixed_effects_alpha_unit.csv,n_obs,275.0
pooled_L8_pooled_raw_alpha_vs_delta_peak_unit,geo_unit_L8/pooled_unit_correlations.csv,rho,-0.2216012232768817
pooled_L8_pooled_raw_alpha_vs_delta_peak_unit,geo_unit_L8/pooled_unit_correlations.csv,p,0.000212007717883
pooled_L8_pooled_raw_alpha_vs_delta_peak_unit,geo_unit_L8/pooled_unit_correlations.csv,n,275.0
pooled_L8_pooled_raw_alpha_vs_D_peak_unit,geo_unit_L8/pooled_unit_correlations.csv,rho,-0.0071584778281065
pooled_L8_pooled_raw_alpha_vs_D_peak_unit,geo_unit_L8/pooled_unit_correlations.csv,p,0.9059323922516054
pooled_L8_pooled_raw_alpha_vs_D_peak_unit,geo_unit_L8/pooled_unit_correlations.csv,n,275.0
pooled_L8_pooled_raw_alpha_vs_distance_km,geo_unit_L8/pooled_unit_correlations.csv,rho,0.2757306482790456
pooled_L8_pooled_raw_alpha_vs_distance_km,geo_unit_L8/pooled_unit_correlations.csv,p,3.4514558841677942e-06
pooled_L8_pooled_raw_alpha_vs_distance_km,geo_unit_L8/pooled_unit_correlations.csv,n,275.0
pooled_L8_within_event_demean_alpha_vs_delta_peak_unit,geo_unit_L8/pooled_unit_correlations.csv,rho,-0.2365061596607137
pooled_L8_within_event_demean_alpha_vs_delta_peak_unit,geo_unit_L8/pooled_unit_correlations.csv,p,7.480002985457472e-05
pooled_L8_within_event_demean_alpha_vs_delta_peak_unit,geo_unit_L8/pooled_unit_correlations.csv,n,275.0
pooled_L8_within_event_demean_alpha_vs_D_peak_unit,geo_unit_L8/pooled_unit_correlations.csv,rho,0.113937278208938
pooled_L8_within_event_demean_alpha_vs_D_peak_unit,geo_unit_L8/pooled_unit_correlations.csv,p,0.0591631615512648
pooled_L8_within_event_demean_alpha_vs_D_peak_unit,geo_unit_L8/pooled_unit_correlations.csv,n,275.0
pooled_L8_within_event_demean_alpha_vs_distance_km,geo_unit_L8/pooled_unit_correlations.csv,rho,0.0232001384841753
pooled_L8_within_event_demean_alpha_vs_distance_km,geo_unit_L8/pooled_unit_correlations.csv,p,0.7016976015586673
pooled_L8_within_event_demean_alpha_vs_distance_km,geo_unit_L8/pooled_unit_correlations.csv,n,275.0
