Partner opinion rerun checklist (20260223_1725)

[Inclusion flow]
                     step  n
               total_fits 15
          data_quality_ok 14
analysis_applicability_ok 13
          route_b_base_ok 12
         route_b_selected 12
    route_b_selected_plot 11

[Drop reasons]
            drop_reason_primary  n
                       selected 12
   analysis_n_mono_lt_threshold  2
data_quality_missing_near_delta  1

[Core metrics]
                                                  check                                    source            metric         value
              pooled_L8_pooled_raw_alpha_vs_distance_km  geo_unit_L8/pooled_unit_correlations.csv               rho  2.757306e-01
              pooled_L8_pooled_raw_alpha_vs_distance_km  geo_unit_L8/pooled_unit_correlations.csv                 p  3.451456e-06
              pooled_L8_pooled_raw_alpha_vs_distance_km  geo_unit_L8/pooled_unit_correlations.csv                 n  2.750000e+02
 pooled_L8_within_event_demean_alpha_vs_delta_peak_unit  geo_unit_L8/pooled_unit_correlations.csv               rho -2.365062e-01
 pooled_L8_within_event_demean_alpha_vs_delta_peak_unit  geo_unit_L8/pooled_unit_correlations.csv                 p  7.480003e-05
 pooled_L8_within_event_demean_alpha_vs_delta_peak_unit  geo_unit_L8/pooled_unit_correlations.csv                 n  2.750000e+02
     pooled_L8_within_event_demean_alpha_vs_D_peak_unit  geo_unit_L8/pooled_unit_correlations.csv               rho  1.139373e-01
     pooled_L8_within_event_demean_alpha_vs_D_peak_unit  geo_unit_L8/pooled_unit_correlations.csv                 p  5.916316e-02
     pooled_L8_within_event_demean_alpha_vs_D_peak_unit  geo_unit_L8/pooled_unit_correlations.csv                 n  2.750000e+02
     pooled_L8_within_event_demean_alpha_vs_distance_km  geo_unit_L8/pooled_unit_correlations.csv               rho  2.320014e-02
     pooled_L8_within_event_demean_alpha_vs_distance_km  geo_unit_L8/pooled_unit_correlations.csv                 p  7.016976e-01
     pooled_L8_within_event_demean_alpha_vs_distance_km  geo_unit_L8/pooled_unit_correlations.csv                 n  2.750000e+02
