window_start_pt,hours_since_quake,distance_band,n_tiles,n_tiles_crisis,n_tiles_overlap,baseline_sum,crisis_sum,baseline_sum_overlap,crisis_sum_overlap,baseline_mean,crisis_mean,tile_coverage_ratio,baseline_mean_overlap,crisis_mean_overlap,tile_overlap_ratio,net_change,phi_aggregate
2023-02-05 08:00:00,-8.0,0-25km,71,65,61,3048.560095529126,2911.627340595877,2912.1387494152114,2867.9403910090864,42.93746613421305,44.794266778398104,0.9154929577464789,47.73997949861002,47.0154162460506,0.8591549295774648,-136.93275493324927,0.9550828093780837
2023-02-05 08:00:00,-8.0,100-200km,1761,1778,1640,330730.71622978966,338991.33084341104,328117.8741842408,336983.0258454288,187.8084703178817,190.6587912505124,1.0096536059057353,200.07187450258587,205.47745478379807,0.9312890403180011,8260.61461362138,1.0249768594456221
2023-02-05 08:00:00,-8.0,200km+,23050,22881,21259,5282777.553824655,5399672.892304079,5238876.781543405,5373825.827846295,229.18774636983318,235.9893751280136,0.9926681127982646,246.43100717547415,252.77886202767277,0.9222993492407809,116895.3384794239,1.0221276283713279
2023-02-05 08:00:00,-8.0,25-50km,397,405,374,151743.77427858463,157113.42474446064,151086.58027972348,156674.59099652426,382.22613168409225,387.93438208508803,1.0201511335012594,403.97481358214833,418.91601870728414,0.9420654911838791,5369.65046587601,1.035386298326928
2023-02-05 08:00:00,-8.0,50-100km,646,633,577,87089.80980974312,88991.9431999119,85132.58445068856,88258.40402582964,134.81394707390575,140.5875879935417,0.9798761609907121,147.54347391800445,152.96083886625587,0.8931888544891641,1902.1333901687758,1.021841055736879
2023-02-06 08:00:00,16.0,0-25km,72,70,42,3456.0395544965086,4261.683873709666,2720.5465443526723,3708.0905767811782,48.000549368007064,60.88119819585237,0.9722222222222222,64.77491772268267,88.28787087574234,0.5833333333333334,805.6443192131574,1.2331120076924371
2023-02-06 08:00:00,16.0,100-200km,1810,1970,1371,337770.2700899305,234906.00892470853,322298.27670130605,225122.28552957904,186.61340888946438,119.24162889579112,1.0883977900552486,235.08262341451936,164.2029799632232,0.7574585635359116,-102864.26116522198,0.6954608789641711
2023-02-06 08:00:00,16.0,200km+,23307,24286,21725,5380571.96384329,5608333.936269884,5338497.283750993,5566871.769265073,230.85647933424679,230.92868056781208,1.0420045479898743,245.73059994250832,256.2426591146179,0.9321233964045137,227761.97242659424,1.0423304388375667
2023-02-06 08:00:00,16.0,25-50km,396,353,271,155714.20514411392,90693.29573513617,151261.52633487148,89110.86899100874,393.2176897578634,256.92151766327527,0.8914141414141414,558.1606137818136,328.82239480077027,0.6843434343434344,-65020.90940897775,0.5824343106731931
2023-02-06 08:00:00,16.0,50-100km,647,779,501,88596.87639532663,57190.563714685726,84069.58744737135,52719.741522307864,136.93489396495616,73.41535778521916,1.204018547140649,167.80356775922425,105.22902499462647,0.7743431221020093,-31406.312680640905,0.6455144474789006
2023-02-07 08:00:00,40.0,0-25km,71,80,47,3511.133169433011,4727.985037167776,2971.07151607215,4097.866797562197,49.45257985116917,59.0998129645972,1.1267605633802817,63.214287576003194,87.18865526728078,0.6619718309859155,1216.8518677347647,1.3465695571812406
