r_bin_km,phi_mean,r_center_km,abs_dev
0.0,0.9814198675811414,5.0,0.018580132418858586
10.0,0.9648443303689098,15.0,0.03515566963109018
20.0,1.0453866138351378,25.0,0.04538661383513776
30.0,1.019852015309573,35.0,0.019852015309572923
40.0,0.9442745133215815,45.0,0.05572548667841848
50.0,0.9561676214564843,55.0,0.04383237854351574
60.0,0.9385914869278142,65.0,0.061408513072185755
70.0,0.9630796531973553,75.0,0.036920346802644666
80.0,0.9985251787379882,85.0,0.0014748212620118162
90.0,0.9487894936914735,95.0,0.05121050630852653
100.0,0.9475967822873166,105.0,0.052403217712683414
110.0,0.9731751442488372,115.0,0.02682485575116278
120.0,0.9308538180255126,125.0,0.06914618197448741
130.0,0.9479515491110302,135.0,0.05204845088896981
140.0,0.9895073396610292,145.0,0.010492660338970783
150.0,0.931424126241486,155.0,0.06857587375851404
160.0,0.9280078266258163,165.0,0.07199217337418373
170.0,0.9656310307279132,175.0,0.03436896927208677
180.0,0.9905149041199321,185.0,0.009485095880067851
190.0,0.9263584950276892,195.0,0.07364150497231081
