subset,n,spearman_rho_alpha_vs_Dinf,spearman_p_alpha_vs_Dinf
selected,13,-0.8681318681318682,0.0001191025598004272
selected_r2_ge_0p8,11,-0.7818181818181819,0.004473162252783043
