removed_slug,n_after_remove,spearman_rho,spearman_p
flooding_in_central_and_eastern_europe_sept_16_2024,12,-0.5734265734265735,0.05126558978649151
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,12,-0.5244755244755246,0.08001937592027474
hurricane_beryl_across_southeastern_texas_us,12,-0.5104895104895105,0.08991373630263919
hurricane_beryl_pre_landfall_2024,12,-0.5664335664335665,0.054842119775407906
hurricane_john_across_southeastern_guerrero_mexico,12,-0.5314685314685316,0.07536233505348361
hurricane_john_southern_mexico_25_september_2024,12,-0.5594405594405596,0.05858947538856764
moldova_flooding_2024,12,-0.5174825174825175,0.08486877113393476
spain_flood,12,-0.5944055944055945,0.04152149441031857
the_flooding_across_bagmati_and_koshi_provinces_nepal,12,-0.5874125874125874,0.04460929646336318
the_flooding_across_gujarat_india,12,-0.6923076923076924,0.012593030496094112
turkiye_earthquake_2023,12,-0.5874125874125874,0.04460929646336318
typhoon_yagi_across_northeastern_vietnam,12,-0.5384615384615385,0.07089431754922311
wildfires_in_boise_county_idaho_27_august_2024,12,-0.5944055944055945,0.04152149441031857
