slug,n_units_fit,rho_alpha_vs_delta_peak_unit,p_alpha_vs_delta_peak_unit,n_alpha_vs_delta_peak_unit,rho_alpha_vs_D_peak_unit,p_alpha_vs_D_peak_unit,n_alpha_vs_D_peak_unit,rho_alpha_vs_distance_km,p_alpha_vs_distance_km,n_alpha_vs_distance_km
flooding_in_central_and_eastern_europe_sept_16_2024,412,-0.4271311015070241,1.0630127850777455e-19,412,-0.07123252977130647,0.14893498529899354,412,-0.0978142341857871,0.047240219472404775,412
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,86,0.09710835416764942,0.3737490600915903,86,-0.08607009764611538,0.43071705317185927,86,0.05301193452521346,0.6278467661004906,86
hurricane_beryl_across_southeastern_texas_us,202,0.03572757099252312,0.6137033996931235,202,0.2931591372503915,2.294482342269869e-05,202,0.18172295135549876,0.009644324330267115,202
hurricane_beryl_pre_landfall_2024,14,-0.1076923076923077,0.7140308087262492,14,0.1076923076923077,0.7140308087262492,14,-0.059340659340659345,0.8403017626906825,14
hurricane_john_across_southeastern_guerrero_mexico,69,-0.12572159298502011,0.30332252864143716,69,0.05023748629886738,0.6818505056672659,69,0.06434051881622216,0.5994209600726004,69
hurricane_john_southern_mexico_25_september_2024,273,-0.13667847824138077,0.023911619947418368,273,0.15537253643737112,0.01013970251391436,273,0.15546159508160365,0.010096105616869498,273
hurricane_milton_across_florida_us,171,0.043305253557971546,0.5738434701564619,171,0.35393956848345215,2.043710596684836e-06,171,-0.06784745722034224,0.3779229759303184,171
moldova_flooding_2024,17,-0.17647058823529413,0.49806765732373415,17,-0.34068627450980393,0.18085079957050132,17,-0.39460784313725494,0.11700232160229733,17
spain_flood,164,-0.10739869138791777,0.17105653061329817,164,-0.08140600982139212,0.30008429472593506,164,0.07307823106117284,0.3524001270202623,164
the_flooding_across_bagmati_and_koshi_provinces_nepal,38,0.13447860816281867,0.4208452058954137,38,-0.25484188642083383,0.12256579684764628,38,-0.002079002079002079,0.9901162886818701,38
the_flooding_across_eastern_bangladesh,23,0.07707509881422926,0.7266792044274873,23,-0.358695652173913,0.09280630150475401,23,0.09288537549407114,0.6733651189007193,23
the_flooding_across_gujarat_india,217,-0.075463765460806,0.2683764679306391,217,0.08939434509129686,0.18955954085442114,217,0.12497827383888349,0.06611796410099169,217
turkiye_earthquake_2023,257,-0.4810926330196361,2.7149436045365064e-16,257,-0.2266911648267125,0.00024807706243550417,257,0.2462736686725183,6.594690723200519e-05,257
typhoon_yagi_across_northeastern_vietnam,19,0.5947368421052631,0.007235259140961918,19,-0.5947368421052631,0.007235259140961918,19,-0.34210526315789475,0.15167196068434077,19
wildfires_in_boise_county_idaho_27_august_2024,20,0.19999999999999998,0.3978729793519616,20,0.24060150375939846,0.3068610916782757,20,-0.09473684210526315,0.6911525963694356,20
