removed_slug,n_after_remove,spearman_rho,spearman_p
cambodia_monsoon_season_study_2024_05_09,17,0.07107843137254903,0.7863266619781205
flooding_in_central_and_eastern_europe_sept_16_2024,17,0.16176470588235298,0.5350755062766513
hurricane_john_across_southeastern_guerrero_mexico,17,0.17401960784313728,0.5041495460552976
hurricane_john_southern_mexico_25_september_2024,17,0.16666666666666669,0.5226031535880373
hurricane_melissa_aftermath_2025_11_03,17,0.21568627450980393,0.4057406886339276
india_monsoon_season_study_2024_05_09_nct_delhi_up_bihar,17,0.16666666666666669,0.5226031535880373
moldova_flooding_2024,17,0.13725490196078433,0.5993690521648235
spain_flood,17,0.08333333333333334,0.750504450153402
the_earthquake_across_central_mexico,17,0.07107843137254903,0.7863266619781205
the_flooding_across_eastern_bangladesh,17,0.17401960784313728,0.5041495460552976
the_flooding_across_rio_grande_do_sul_state_brazil,17,0.11029411764705883,0.6734589975422938
the_flooding_in_conakry_city_conakry_guinea,17,0.1593137254901961,0.5413616326261632
the_wildfires_in_quito_pichincha_province_ecuador,17,0.2843137254901961,0.26873189936784375
tropical_storm_debby_united_states_pre_landfall_4_august_2024,17,0.07107843137254903,0.7863266619781205
turkiye_earthquake_2023,17,0.18382352941176472,0.4800344013399135
typhoon_krathon_across_taiwan,17,0.07598039215686275,0.7719448512425435
typhoon_yagi_across_northeastern_vietnam,17,0.3602941176470589,0.15542704025456905
wildfires_in_boise_county_idaho_27_august_2024,17,0.17401960784313728,0.5041495460552976
