slug,short_name,disaster_type,event_type,D_peak,t_peak_hours,fit_method,fit_min_tprime_hours,n_mono,n_post_fit,n_total_post,alpha,logA,r2,t_decay_start,t_decay_end,D_inf,D_inf_abs
cambodia_monsoon_season_study_2024_05_09,cambodia_monsoon_seaso,monsoon,EVAC,0.2813058094235828,536.0,full_post_peak,24.0,12,12,12,-0.12642596926875785,-1.879099150490377,0.15973693681524992,24.0,288.0,0.30104830816162287,0.08468663800300551
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,0.10059199886783282,416.0,full_post_peak,24.0,9,9,9,0.030043994193228937,-0.011598940670852737,0.15036397772421572,24.0,212.0,0.8665136001354186,0.08716433508378377
hurricane_debby_across_florida_and_georgia_us,debby_pre,hurricane,NEUTRAL,0.05224842952977174,172.0,full_post_peak,24.0,0,0,0,,,,,,,
hurricane_john_across_southeastern_guerrero_mexico,john_gue,hurricane,INFL,0.10899116369719182,80.0,full_post_peak,24.0,6,6,6,0.022077767200225265,-0.05536906329919747,0.035039440042233694,24.0,140.0,0.888526033735027,0.09684148639203091
hurricane_john_southern_mexico_25_september_2024,john_sm,hurricane,INFL,0.11053039671451696,80.0,full_post_peak,24.0,12,12,12,0.035031218292477094,0.02184695153410421,0.11936102523172887,24.0,284.0,0.8691641345604879,0.09606905660300054
hurricane_melissa_10_27_2025,melissa,hurricane,NEUTRAL,0.4724414077110588,52.0,full_post_peak,24.0,3,3,4,-0.13829454061666388,-1.8440353494868051,0.41435928373217945,248.0,288.0,0.34361243731652263,0.16233674359284592
hurricane_melissa_aftermath_2025_11_03,melissa_aft,hurricane,EVAC,0.32761606105846197,36.0,full_post_peak,24.0,4,4,5,0.127890182796929,0.37016906394318466,0.9939253040754642,36.0,444.0,0.6725928596577806,0.22035222337712898
india_monsoon_season_study_2024_05_09_nct_delhi_up_bihar,india_monsoon_season_s,monsoon,INFL,0.18148306873830664,536.0,full_post_peak,24.0,12,12,12,-0.010299231803413248,-1.0777807014358902,0.0008623303026109586,24.0,288.0,0.3207343844812271,0.05820786034554501
line_fire_southern_california_9_september_2024,line_fire,wildfire,INFL,0.1202653175000561,336.0,full_post_peak,24.0,0,0,0,,,,,,,
moldova_flooding_2024,moldova,flood,INFL,0.0631527023112268,344.0,full_post_peak,24.0,13,13,13,-0.0015535716720057363,-0.2519433617834613,0.00016826550957793618,24.0,308.0,0.7740437278372516,0.04888295311997821
pakistan_monsoon_season_study_sindh_2024_05_09,pakistan_monsoon_seaso,monsoon,INFL,0.08646891672754135,824.0,full_post_peak,24.0,0,0,0,,,,,,,
park_fire_2024,park_fire1,wildfire,INFL,0.06267427957325017,388.0,full_post_peak,24.0,0,0,0,,,,,,,
park_fire_california_29_july_2024,park_fire2,wildfire,NEUTRAL,0.03133960305118296,272.0,full_post_peak,24.0,3,3,3,-0.19679983994437963,-0.8251062792415003,0.9865328198352138,24.0,68.0,0.9960980081631389,0.031217316175906777
spain_flood,spain_flood,flood,INFL,0.12910513786241298,104.0,full_post_peak,24.0,5,5,5,0.1654823716437604,0.40343433397128736,0.5309720555128496,24.0,116.0,0.785070108828101,0.10135658463191155
the_earthquake_across_central_mexico,the_earthquake_across_,earthquake,INFL,0.24759529687456974,32.0,full_post_peak,24.0,4,4,4,0.3479752777497077,0.7066884660171192,0.893023087603731,24.0,96.0,0.3869447158247225,0.0958056917886682
the_earthquake_across_dhaka_division_bangladesh,the_earthquake_across_,earthquake,INFL,0.09190257647023503,296.0,full_post_peak,24.0,0,0,1,,,,,,0.7146598544029573,0.06567908191947482
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,flood,EVAC,0.1316684230424645,320.0,full_post_peak,24.0,0,0,1,,,,,,0.9991124820276355,0.13155156495062142
the_flooding_across_eastern_bangladesh,bangladesh_fld,flood,INFL,0.08402106945945663,8.0,full_post_peak,24.0,11,11,11,0.06212540846160869,-0.543034321647206,0.018354297761522198,24.0,260.0,0.5248685650853776,0.044100018164123844
the_flooding_across_gujarat_india,gujarat_fld,flood,EVAC,0.10868525430476639,128.0,full_post_peak,24.0,2,2,2,,,,24.0,44.0,0.7667052772945702,0.08332955803956679
