group,bin_lo,bin_hi,n_events,mean_Dnorm,std_Dnorm,cv,quality
all,0.0,0.5,10,0.7402873374232477,0.12823923172806234,0.17322899534447064,good
all,0.5,1.0,11,0.6510383884141707,0.10123694894904833,0.15550073659349944,good
all,1.0,1.5,14,0.520454033853936,0.20234770992269463,0.3887907418534544,medium
all,1.5,2.0,5,0.2363453963011791,0.03127385974060453,0.13232269479347802,good
all,2.0,2.5,7,0.25642115627204315,0.09387340946576578,0.36609073459669333,medium
all,2.5,3.0,4,0.24664949985283424,0.10560706306249801,0.4281665404775175,medium
EVAC,0.0,0.5,6,0.7505400222335793,0.14658223757614727,0.1953023599460079,good
EVAC,0.5,1.0,7,0.6185518447317052,0.08651184714432471,0.1398619176082951,good
EVAC,1.0,1.5,9,0.426305562042365,0.13117622508423102,0.3077047000179536,medium
EVAC,1.5,2.0,5,0.2363453963011791,0.03127385974060453,0.13232269479347802,good
EVAC,2.0,2.5,6,0.24304906716313046,0.09525037092696542,0.3918977021336806,medium
EVAC,2.5,3.0,4,0.24664949985283424,0.10560706306249801,0.4281665404775175,medium
INFL,0.0,0.5,4,0.7249083102077505,0.11401634376465888,0.15728381391018004,good
INFL,0.5,1.0,4,0.7078898398584856,0.11145615188472668,0.15744844128149643,good
INFL,1.0,1.5,5,0.6899212831147636,0.20691240445139514,0.2999072640827297,good
INFL,1.5,2.0,0,,,,insufficient
INFL,2.0,2.5,1,0.3366536909255193,,,insufficient
INFL,2.5,3.0,0,,,,insufficient
