slug,short_name,name,disaster_type,output_root,n_time_windows,n_time_windows_raw,median_step_hours_raw,daily_avg_applied,t_peak_hours,D_peak,event_type,near_delta_peak_windows_mean,D_inf,D_baseline_std,D_peak_snr
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,Flooding In Central And Eastern Europe Sept 16 2024,flood,outputs/_runs/routeB16_groundtruth_20260223,27,27,24.0,0,531.0,0.1426724059165762,INFL,0.10130224222134002,0.8717764245837184,,
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,outputs/_runs/routeB16_groundtruth_20260223,14,14,24.0,0,4.0,0.2361301317007472,EVAC,-0.441916794587687,0.08322137413214004,,
hurricane_beryl_across_southeastern_texas_us,beryl_tx,"Hurricane Beryl Across Southeastern Texas, US",hurricane,outputs/_runs/routeB16_groundtruth_20260223,15,15,24.0,0,6.333333333333333,0.24076115611938526,EVAC,-0.279299263948949,0.11688674322546568,,
hurricane_beryl_pre_landfall_2024,beryl_pre,Hurricane Beryl Pre Landfall Disaster Maps June 30 2024,hurricane,outputs/_runs/routeB16_groundtruth_20260223,0,0,,0,,,EXCLUDED_SHORT,,,,
hurricane_john_across_southeastern_guerrero_mexico,john_gue,"Hurricane John Across Southeastern Guerrero, Mexico",hurricane,outputs/_runs/routeB16_groundtruth_20260223,7,7,24.0,0,179.75,0.18616370552199735,EVAC,-0.2564191584045255,0.43967566493477794,,
hurricane_john_southern_mexico_25_september_2024,john_sm,Hurricane John Southern Mexico 25 September 2024,hurricane,outputs/_runs/routeB16_groundtruth_20260223,15,15,24.0,0,51.0,0.4092680357096154,EVAC,-0.4443284706575831,0.18856673801320967,,
hurricane_milton_across_florida_us,milton_fl,"Hurricane Milton Across Florida, US",hurricane,outputs/_runs/routeB16_groundtruth_20260223,10,10,24.0,0,14.5,0.18733507991933657,INFL,0.033759357812993475,0.609019128771525,,
moldova_flooding_2024,moldova,Moldova Flooding Sept 16 2024,flood,outputs/_runs/routeB16_groundtruth_20260223,28,28,24.0,0,513.0,0.05365626737776713,EVAC,-0.028757709768474058,0.693186276469963,,
spain_flood,spain_flood,Spain Flood (Valencia and Castilla-La Mancha Regions),flood,outputs/_runs/routeB16_groundtruth_20260223,10,10,24.0,0,120.5,0.12423125420700137,INFL,0.20811180573423932,0.82245043959772,,
the_earthquake_across_central_mexico,the_earthquake_across_,The Earthquake Across Central Mexico,earthquake,outputs/_runs/routeB16_groundtruth_20260223,4,4,24.000000000000007,0,26.02833333333333,0.262503108202967,EXCLUDED_SHORT,,,,
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,"The Flooding Across Bagmati and Koshi Provinces, Nepal",flood,outputs/_runs/routeB16_groundtruth_20260223,15,15,24.0,0,3.0,0.18392521794631783,EVAC,-0.06602961055753029,0.5275649759590368,,
the_flooding_across_eastern_bangladesh,bangladesh_fld,The Flooding Across Eastern Bangladesh,flood,outputs/_runs/routeB16_groundtruth_20260223,12,12,24.0,0,117.0,0.10893070269081188,EVAC,-0.09277988026506168,0.3988409454543915,,
the_flooding_across_gujarat_india,gujarat_fld,"The Flooding Across Gujarat, India",flood,outputs/_runs/routeB16_groundtruth_20260223,8,8,24.0,0,207.0,0.1409161552629636,EVAC,-0.1273725976817891,0.636401606471611,,
turkiye_earthquake_2023,turkiye,Turkiye Turkey Earthquake Full Country Version Feb 8 2023,earthquake,outputs/_runs/routeB16_groundtruth_20260223,36,36,24.0,0,14.707222222222224,0.3116740232079004,INFL,0.1053107746504747,0.6087933302681106,,
typhoon_yagi_across_northeastern_vietnam,yagi_vn,Typhoon Yagi Across Northeastern Vietnam,typhoon,outputs/_runs/routeB16_groundtruth_20260223,11,11,24.0,0,33.0,0.27303749230861496,EVAC,-0.43003477461686207,0.2614309842199613,,
wildfires_in_boise_county_idaho_27_august_2024,boise_fire,Wildfires In Boise County Idaho 27 August 2024,wildfire,outputs/_runs/routeB16_groundtruth_20260223,15,15,24.0,0,147.0,0.16208129452856768,INFL,0.2767651541004767,0.28592036607408433,,
