slug,short_name,disaster_type,event_type,D_peak,t_peak_hours,fit_method,fit_min_tprime_hours,n_mono,n_post_fit,n_total_post,alpha,logA,r2,t_decay_start,t_decay_end,D_inf,D_inf_abs
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,0.1426724059165762,531.0,monotone_truncated,24.0,6,7,7,-0.014878197323548087,-0.26017756501145484,0.14082254965527652,24.0,144.0,0.8717764245837184,0.12437843991670976
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,0.2361301317007472,4.0,monotone_truncated,24.0,6,13,13,0.7412300746592427,1.2922176868041935,0.9787072412745618,24.0,144.0,0.08322137413214004,0.019651074034139383
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,0.24076115611938526,6.333333333333333,monotone_truncated,24.0,5,13,14,0.8590372229784201,2.1777353061386395,0.9821388008822166,48.0,144.0,0.11688674322546568,0.02814178743399284
hurricane_john_across_southeastern_guerrero_mexico,john_gue,hurricane,EVAC,0.18616370552199735,179.75,monotone_truncated,24.0,1,6,6,,,,24.0,24.0,0.43967566493477794,0.08185165101210637
hurricane_john_southern_mexico_25_september_2024,john_sm,hurricane,EVAC,0.4092680357096154,51.0,monotone_truncated,24.0,7,12,12,0.6015862381436529,1.400056874422921,0.9624118444576448,24.0,168.0,0.18856673801320967,0.07717433846683598
hurricane_milton_across_florida_us,milton_fl,hurricane,INFL,0.18733507991933657,14.5,monotone_truncated,24.0,2,9,9,,,,24.0,48.0,0.609019128771525,0.11409064716081836
moldova_flooding_2024,moldova,flood,EVAC,0.05365626737776713,513.0,monotone_truncated,24.0,3,8,8,0.07063556276725069,-0.08827296688667763,0.39342418783546584,24.0,72.0,0.693186276469963,0.03719378819287114
spain_flood,spain_flood,flood,INFL,0.12423125420700137,120.5,monotone_truncated,24.0,4,5,5,0.08687835060842147,0.12446243258230201,0.9342838377739513,24.0,96.0,0.82245043959772,0.10217404963432439
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,flood,EVAC,0.18392521794631783,3.0,monotone_truncated,24.0,5,14,14,1.1053695205445744,3.017993934198433,0.9685868050107168,24.0,120.0,0.5275649759590368,0.09703250318410978
the_flooding_across_eastern_bangladesh,bangladesh_fld,flood,EVAC,0.10893070269081188,117.0,monotone_truncated,24.0,6,11,11,0.7623456092088486,2.3517276019149653,0.9560158759518463,24.0,144.0,0.3988409454543915,0.04344602445021464
the_flooding_across_gujarat_india,gujarat_fld,flood,EVAC,0.1409161552629636,207.0,monotone_truncated,24.0,2,6,6,,,,24.0,48.0,0.636401606471611,0.08967926758715301
turkiye_earthquake_2023,turkiye,earthquake,INFL,0.3116740232079004,14.707222222222224,monotone_truncated,24.0,2,33,34,,,,48.0,72.0,0.6087933302681106,0.18974506654679804
typhoon_yagi_across_northeastern_vietnam,yagi_vn,typhoon,EVAC,0.27303749230861496,33.0,monotone_truncated,24.0,5,10,10,0.5986783124016587,1.613272392525038,0.9563757209212237,24.0,120.0,0.2614309842199613,0.07138046034319133
wildfires_in_boise_county_idaho_27_august_2024,boise_fire,wildfire,INFL,0.16208129452856768,147.0,monotone_truncated,24.0,2,8,8,,,,24.0,48.0,0.28592036607408433,0.04634234306536955
