window_start_pt,hours_since_quake,r_bin_km,n_tiles,n_tiles_crisis,n_tiles_overlap,baseline_sum,crisis_sum,baseline_sum_overlap,crisis_sum_overlap,phi_aggregate,phi_overlap,tile_overlap_ratio
2024-07-08 08:00:00,0.0,0.0,70,69,69,72618.35803308905,73279.04630437792,72537.54213317388,73279.04630437792,1.0090980888191912,1.010222350377446,0.9857142857142858
2024-07-08 08:00:00,0.0,10.0,192,185,184,168934.6880154973,128693.04457146832,168128.0074062783,128681.7360358857,0.761791708282331,0.765379534445612,0.9583333333333334
2024-07-08 08:00:00,0.0,20.0,342,337,336,314627.4955500499,219144.85466508084,314477.7643715803,219127.5971820376,0.6965216256193986,0.6967983813415852,0.9824561403508771
2024-07-08 08:00:00,0.0,30.0,451,440,434,323877.17375851073,204818.78654132475,323373.9797681634,204745.2948353772,0.6323964858790626,0.633153276531913,0.9623059866962306
2024-07-08 08:00:00,0.0,40.0,546,532,521,203784.33346863644,146787.99817316496,202281.3312653877,146658.5333796412,0.7203105149187362,0.7250225834594153,0.9542124542124543
2024-07-08 08:00:00,0.0,50.0,530,533,515,181521.80796798778,148103.70600880898,181166.6533011761,147874.21011965617,0.8159003464472311,0.8162330507581121,0.9716981132075472
2024-07-08 08:00:00,0.0,60.0,527,526,495,104154.66044622962,87001.30068006532,103593.97403989847,86636.61074450938,0.8353087639796991,0.8363093659399717,0.9392789373814042
2024-07-08 08:00:00,0.0,70.0,538,527,500,89976.71831598722,79419.81563992077,89263.27048420123,79056.75267406381,0.8826707300104911,0.8856582583769,0.929368029739777
2024-07-08 08:00:00,0.0,80.0,496,500,463,47299.18674381822,46900.320127176834,46413.85456388426,46474.42844274643,0.9915671569830211,1.001305081843155,0.9334677419354839
2024-07-08 08:00:00,0.0,90.0,523,533,488,58953.86077121626,53076.60596668207,58196.148511658044,52543.69133931973,0.9003075502155456,0.9028723151463195,0.9330783938814532
2024-07-08 08:00:00,0.0,100.0,499,496,446,59995.6023326194,46561.400311623845,58689.55296008844,45959.87401297306,0.7760802209049341,0.783101449830907,0.8937875751503006
2024-07-08 08:00:00,0.0,110.0,404,389,360,29280.647107016863,22729.68829787564,27707.62511158643,22393.110345802204,0.7762700125718417,0.8081930607772708,0.8910891089108911
2024-07-08 08:00:00,0.0,120.0,286,285,244,10791.09698476225,9616.40872581859,9869.193913244831,9157.332886554886,0.891142831854593,0.9278703982364152,0.8531468531468531
2024-07-08 08:00:00,0.0,130.0,237,251,224,7950.727383546367,8413.15121313326,7762.590387633257,8081.529171449445,1.058161197998545,1.0410866434900772,0.9451476793248945
2024-07-08 08:00:00,0.0,140.0,352,353,316,24768.681864916296,24592.803037707396,24163.054746347578,24174.54907236706,0.9928991446469332,1.0004756983808605,0.8977272727272727
2024-07-08 08:00:00,0.0,150.0,406,411,380,43034.13543720452,39118.805516939785,42578.71875881389,38734.07303501415,0.9090180415968159,0.9097049926378095,0.9359605911330049
2024-07-08 08:00:00,0.0,160.0,443,433,410,46114.27442189785,44430.13468814484,45188.99198222206,44158.63553127239,0.9634789931129595,0.9771989503250034,0.9255079006772009
2024-07-08 08:00:00,0.0,170.0,584,594,549,50031.50399788235,49189.7280341029,48717.19297055842,48662.498255453414,0.983175081768178,0.9988773015896449,0.940068493150685
2024-07-08 08:00:00,0.0,180.0,574,588,541,64539.63910898595,62464.977491118974,63709.45175991938,61912.84837436231,0.9678544589571757,0.9718000495071385,0.9425087108013938
2024-07-08 08:00:00,0.0,190.0,639,654,603,151716.58111871628,148171.97010103776,151227.97907270188,147585.5197970795,0.9766366273775646,0.975914117890372,0.9436619718309859
2024-07-08 08:00:00,0.0,200.0,663,675,636,218277.47198509914,211908.73487833427,217890.1853057238,211454.80750162757,0.9708227466222459,0.9704650404740962,0.9592760180995475
2024-07-08 08:00:00,0.0,210.0,775,780,746,127325.50068294664,122629.61137810111,126993.10763780173,122235.13252594578,0.9631190195235221,0.9625335957174447,0.9625806451612903
2024-07-08 08:00:00,0.0,220.0,819,842,789,108560.89446306613,106685.68617312089,108184.14054076237,106089.46841999309,0.9827266687583971,0.9806379002476797,0.9633699633699634
2024-07-08 08:00:00,0.0,230.0,848,851,803,117764.10406316648,115801.25207808337,117150.07068384712,115228.56090013703,0.9833323405234734,0.9835978777264619,0.9469339622641509
2024-07-08 08:00:00,0.0,240.0,907,906,860,79625.27255422079,77841.1958345152,79007.45290826267,77280.92489552766,0.9775940896341582,0.9781472766279439,0.948180815876516
2024-07-08 08:00:00,0.0,250.0,986,989,950,102900.8410066963,101194.67661984675,102459.8751422578,100728.61161277849,0.9834193348649258,0.9831030095725221,0.9634888438133874
2024-07-08 08:00:00,0.0,260.0,853,873,823,135352.42928315987,130287.48077698189,134662.61227920867,129719.24496748295,0.9625795522621762,0.963290721692847,0.9648300117233294
2024-07-08 08:00:00,0.0,270.0,671,672,632,177535.2116822091,171313.65433964843,176709.29559279504,170837.12887155218,0.9649559246100579,0.9667693388650331,0.9418777943368107
2024-07-08 08:00:00,0.0,280.0,591,590,560,160656.46812044174,154111.62727056426,159775.4621415278,153689.34472671564,0.9592618901283768,0.9619083097414476,0.9475465313028765
2024-07-08 08:00:00,0.0,290.0,645,649,618,150879.3464603661,147232.55309589673,150385.55549674778,146891.78204307868,0.9758297378002805,0.9767678920882488,0.958139534883721
2024-07-08 08:00:00,0.0,300.0,489,493,461,33194.710669202905,33444.77374918472,32863.52956071391,33036.4986330008,1.0075332206529464,1.0052632530528207,0.9427402862985685
2024-07-08 08:00:00,0.0,310.0,296,298,269,10078.829129182417,9682.504828806072,9741.66945008776,9349.240306164927,0.9606775454473356,0.959716438138917,0.9087837837837838
2024-07-08 08:00:00,0.0,320.0,341,332,312,19266.11995741253,18410.03069357521,18904.322516723245,18189.062150584155,0.9555650403023704,0.9621641894066105,0.9149560117302052
2024-07-08 08:00:00,0.0,330.0,216,212,198,13432.09140164901,13024.37070159295,13159.67752905668,12868.913922303578,0.9696457768292133,0.9779049595925817,0.9166666666666666
2024-07-08 08:00:00,0.0,340.0,189,196,179,19450.039144056565,19277.247142044667,19286.994309541762,19084.525393910983,0.9911161103208012,0.9895023085307485,0.9470899470899471
2024-07-08 08:00:00,0.0,350.0,177,178,168,16304.34412755456,15641.96442179599,16200.406949683878,15530.277590275758,0.9593740354977458,0.9586350292625707,0.9491525423728814
2024-07-08 08:00:00,0.0,360.0,94,89,85,3947.295606597549,3864.55836140111,3805.8242375049126,3808.095750227507,0.979039511239505,1.0005968517148558,0.9042553191489362
2024-07-08 08:00:00,0.0,370.0,26,27,23,565.9309257239429,576.0496977100456,534.4918225870458,530.6700840115392,1.0178798710693513,0.9928497716634678,0.8846153846153846
2024-07-08 08:00:00,0.0,380.0,20,20,18,701.7596289946298,691.5014326409473,673.3431976555196,661.1749205054787,0.985382179410379,0.9819285660085243,0.9
2024-07-08 08:00:00,0.0,390.0,3,3,2,39.3276613761642,41.839498030262234,26.9706076676863,21.010833260213488,1.0638694640414192,0.7790270623152008,0.6666666666666666
2024-07-08 08:00:00,0.0,400.0,1,2,1,17.982487700802835,29.286916391424363,17.982487700802835,17.8755303008583,1.628635419009175,0.994052135515168,1.0
2024-07-08 08:00:00,0.0,410.0,2,2,2,45.67432422574061,55.021376442949986,45.67432422574061,55.021376442949986,1.2046456598024864,1.2046456598024864,1.0
2024-07-09 08:00:00,24.0,430.0,13,10,10,456.2241880457032,406.06897589210666,421.2782907210072,406.06897589210666,0.890064548378193,0.9638972262186353,0.7692307692307693
2024-07-09 08:00:00,24.0,440.0,3,6,3,53.29707827022002,83.38404583044336,53.29707827022002,50.20709231296183,1.564514388719026,0.9420233517944128,1.0
2024-07-09 08:00:00,24.0,450.0,9,11,7,173.7110219087451,195.2959435778366,146.63512562453943,150.6188523398133,1.1242576402574536,1.0271676155239517,0.7777777777777778
2024-07-09 08:00:00,24.0,460.0,27,31,26,1438.2920866681911,1455.2735332188488,1428.1889945895846,1392.4524034657247,1.011806674532984,0.9749776876455141,0.9629629629629629
2024-07-09 08:00:00,24.0,470.0,66,65,61,1649.7887142792306,1600.1391188699702,1588.4082225112415,1552.4589945611754,0.969905482453884,0.977367765137081,0.9242424242424242
2024-07-09 08:00:00,24.0,480.0,59,55,52,1678.9647770129131,1648.4584045456431,1601.9925739120445,1615.469627027758,0.9818302486836296,1.0084126813914016,0.8813559322033898
2024-07-09 08:00:00,24.0,490.0,60,61,56,5394.173791624678,5096.54153152618,5347.661987773446,5043.3444821088615,0.9448233832286568,0.9430933543742375,0.9333333333333333
