"start_latitude","start_longitude","end_latitude","end_longitude","length_km","start_quadkey","end_quadkey","country","date_time","n_baseline","n_crisis","n_difference","percent_change","z_score","ds"
"18.906286173031795","-70.279541015625","18.906286173031795","-70.257568359375","2.3114378495957753","03221130020023","03221130020032","DO","2025-11-01 16:00","50.70323257409319","63.0","12.296767425906808","23.78336288410005","0.6079922931308143","2025-11-01"
"18.906286173031795","-70.279541015625","18.88549765488575","-70.257568359375","3.2690697609117345","03221130020023","03221130020210","DO","2025-11-01 16:00","","15.0","","","","2025-11-01"
"18.906286173031795","-70.279541015625","18.92707210814521","-70.169677734375","11.785334009991265","03221130020023","03221130020130","DO","2025-11-01 16:00","","14.0","","","","2025-11-01"
"18.906286173031795","-70.279541015625","18.906286173031795","-70.279541015625","0.0","03221130020023","03221130020023","DO","2025-11-01 16:00","694.3878232722917","761.0","66.61217672770829","9.579140516762411","0.24833861248788192","2025-11-01"
"18.427501656067832","-69.949951171875","18.469188587923547","-69.90600585937499","6.55542098558313","03221130212020","03221130212010","DO","2025-11-01 16:00","","14.0","","","","2025-11-01"
"18.427501656067832","-69.949951171875","18.427501656067832","-69.949951171875","0.0","03221130212020","03221130212020","DO","2025-11-01 16:00","495.0841283047822","567.0","71.91587169521779","14.496708842705486","0.37327947581075666","2025-11-01"
"18.427501656067832","-69.949951171875","18.469188587923547","-69.92797851562501","5.18251531774663","03221130212020","03221130212001","DO","2025-11-01 16:00","","11.0","","","","2025-11-01"
"18.427501656067832","-69.949951171875","18.427501656067832","-70.015869140625","6.953917515727169","03221130212020","03221130203121","DO","2025-11-01 16:00","","13.0","","","","2025-11-01"
"18.427501656067832","-69.949951171875","18.469188587923547","-69.949951171875","4.6353826054752085","03221130212020","03221130212000","DO","2025-11-01 16:00","","13.0","","","","2025-11-01"
"18.427501656067832","-69.949951171875","18.469188587923547","-69.971923828125","5.18251531774783","03221130212020","03221130203111","DO","2025-11-01 16:00","","13.0","","","","2025-11-01"
"18.427501656067832","-69.949951171875","18.44834638674476","-69.949951171875","2.3178319366382585","03221130212020","03221130212002","DO","2025-11-01 16:00","37.99369232657265","47.0","9.00630767342735","23.096832169673533","0.4866178815349506","2025-11-01"
"18.427501656067832","-69.949951171875","18.44834638674476","-69.993896484375","5.182829826635666","03221130212020","03221130203112","DO","2025-11-01 16:00","","11.0","","","","2025-11-01"
"18.427501656067832","-69.949951171875","18.427501656067832","-69.993896484375","4.63594502467791","03221130212020","03221130203130","DO","2025-11-01 16:00","14.004756712725838","19.0","4.995243287274162","33.29106484637365","0.8083256076485908","2025-11-01"
"18.427501656067832","-69.949951171875","18.44834638674476","-69.927978515625","3.277909385201734","03221130212020","03221130212003","DO","2025-11-01 16:00","23.309328150947263","33.0","9.690671849052737","39.864005244732034","0.983587984416284","2025-11-01"
"18.427501656067832","-69.949951171875","18.44834638674476","-69.971923828125","3.2779093852026824","03221130212020","03221130203113","DO","2025-11-01 16:00","","12.0","","","","2025-11-01"
"18.427501656067832","-69.949951171875","18.427501656067832","-69.971923828125","2.317972516596894","03221130212020","03221130203131","DO","2025-11-01 16:00","30.811479306373208","34.0","3.188520693626792","10.023176422946149","0.22514440650621637","2025-11-01"
"17.90556850381341","-77.156982421875","17.90556850381341","-77.156982421875","0.0","03221023001022","03221023001022","JM","2025-11-01 16:00","74.6524492314194","95.0","20.347550768580604","26.89608991552651","0.7036216339176621","2025-11-01"
"18.44834638674476","-69.378662109375","18.44834638674476","-69.378662109375","0.0","03221130303012","03221130303012","DO","2025-11-01 16:00","14.428571428571429","23.0","8.571428571428571","55.55555555555555","1.1227217828476797","2025-11-01"
"18.531699989972637","-69.66430664062501","18.531699989972637","-69.66430664062501","0.0","03221130211303","03221130211303","DO","2025-11-01 16:00","32.27105547810867","42.0","9.728944521891329","29.241466440079346","0.6220127790323071","2025-11-01"
"19.756363895671193","-70.938720703125","19.756363895671193","-70.938720703125","0.0","03221103302031","03221103302031","DO","2025-11-01 16:00","11.285714285714286","13.0","1.7142857142857135","13.953488372093016","0.26171611080971835","2025-11-01"
"19.487307187313725","-70.850830078125","19.487307187313725","-70.850830078125","0.0","03221103320333","03221103320333","DO","2025-11-01 16:00","49.81240307968249","62.0","12.18759692031751","23.985476343650358","0.5804673100563951","2025-11-01"
"26.322959780290276","-77.574462890625","26.322959780290276","-77.574462890625","0.0","03203200310303","03203200310303","BS","2025-11-01 16:00","14.142857142857142","15.0","0.8571428571428577","5.660377358490569","0.11306006288632761","2025-11-01"
"19.466591901253203","-71.488037109375","19.466591901253203","-71.488037109375","0.0","03221103223010","03221103223010","DO","2025-11-01 16:00","","11.0","","","","2025-11-01"
"18.44834638674476","-77.969970703125","18.44834638674476","-77.969970703125","0.0","03221020302013","03221020302013","JM","2025-11-01 16:00","19.0","","","","","2025-11-01"
"19.010189970010032","-69.268798828125","19.010189970010032","-69.268798828125","0.0","03221130103331","03221130103331","DO","2025-11-01 16:00","17.571428571428573","19.0","1.428571428571427","7.6923076923076845","0.15232744568104364","2025-11-01"
"18.86470655612314","-71.707763671875","18.88549765488575","-71.707763671875","2.3118683304992955","03221121020202","03221121020200","DO","2025-11-01 16:00","12.428571428571429","16.0","3.571428571428571","26.595744680851062","0.44543540318737396","2025-11-01"
"18.86470655612314","-71.707763671875","18.86470655612314","-71.707763671875","0.0","03221121020202","03221121020202","DO","2025-11-01 16:00","100.71353030822429","106.0","5.286469691775707","5.1974104878240155","0.12316117198298679","2025-11-01"
"19.197053112379514","-70.257568359375","19.197053112379514","-70.257568359375","0.0","03221130000212","03221130000212","DO","2025-11-01 16:00","","11.0","","","","2025-11-01"
"19.487307187313725","-70.323486328125","19.487307187313725","-70.323486328125","0.0","03221103331333","03221103331333","DO","2025-11-01 16:00","37.38888339017449","42.0","4.611116609825508","12.011593468242705","0.29637763040805926","2025-11-01"
"18.177168481358276","-76.40991210937499","18.177168481358276","-76.40991210937499","0.0","03221021321230","03221021321230","JM","2025-11-01 16:00","22.411950410423383","","","","","2025-11-01"
"18.40665439834504","-77.486572265625","18.40665439834504","-77.486572265625","0.0","03221020313023","03221020313023","JM","2025-11-01 16:00","12.65001617711515","","","","","2025-11-01"
"18.88549765488575","-69.664306640625","18.88549765488575","-69.664306640625","0.0","03221130031301","03221130031301","DO","2025-11-01 16:00","12.857142857142858","15.0","2.1428571428571423","15.46391752577319","0.3225247144031479","2025-11-01"
"19.652933877000336","-70.455322265625","19.652933877000336","-70.455322265625","0.0","03221103313223","03221103313223","DO","2025-11-01 16:00","11.571428571428571","11.0","-0.5714285714285712","-4.545454545454543","-0.08929401954728153","2025-11-01"
"19.362975803871336","-71.26831054687501","19.362975803871336","-71.26831054687501","0.0","03221103232302","03221103232302","DO","2025-11-01 16:00","11.142857142857142","10.0","-1.1428571428571423","-9.41176470588235","-0.19098210422376902","2025-11-01"
"18.510865391985682","-69.86206054687501","18.44834638674476","-69.927978515625","9.831339929416025","03221130210320","03221130212003","DO","2025-11-01 16:00","10.428571428571429","","","","","2025-11-01"
"18.510865391985682","-69.86206054687501","18.531699989972637","-69.774169921875","9.552020425552032","03221130210320","03221130211202","DO","2025-11-01 16:00","12.857142857142858","18.0","5.142857142857142","37.113402061855666","0.7769985251430881","2025-11-01"
"18.510865391985682","-69.86206054687501","18.510865391985682","-69.884033203125","2.3168463557386465","03221130210320","03221130210231","DO","2025-11-01 16:00","144.58318858525942","156.0","11.416811414740579","7.842122106052396","0.20219744610592452","2025-11-01"
"18.510865391985682","-69.86206054687501","18.531699989972637","-69.796142578125","7.326065265877103","03221130210320","03221130210313","DO","2025-11-01 16:00","24.649145654506324","38.0","13.350854345493676","52.05184814079003","1.1054084240024749","2025-11-01"
"18.510865391985682","-69.86206054687501","18.510865391985682","-69.86206054687501","0.0","03221130210320","03221130210320","DO","2025-11-01 16:00","4013.0475587401565","4384.0","370.95244125984345","9.241356407253683","0.23997906334197908","2025-11-01"
"18.510865391985682","-69.86206054687501","18.490028257153526","-69.927978515625","7.326957296330673","03221130210320","03221130210223","DO","2025-11-01 16:00","14.857142857142858","19.0","4.142857142857142","26.12612612612612","0.5018683272627928","2025-11-01"
"18.510865391985682","-69.86206054687501","18.469188587923547","-69.884033203125","5.181256231410907","03221130210320","03221130212011","DO","2025-11-01 16:00","21.89359388876402","31.0","9.10640611123598","39.77709290853336","0.832594114804138","2025-11-01"
"18.510865391985682","-69.86206054687501","18.44834638674476","-69.949951171875","11.586345197290866","03221130210320","03221130212002","DO","2025-11-01 16:00","10.142857142857142","","","","","2025-11-01"
"18.510865391985682","-69.86206054687501","18.490028257153526","-69.862060546875","2.3169873159102266","03221130210320","03221130210322","DO","2025-11-01 16:00","149.40774887844879","132.0","-17.407748878448785","-11.573704817905867","-0.2940903317574255","2025-11-01"
"18.510865391985682","-69.86206054687501","18.510865391985682","-69.752197265625","11.58423160697544","03221130210320","03221130211221","DO","2025-11-01 16:00","13.591978146437741","","","","","2025-11-01"
"18.510865391985682","-69.86206054687501","18.469188587923547","-69.949951171875","10.362512469825655","03221130210320","03221130212000","DO","2025-11-01 16:00","14.857142857142858","19.0","4.142857142857142","26.12612612612612","0.5312686102897722","2025-11-01"
"18.510865391985682","-69.86206054687501","18.510865391985682","-69.796142578125","6.950539032875072","03221130210320","03221130210331","DO","2025-11-01 16:00","17.119674705524258","22.0","4.8803252944757425","26.933846074995195","0.6131470425072192","2025-11-01"
"18.510865391985682","-69.86206054687501","18.469188587923547","-69.971923828125","12.478117341523456","03221130210320","03221130203111","DO","2025-11-01 16:00","","10.0","","","","2025-11-01"
"18.510865391985682","-69.86206054687501","18.490028257153526","-69.906005859375","5.180941197116886","03221130210320","03221130210232","DO","2025-11-01 16:00","28.581451458063196","37.0","8.418548541936804","28.458875839380458","0.665548169109665","2025-11-01"
"18.510865391985682","-69.86206054687501","18.510865391985682","-69.840087890625","2.3168463557413297","03221130210320","03221130210321","DO","2025-11-01 16:00","106.84124803563016","131.0","24.15875196436984","22.402144267087785","0.5590672263039296","2025-11-01"
