window_start_pt,hours_since_quake,distance_band,n_tiles,n_tiles_crisis,n_tiles_overlap,baseline_sum,crisis_sum,baseline_sum_overlap,crisis_sum_overlap,baseline_mean,crisis_mean,tile_coverage_ratio,baseline_mean_overlap,crisis_mean_overlap,tile_overlap_ratio,net_change,phi_aggregate
2024-07-29 08:00:00,-8.0,0-25km,279,283,269,70009.41110411109,70464.96031894667,69666.5993131519,70304.80676103661,250.92978890362397,248.99279264645466,1.014336917562724,258.9836405693379,261.3561589629614,0.96415770609319,455.5492148355843,1.0065069711007586
2024-07-29 08:00:00,-8.0,100-200km,3947,4023,3771,845345.1727547002,865388.6579330316,841744.9320597094,861040.5080826189,214.17410001385866,215.11028037112393,1.0192551304788446,223.21530948281872,228.33214215927313,0.9554091715226755,20043.48517833138,1.0237104153715295
2024-07-29 08:00:00,-8.0,200km+,1285,1360,1245,111323.23528679728,114107.41064475066,110795.2328708295,112686.05812747905,86.6328679274687,83.90250782702255,1.0583657587548638,88.99215491632891,90.51089006223216,0.9688715953307393,2784.1753579533834,1.0250098315125376
2024-07-29 08:00:00,-8.0,25-50km,953,969,930,289062.99551671423,291785.5098354921,288531.3475374886,291291.2127690635,303.3189879503822,301.12023718833035,1.0167890870933893,310.2487607929985,313.2163578161973,0.9758656873032528,2722.5143187778885,1.0094184117683802
2024-07-29 08:00:00,-8.0,50-100km,1695,1733,1620,193003.5315057176,197840.47827667405,191949.82929432014,196361.97293835398,113.86639026885994,114.16069144643627,1.0224188790560471,118.4875489471112,121.21109440639135,0.9557522123893806,4836.946770956449,1.0250614417944635
2024-07-30 08:00:00,16.0,0-25km,275,288,270,68718.88558726397,69971.93167973192,68565.30985379807,69440.74100026132,249.88685668095988,242.95809611018026,1.0472727272727274,253.94559205110397,257.18792963059747,0.9818181818181818,1253.04609246795,1.0182343773732585
2024-07-30 08:00:00,16.0,100-200km,3881,3994,3734,838454.8384821613,858215.6871957743,835489.493493315,853893.8525496237,216.04092720488566,214.87623615317332,1.0291162071631024,223.75187292268745,228.68073180225593,0.9621231641329554,19760.848713613,1.0235681730328918
2024-07-30 08:00:00,16.0,200km+,1265,1368,1228,110699.47768458347,113514.90247457736,110165.87320669483,111734.14169416044,87.50946852536242,82.97872987907702,1.0814229249011857,89.71162313248765,90.98871473465834,0.9707509881422924,2815.424789993893,1.0254330449328397
2024-07-30 08:00:00,16.0,25-50km,946,955,921,288778.0961009041,291410.01631386357,288059.858627085,290993.03244479053,305.26225803478235,305.1413783391242,1.0095137420718816,312.768576142329,315.9533468455923,0.9735729386892178,2631.9202129594632,1.0091139883824147
2024-07-30 08:00:00,16.0,50-100km,1655,1696,1576,189657.49314036174,194744.58015462704,188533.0450068367,193190.51884976687,114.59667259236359,114.82581377041689,1.024773413897281,119.62756662870349,122.58281652903989,0.9522658610271904,5087.0870142653,1.0268224942238398
