window_start_pt,hours_since_quake,flow_type,tile_count
2024-07-29,0.0,inflow,1118
2024-07-29,0.0,outflow,5681
2024-07-29,0.0,stable,0
2024-07-29,0.0,unknown,707
2024-07-30,24.0,inflow,1032
2024-07-30,24.0,outflow,5775
2024-07-30,24.0,stable,0
2024-07-30,24.0,unknown,707
2024-07-31,48.0,inflow,985
2024-07-31,48.0,outflow,5835
2024-07-31,48.0,stable,0
2024-07-31,48.0,unknown,697
2024-08-01,72.0,inflow,1066
2024-08-01,72.0,outflow,5750
2024-08-01,72.0,stable,0
2024-08-01,72.0,unknown,685
2024-08-02,96.0,inflow,1062
2024-08-02,96.0,outflow,5768
2024-08-02,96.0,stable,0
2024-08-02,96.0,unknown,708
2024-08-03,120.0,inflow,1150
2024-08-03,120.0,outflow,5521
2024-08-03,120.0,stable,0
2024-08-03,120.0,unknown,731
2024-08-04,144.0,inflow,1101
2024-08-04,144.0,outflow,5483
2024-08-04,144.0,stable,0
2024-08-04,144.0,unknown,686
2024-08-05,168.0,inflow,1181
2024-08-05,168.0,outflow,5632
2024-08-05,168.0,stable,0
2024-08-05,168.0,unknown,673
2024-08-06,192.0,inflow,992
2024-08-06,192.0,outflow,5870
2024-08-06,192.0,stable,0
2024-08-06,192.0,unknown,673
2024-08-07,216.0,inflow,1184
2024-08-07,216.0,outflow,5636
2024-08-07,216.0,stable,0
2024-08-07,216.0,unknown,723
2024-08-08,240.0,inflow,1155
2024-08-08,240.0,outflow,5669
2024-08-08,240.0,stable,0
2024-08-08,240.0,unknown,654
2024-08-09,264.0,inflow,1286
2024-08-09,264.0,outflow,5517
2024-08-09,264.0,stable,0
2024-08-09,264.0,unknown,736
2024-08-10,288.0,inflow,1096
2024-08-10,288.0,outflow,5536
2024-08-10,288.0,stable,0
2024-08-10,288.0,unknown,729
2024-08-11,312.0,inflow,1059
2024-08-11,312.0,outflow,5472
2024-08-11,312.0,stable,0
2024-08-11,312.0,unknown,720
2024-08-12,336.0,inflow,1178
2024-08-12,336.0,outflow,5628
2024-08-12,336.0,stable,0
2024-08-12,336.0,unknown,705
2024-08-13,360.0,inflow,1021
2024-08-13,360.0,outflow,5821
2024-08-13,360.0,stable,0
2024-08-13,360.0,unknown,691
2024-08-14,384.0,inflow,1402
2024-08-14,384.0,outflow,5447
2024-08-14,384.0,stable,0
2024-08-14,384.0,unknown,701
