t_start_hours,t_end_hours,duration_hours,n_windows
24.0,24.0,0.0,1
80.0,80.0,0.0,1
112.0,112.0,0.0,1
136.0,136.0,0.0,1
160.0,160.0,0.0,1
176.0,192.0,16.0,3
224.0,224.0,0.0,1
240.0,240.0,0.0,1
256.0,264.0,8.0,2
312.0,312.0,0.0,1
