"coverage","country","lon","lat"
"1","PT","-9.283447265625002","38.91668102155377"
"1","PT","-9.129638671875","38.47079319817235"
"1","PT","-8.975830078124998","39.698733625822285"
"1","PT","-9.107666015625","39.308799779710654"
"1","PT","-9.019775390624998","39.71563761708012"
"1","PT","-8.734130859375002","39.05331759139647"
"1","PT","-8.492431640625","39.376771480078936"
"1","PT","-8.909912109375","39.08743551668511"
"1","PT","-8.558349609375002","38.83114929486112"
"1","PT","-9.173583984375","39.27478914553456"
"1","PT","-8.931884765625","38.57393700211938"
"1","PT","-8.646240234375","39.07037861567813"
"1","PT","-9.415283203125","38.77978086376416"
"1","PT","-9.261474609375","39.172658154637446"
"1","PT","-8.734130859375","38.83114929486112"
"1","PT","-8.887939453125","38.5395721587234"
"1","PT","-8.887939453125","39.56335264863388"
"1","PT","-9.063720703125002","39.529466019374105"
"1","PT","-8.953857421875","39.15562187769409"
"1","PT","-9.195556640625002","38.745514670733705"
"1","PT","-8.778076171875","39.32579890153912"
"1","PT","-8.778076171875","39.00210978407514"
"1","PT","-8.404541015625","38.79690778913153"
"1","PT","-9.327392578125002","38.950864885966624"
"1","PT","-9.085693359375","38.89958291122775"
"1","PT","-8.514404296875","39.444677063693995"
"1","PT","-9.085693359375","38.83114929486112"
"1","PT","-8.668212890625","39.58028975715459"
"1","PT","-8.360595703125","39.698733625822285"
"1","PT","-8.975830078125","38.65977721690729"
"1","PT","-8.800048828125","39.58028975715459"
"1","PT","-8.822021484375","38.91668102155377"
"1","PT","-8.426513671875","39.64799680624749"
"1","PT","-9.129638671874998","38.91668102155377"
"1","PT","-8.492431640625","39.58028975715459"
"1","PT","-8.953857421875","39.63107625265483"
"1","PT","-8.800048828125","39.64799680624749"
"1","PT","-9.195556640625","38.45358819598149"
"1","PT","-8.690185546875","39.54641140255015"
"1","PT","-8.668212890625","39.66491321994693"
"1","PT","-8.997802734375","38.67693293076353"
"1","PT","-9.459228515624998","38.745514670733705"
"1","PT","-9.239501953125","39.08743551668511"
"1","PT","-9.261474609375","39.07037861567813"
"1","PT","-9.217529296875","38.93377501330977"
"1","PT","-9.239501953125","39.07037861567813"
"1","PT","-8.580322265625002","39.59722272764313"
"1","PT","-8.690185546875","38.65977721690729"
"1","PT","-9.063720703125","38.93377501330977"
"1","PT","-8.778076171875","39.54641140255015"
"1","PT","-8.997802734375","39.01918317507621"
"1","PT","-8.778076171875002","38.98503227187442"
"1","PT","-8.712158203125","39.05331759139647"
"1","PT","-9.415283203125","39.00210978407514"
"1","PT","-8.492431640625","38.67693293076353"
"1","PT","-9.019775390625","39.07037861567813"
"1","PT","-9.305419921875","39.138581474917935"
"1","PT","-9.107666015625","38.96795063899681"
"1","PT","-9.041748046875","39.47860505202283"
"1","PT","-8.558349609375","39.56335264863388"
"1","PT","-8.382568359375","39.410732538426146"
"1","PT","-9.261474609375","38.950864885966624"
"1","PT","-9.151611328125002","39.512516499578055"
