k_ratio,gamma,n_valid,rho_alpha_delta_near,p_alpha_delta_near,rho_alpha_D_peak,p_alpha_D_peak
0.5,-1.0,17,-0.18025754461056334,0.48873997369207645,0.20833333333333337,0.4223129818009653
0.5,-0.7272727272727273,21,-0.09480519480519481,0.6827070112424534,-0.21168831168831168,0.3569580636727213
0.5,-0.4545454545454546,37,-0.10669195679935942,0.5296730780593086,-0.3560929350403034,0.030529604391987535
0.5,-0.18181818181818188,61,0.1289264939185616,0.32204846619817684,-0.4464304600740348,0.00031061459305182067
0.5,0.09090909090909083,75,-0.11832147937411094,0.3119971197718047,0.3658321479374111,0.0012481032174312488
0.5,0.36363636363636354,71,0.18407109322602278,0.12438079378799717,0.26894701542588867,0.02333379847182402
0.5,0.6363636363636362,64,-0.07541208791208791,0.5536828339490687,0.24867216117216118,0.047545007730454655
0.5,0.909090909090909,62,-0.1647654302334366,0.2006406370541012,0.1462818866309083,0.2565851200082694
0.5,1.1818181818181817,58,-0.014242209849580119,0.9154953822281565,0.3455966040173491,0.007881444482181543
0.5,1.4545454545454541,45,-0.05467720685111989,0.7212928326250858,0.1297760210803689,0.3955098744273162
0.5,1.727272727272727,56,0.07067669172932331,0.6047268667679386,0.22720437457279563,0.0921823199966718
0.5,2.0,47,0.082099907493062,0.5832662509774071,0.04486586493987049,0.7645943068716943
0.6818181818181819,-1.0,22,0.2775431196327513,0.21109860404634823,-0.3088650479954828,0.16192826188382295
0.6818181818181819,-0.7272727272727273,22,-0.14172783738001132,0.5292524692456129,-0.38791643139469234,0.07444149018388685
0.6818181818181819,-0.4545454545454546,41,-0.07717770034843208,0.6315031672024487,-0.3000000000000001,0.05669100677848815
0.6818181818181819,-0.18181818181818188,67,-0.2117487429164339,0.0853987133088043,-0.6360044696304574,7.3263641660681794e-09
0.6818181818181819,0.09090909090909083,75,0.10039829302987197,0.39142311172640487,0.47971550497866283,1.3319431198448886e-05
0.6818181818181819,0.36363636363636354,69,0.11958348556814032,0.3277254524325923,0.24921446839605413,0.03892144605678759
0.6818181818181819,0.6363636363636362,70,0.12896509491733008,0.28731862047186546,0.25504330329804914,0.0331057318219487
0.6818181818181819,0.909090909090909,62,0.11606355921533076,0.36901070601133723,0.11107753519176046,0.39007025055203537
0.6818181818181819,1.1818181818181817,61,0.10269698572184029,0.43094170119445996,0.19286092014806977,0.13644790374504495
0.6818181818181819,1.4545454545454541,54,-0.04448256146369353,0.7494320870968932,-0.013226605679435866,0.9243742822123897
0.6818181818181819,1.727272727272727,54,-0.23979416809605486,0.08072945062307031,-0.20137221269296735,0.14424683773129873
0.6818181818181819,2.0,54,0.058204688393367635,0.6759017440892001,0.05187726319801791,0.7094838163973877
0.8636363636363636,-1.0,20,0.20211253347253,0.3928032243823403,0.3699248120300751,0.1084095615537755
0.8636363636363636,-0.7272727272727273,22,0.057610846691563806,0.7989882080342492,0.23433088650479958,0.29387603877736007
0.8636363636363636,-0.4545454545454546,48,0.030178028658271818,0.838654736198201,-0.07066869300911854,0.6331494647724601
0.8636363636363636,-0.18181818181818188,75,-0.24588904694167849,0.03346494831933618,-0.6077667140825036,7.3650573338007854e-09
0.8636363636363636,0.09090909090909083,75,0.16355618776671407,0.16088263526415053,0.5111806543385491,2.780313030985607e-06
0.8636363636363636,0.36363636363636354,70,0.1336540985040679,0.2700038761109642,0.3777272329629954,0.0012654011304814971
0.8636363636363636,0.6363636363636362,71,0.05556673373574781,0.6453305328301207,-0.014520456069751844,0.9043357271977119
0.8636363636363636,0.909090909090909,59,0.1087668030391584,0.41220753067677407,0.1352425482174167,0.30711581554550793
0.8636363636363636,1.1818181818181817,58,0.032452551601095087,0.8089082057082302,-0.05749177150942817,0.6681649723905692
0.8636363636363636,1.4545454545454541,53,-0.15562006128043865,0.2658323065871905,0.09127560070956298,0.5156855703540842
0.8636363636363636,1.727272727272727,59,-0.21490356516656928,0.10214398968011588,0.06125073056691995,0.6449115735398715
0.8636363636363636,2.0,60,-0.004167824395665463,0.9747871930970542,-0.04918032786885247,0.7090282653731811
1.0454545454545454,-1.0,13,-0.370509474577705,0.21267788039111907,-0.3186813186813187,0.2885831614447202
1.0454545454545454,-0.7272727272727273,17,0.38970588235294124,0.12203439858782979,0.5955882352941178,0.011646731380544147
1.0454545454545454,-0.4545454545454546,42,-0.07608783729033304,0.6319958352722501,0.021149015476865735,0.894241051871299
1.0454545454545454,-0.18181818181818188,71,-0.13272971160295105,0.26983635892454577,-0.5864855801475519,7.685451471929516e-08
1.0454545454545454,0.09090909090909083,73,0.009286683944218192,0.9378458434732306,0.47707639145995323,1.9781412185075065e-05
1.0454545454545454,0.36363636363636354,70,0.20675356486746566,0.08592683733306727,0.47595136033592855,3.1224053514523004e-05
1.0454545454545454,0.6363636363636362,66,0.10719131614654005,0.39163295029924483,0.23189646174720804,0.060989996918282365
1.0454545454545454,0.909090909090909,65,0.09742132867132867,0.44009374348063524,0.33763111888111885,0.005950014255052447
1.0454545454545454,1.1818181818181817,59,0.033196960841613096,0.8028938741619789,0.025599064874342495,0.8473861950134008
1.0454545454545454,1.4545454545454541,57,0.09858698470313716,0.46563129581079854,0.06345605392792326,0.6391111612272247
1.0454545454545454,1.727272727272727,46,-0.1396854764107308,0.3545132929333694,0.16016034535923526,0.28766940526017826
1.0454545454545454,2.0,46,0.11230342275670675,0.4574377891285576,0.1131668208448967,0.45396437429280734
1.2272727272727273,-1.0,20,0.07776586488759658,0.7445150526784958,-0.3533834586466165,0.12640665077932206
1.2272727272727273,-0.7272727272727273,20,0.07518796992481201,0.7527267095067718,-0.2270676691729323,0.3356744310134179
1.2272727272727273,-0.4545454545454546,49,-0.2470408163265306,0.08702942871300016,-0.30673469387755103,0.032058087489715746
1.2272727272727273,-0.18181818181818188,72,-0.09183870345359832,0.4429255886097415,-0.5086822303685126,5.0598743414749725e-06
1.2272727272727273,0.09090909090909083,76,0.0551742993848257,0.6359367073699749,0.4841011619958988,9.395656428554738e-06
1.2272727272727273,0.36363636363636354,69,-0.02594081110705152,0.8324350664165159,0.3880891487029595,0.0009842749341839438
1.2272727272727273,0.6363636363636362,67,-0.07510575464921383,0.5458091110934993,0.27607949557027706,0.023732809229086195
1.2272727272727273,0.909090909090909,63,0.06970046082949309,0.5872587530504796,0.3304531490015361,0.008166078111476911
1.2272727272727273,1.1818181818181817,50,-0.04566626650660264,0.752832795730384,0.36028811524609844,0.010165787997905195
1.2272727272727273,1.4545454545454541,54,-0.12795883361921095,0.3564775559993235,0.04349151896321707,0.7548386039084488
1.2272727272727273,1.727272727272727,53,0.11151427189163038,0.42663575252286634,0.27890662796323173,0.04313711487987557
1.2272727272727273,2.0,46,0.0957755164970706,0.5266275601303545,0.025470243601603455,0.8665670349690568
1.4090909090909092,-1.0,26,-0.3686100241939676,0.06388626882147393,-0.08786324786324784,0.6695180334275164
1.4090909090909092,-0.7272727272727273,20,-0.05563909774436089,0.8157739948259723,-0.05714285714285714,0.8108800461568323
1.4090909090909092,-0.4545454545454546,40,0.09474671669793623,0.5608765646643185,0.07542213883677298,0.643690351679808
1.4090909090909092,-0.18181818181818188,74,-0.221503146982599,0.05787608565524504,-0.722088115512773,3.860037864746371e-13
1.4090909090909092,0.09090909090909083,74,0.027974824139207696,0.8129687897928312,0.42554609403924465,0.0001570022763116972
1.4090909090909092,0.36363636363636354,71,0.12280348759221996,0.3076044269725428,0.3537558685446009,0.0024748406670746757
1.4090909090909092,0.6363636363636362,65,0.2902097902097902,0.019023970173112262,0.3733391608391608,0.00219032914336193
1.4090909090909092,0.909090909090909,66,0.09871620916397038,0.4303574616701107,0.18008558605573532,0.14791710725623966
1.4090909090909092,1.1818181818181817,53,0.09127560070956298,0.5156855703540842,0.18924367037574583,0.17472954302445448
1.4090909090909092,1.4545454545454541,43,0.055421322863183325,0.7241001173888524,-0.032769556025369975,0.8347540642627402
1.4090909090909092,1.727272727272727,51,0.15719457013574661,0.2706228187200048,0.028054298642533938,0.8450647103618798
1.4090909090909092,2.0,50,0.13824729891956783,0.3383458798635399,0.15726290516206481,0.27540726336020505
1.5909090909090908,-1.0,29,0.0004926108374384235,0.9979764910054804,-0.10738916256157634,0.5792519109953265
1.5909090909090908,-0.7272727272727273,33,-0.09157754010695188,0.6122561044810437,0.029077540106951877,0.8723841943214823
1.5909090909090908,-0.4545454545454546,45,-0.16310935441370222,0.28436267323964515,-0.1862977602108037,0.2204557160326527
1.5909090909090908,-0.18181818181818188,73,-0.21603109959274347,0.06640880977392498,-0.5588670862643466,2.7679393392213375e-07
1.5909090909090908,0.09090909090909083,74,0.23106997408367266,0.04761445939300017,0.5619400222139946,1.8935756041597083e-07
1.5909090909090908,0.36363636363636354,66,0.07283164596597434,0.5611362660498451,0.6166579688967749,3.527830400102899e-08
1.5909090909090908,0.6363636363636362,70,0.24895459714810603,0.03768698678744518,0.2705450091855481,0.023499900267741194
1.5909090909090908,0.909090909090909,58,0.18521024946937772,0.1639558749593186,0.16195515088129442,0.22451807678471325
1.5909090909090908,1.1818181818181817,55,0.18217893217893222,0.18311870310953143,0.22994227994227998,0.09124973704443053
1.5909090909090908,1.4545454545454541,50,0.09723889555822329,0.5017195639649019,0.1721488595438175,0.23191625808984329
1.5909090909090908,1.727272727272727,57,0.25194451646357274,0.058674914162714524,0.0917163598651802,0.49743266676354636
1.5909090909090908,2.0,48,0.14242292661745548,0.3342146471615708,0.28256621797655235,0.05166297645686211
1.7727272727272727,-1.0,24,0.25913043478260867,0.22143371075635887,0.1469565217391304,0.4931931221106659
1.7727272727272727,-0.7272727272727273,31,0.054838709677419356,0.7695204467568884,-0.21048387096774193,0.2557243839630785
1.7727272727272727,-0.4545454545454546,50,-0.1320048019207683,0.36081469064903704,0.0114765906362545,0.9369516977605437
1.7727272727272727,-0.18181818181818188,74,-0.17568308034061456,0.13433458756939132,-0.5206812291743798,1.9790941537339914e-06
1.7727272727272727,0.09090909090909083,74,0.11034431691965936,0.349314538019305,0.3988893002591632,0.00043110043567015866
1.7727272727272727,0.36363636363636354,73,0.1849623596198939,0.1172097348396386,0.3342280636801185,0.003852870371693492
1.7727272727272727,0.6363636363636362,67,0.1949078138718174,0.11397742738977627,0.30026338893766463,0.013558019900571266
1.7727272727272727,0.909090909090909,57,0.13546798029556653,0.31502058240270125,0.13903292714544985,0.3023343402936845
1.7727272727272727,1.1818181818181817,53,-0.023060796645702306,0.8698070357145193,0.05136268343815513,0.714924151480893
1.7727272727272727,1.4545454545454541,53,0.17674568617964842,0.2054986166489446,0.1747298822770521,0.2107983653218124
