scenario,kept_beryl,n,rho,p,excluded_slugs
baseline_all14,ALL,14,-0.7758241758241758,0.0011084786677787394,
leave_two_out_keep_hurricane_beryl_across_quintana_roo_and_yucatan_mexico,hurricane_beryl_across_quintana_roo_and_yucatan_mexico,12,-0.8811188811188813,0.00015267406467669862,hurricane_beryl_across_southeastern_texas_us;hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03
leave_two_out_keep_hurricane_beryl_across_southeastern_texas_us,hurricane_beryl_across_southeastern_texas_us,12,-0.8811188811188813,0.00015267406467669862,hurricane_beryl_across_quintana_roo_and_yucatan_mexico;hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03
leave_two_out_keep_hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,12,-0.7972027972027973,0.0019003677255282697,hurricane_beryl_across_quintana_roo_and_yucatan_mexico;hurricane_beryl_across_southeastern_texas_us
