slug,short_name,disaster_type,event_type,fit_method,n_pts,best_model,BIC_power,BIC_exp,BIC_strexp,dBIC_power,dBIC_exp,dBIC_strexp,alpha_power,tau_exp,tau_strexp,beta_strexp
cambodia_monsoon_season_study_2024_05_09,cambodia_monsoon_seaso,monsoon,EVAC,full_post_peak,12,power_law,-61.92840774050808,-57.90893533955013,-56.99979772458883,0.0,4.019472400957945,4.928610015919247,-0.13807519539623408,1999.9999999986765,1999.999999934135,0.010000000000000002
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,full_post_peak,9,power_law,-53.227662114688805,-51.35863251564276,-51.004291188692726,0.0,1.8690295990460442,2.223370925996079,0.03047237167727951,1999.9999999999989,1.000014013003669,0.02676775906438323
hurricane_debby_across_florida_and_georgia_us,debby_pre,hurricane,NEUTRAL,full_post_peak,0,,,,,,,,,,,
hurricane_john_across_southeastern_guerrero_mexico,john_gue,hurricane,INFL,full_post_peak,6,power_law,-29.880097474328764,-29.52728428165939,-28.083904854200554,0.0,0.35281319266937317,1.7961926201282097,0.02144457263405833,1999.999999997187,1.000345425383014,0.019382356486160084
hurricane_john_southern_mexico_25_september_2024,john_sm,hurricane,INFL,full_post_peak,12,power_law,-63.113447857046566,-61.498974315763846,-60.60366954247121,0.0,1.6144735412827202,2.5097783145753567,0.036464371175307535,1999.9999999980264,1.000000000000116,0.03128542385555155
hurricane_melissa_10_27_2025,melissa,hurricane,NEUTRAL,full_post_peak,3,power_law,-31.813505658033048,-27.919905399006065,-28.968684670263613,0.0,3.8936002590269823,2.8448209877694346,-0.13637818177441455,1999.9999993051008,1999.9900888863506,0.010000000000000002
hurricane_melissa_aftermath_2025_11_03,melissa_aft,hurricane,EVAC,full_post_peak,4,power_law,-36.80400855720008,-34.631140981750704,-35.346833942538716,0.0,2.1728675754493736,1.457174614661362,0.1278879318509708,1236.6198815140976,1.0000006394693166,0.08482038438355524
india_monsoon_season_study_2024_05_09_nct_delhi_up_bihar,india_monsoon_season_s,monsoon,INFL,full_post_peak,12,exponential,-50.51629616678473,-50.84029645680775,-48.64715743789765,0.32400029002302233,0.0,2.1931390189101023,0.0036193317026562465,1947.2656677548937,577.9039244913904,2.3458648416801804
line_fire_southern_california_9_september_2024,line_fire,wildfire,INFL,full_post_peak,0,,,,,,,,,,,
moldova_flooding_2024,moldova,flood,INFL,full_post_peak,13,power_law,-63.61758006918886,-61.85561071315878,-60.9379200093969,0.0,1.7619693560300789,2.6796600597919635,-0.001800949937173112,1999.9999999999998,1999.999994670186,0.010000000000000002
pakistan_monsoon_season_study_sindh_2024_05_09,pakistan_monsoon_seaso,monsoon,INFL,full_post_peak,0,,,,,,,,,,,
park_fire_2024,park_fire1,wildfire,INFL,full_post_peak,0,,,,,,,,,,,
park_fire_california_29_july_2024,park_fire2,wildfire,NEUTRAL,full_post_peak,3,power_law,-25.781191693383565,-12.589209552001376,-11.799435358186862,0.0,13.191982141382189,13.981756335196703,-0.19435504193408348,1999.9999999999998,1999.9966926163163,0.010000000000000002
spain_flood,spain_flood,flood,INFL,full_post_peak,5,power_law,-24.62840394945512,-23.03954675465986,-22.85542795920449,0.0,1.5888571947952599,1.7729759902506288,0.1715463980147856,379.7189470516772,1.0000000000012912,0.1094717430934675
the_earthquake_across_central_mexico,the_earthquake_across_,earthquake,INFL,full_post_peak,4,power_law,-25.274726348331313,-25.009060199240384,-23.98599493653201,0.0,0.26566614909092934,1.2887314117993043,0.33875475758574514,148.8229809011632,40.70391779419932,0.3228994687230404
the_earthquake_across_dhaka_division_bangladesh,the_earthquake_across_,earthquake,INFL,full_post_peak,0,,,,,,,,,,,
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,flood,EVAC,full_post_peak,0,,,,,,,,,,,
the_flooding_across_eastern_bangladesh,bangladesh_fld,flood,INFL,full_post_peak,11,power_law,-35.75278361548722,-35.37766201574796,-33.336076378702124,0.0,0.3751215997392592,2.4167072367850935,0.05621171455090585,1999.9999999999945,1.0000000000017149,0.04049253846769404
the_flooding_across_gujarat_india,gujarat_fld,flood,EVAC,full_post_peak,2,,,,,,,,,,,
the_flooding_across_rio_grande_do_sul_state_brazil,the_flooding_across_ri,flood,INFL,full_post_peak,18,power_law,-81.73665382688988,-73.62775415168232,-77.40751319684489,0.0,8.108899675207553,4.329140630044989,0.25819498418811926,841.5645570194782,1.0000000005606762,0.13182498748912033
the_flooding_in_benue_and_kogi_states_nigeria,the_flooding_in_benue_,flood,INFL,full_post_peak,0,,,,,,,,,,,
the_flooding_in_conakry_city_conakry_guinea,the_flooding_in_conakr,flood,INFL,full_post_peak,12,power_law,-50.495283292823245,-49.3926560578433,-47.830789969406496,0.0,1.1026272349799484,2.6644933234167496,-0.011310002315273165,1999.9999999999998,1999.9995618650705,0.010000000000000002
the_wildfires_in_quito_pichincha_province_ecuador,quito_fire,wildfire,NEUTRAL,full_post_peak,14,exponential,-55.3035688722414,-59.32874994033991,-56.7095856866297,4.025181068098512,0.0,2.6191642537102098,0.31450712190408714,332.5130427471858,335.37932649914353,1.0872386693546814
tropical_storm_debby_united_states_pre_landfall_4_august_2024,debby_pre,tropical_storm,EVAC,full_post_peak,13,power_law,-55.9077194683996,-44.407615179627115,-46.2085897427905,0.0,11.500104288772484,9.699129725609097,-0.1609280910976528,1999.999999999997,1999.9999999999707,0.010000000000000002
tropical_storm_enteng_across_luzon_and_visayas_islands_philippines,enteng_ph,tropical_storm,EVAC,full_post_peak,0,,,,,,,,,,,
turkiye_earthquake_2023,turkiye,earthquake,INFL,full_post_peak,34,power_law,-208.64403691203293,-171.3804178673446,-203.85121237572451,0.0,37.26361904468834,4.792824536308416,0.06889707019661685,1999.9999999999814,1.000000000222445,0.05072667797736155
typhoon_krathon_across_taiwan,krathon_tw,typhoon,INFL,full_post_peak,4,stretched_exp,-19.648392362005673,-22.07928544285859,-29.79710133746695,10.148708975461279,7.717815894608361,0.0,0.2237815385249051,196.15498729934816,124.66571592854788,2.9999999999999996
typhoon_yagi_across_northeastern_vietnam,yagi_vn,typhoon,EVAC,full_post_peak,10,power_law,-56.66322606103399,-52.25830281824804,-53.732649792057856,0.0,4.404923242785948,2.9305762689761323,0.4589943335898856,247.76748328970697,1.000000000004822,0.19061498116122286
wildfires_in_boise_county_idaho_27_august_2024,boise_fire,wildfire,INFL,full_post_peak,8,exponential,-69.31387055572232,-72.50365974203447,-67.74375045867237,3.1897891863121544,0.0,4.759909283362106,0.059508685404811947,1331.023877139812,1999.9999999999998,0.07833000432456634
