removed_slug,n_after_remove,spearman_rho,spearman_p
flooding_in_central_and_eastern_europe_sept_16_2024,17,-0.6568627450980393,0.004174786387665709
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,17,-0.6642156862745099,0.0036363489577398347
hurricane_beryl_across_southeastern_texas_us,17,-0.6813725490196079,0.0025966031357252646
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,17,-0.7377450980392158,0.0007238246704990691
moldova_flooding_2024,17,-0.732843137254902,0.0008187010454083449
park_fire_california_29_july_2024,17,-0.6764705882352942,0.0028650638653291483
spain_flood,17,-0.6446078431372549,0.005214479339958623
the_flooding_across_bagmati_and_koshi_provinces_nepal,17,-0.7205882352941178,0.0011017357540910229
the_flooding_across_eastern_bangladesh,17,-0.7205882352941178,0.0011017357540910229
the_flooding_across_gujarat_india,17,-0.7475490196078433,0.0005612381524319421
the_flooding_across_rio_grande_do_sul_state_brazil,17,-0.7034313725490197,0.0016294297517689058
the_wildfires_in_quito_pichincha_province_ecuador,17,-0.7034313725490197,0.0016294297517689058
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,17,-0.7009803921568628,0.0017194111989726412
tropical_storm_yagi_philippines_2_september_2024,17,-0.6936274509803922,0.002014143975899797
turkiye_earthquake_2023,17,-0.6764705882352942,0.0028650638653291483
typhoon_krathon_across_taiwan,17,-0.6642156862745099,0.0036363489577398347
typhoon_yagi_across_northeastern_vietnam,17,-0.678921568627451,0.0027281406346349388
wildfires_in_boise_county_idaho_27_august_2024,17,-0.6642156862745099,0.0036363489577398347
