slug,name,event_type,t0_pt,center_lat,center_lon,metadata_source,t_crisis_mode,t_crisis_method,t_crisis_window_start_pt,t_crisis_hours_since_quake,population_file,distance_band,n_tiles,phi_mean,phi_median,phi_p10,phi_p90,phi_aggregate
turkiye_earthquake_2023,Turkiye Turkey Earthquake Full Country Version Feb 8 2023,earthquake,2023-02-05 16:00:00,37.174,37.032,metadata_json,peak_0_25,peak_phi_aggregate_0-25km_from_existing_table,2023-02-12 08:00:00,160.0,2172754818300831_2023-02-12_0800.csv,0-25km,67,1.5919109090393058,1.5661857417123224,0.6283552140680404,2.639300141486607,1.4143258174820295
turkiye_earthquake_2023,Turkiye Turkey Earthquake Full Country Version Feb 8 2023,earthquake,2023-02-05 16:00:00,37.174,37.032,metadata_json,peak_0_25,peak_phi_aggregate_0-25km_from_existing_table,2023-02-12 08:00:00,160.0,2172754818300831_2023-02-12_0800.csv,25-50km,380,1.3916875293115332,1.1396850712984037,0.5473429774960618,2.348892179024826,0.8289969422022387
turkiye_earthquake_2023,Turkiye Turkey Earthquake Full Country Version Feb 8 2023,earthquake,2023-02-05 16:00:00,37.174,37.032,metadata_json,peak_0_25,peak_phi_aggregate_0-25km_from_existing_table,2023-02-12 08:00:00,160.0,2172754818300831_2023-02-12_0800.csv,50-100km,621,1.5482020170655388,1.4308701947134455,0.7600930247033697,2.375999586251464,1.0500303643413065
turkiye_earthquake_2023,Turkiye Turkey Earthquake Full Country Version Feb 8 2023,earthquake,2023-02-05 16:00:00,37.174,37.032,metadata_json,peak_0_25,peak_phi_aggregate_0-25km_from_existing_table,2023-02-12 08:00:00,160.0,2172754818300831_2023-02-12_0800.csv,100-200km,1693,1.4619785385106823,1.4196332884087774,0.6408276889623148,2.2006017453342066,0.9718380900780503
turkiye_earthquake_2023,Turkiye Turkey Earthquake Full Country Version Feb 8 2023,earthquake,2023-02-05 16:00:00,37.174,37.032,metadata_json,peak_0_25,peak_phi_aggregate_0-25km_from_existing_table,2023-02-12 08:00:00,160.0,2172754818300831_2023-02-12_0800.csv,200km+,21774,1.1544026433150456,1.0961517656756534,0.9599323516372176,1.3470123962411407,1.0960778619007958
hurricane_beryl_pre_landfall_2024,Hurricane Beryl Pre Landfall Disaster Maps June 30 2024,hurricane,2024-06-30 16:00:00,11.315401214363776,-61.19693790738779,metadata_json,peak_0_25,peak_phi_aggregate_25-50km_from_existing_table,2024-07-01 08:00:00,16.0,24468477373345527_2024-07-01_0800.csv,25-50km,16,1.1692889211887159,1.1664702986465767,1.0401742322843546,1.2739711790907104,1.1497883735690373
hurricane_beryl_pre_landfall_2024,Hurricane Beryl Pre Landfall Disaster Maps June 30 2024,hurricane,2024-06-30 16:00:00,11.315401214363776,-61.19693790738779,metadata_json,peak_0_25,peak_phi_aggregate_25-50km_from_existing_table,2024-07-01 08:00:00,16.0,24468477373345527_2024-07-01_0800.csv,50-100km,320,1.0595229245978692,1.1086247443680226,0.7850193151060763,1.2321163819292202,1.0076437163261016
hurricane_beryl_pre_landfall_2024,Hurricane Beryl Pre Landfall Disaster Maps June 30 2024,hurricane,2024-06-30 16:00:00,11.315401214363776,-61.19693790738779,metadata_json,peak_0_25,peak_phi_aggregate_25-50km_from_existing_table,2024-07-01 08:00:00,16.0,24468477373345527_2024-07-01_0800.csv,100-200km,341,0.97308702836825,1.0731358334480172,0.37054655452708357,1.1692599459097388,0.9660898073717991
hurricane_beryl_pre_landfall_2024,Hurricane Beryl Pre Landfall Disaster Maps June 30 2024,hurricane,2024-06-30 16:00:00,11.315401214363776,-61.19693790738779,metadata_json,peak_0_25,peak_phi_aggregate_25-50km_from_existing_table,2024-07-01 08:00:00,16.0,24468477373345527_2024-07-01_0800.csv,200km+,239,0.8671679386145786,0.9401533516057674,0.3437492757307323,1.3045980994157036,0.8254435118228496
moldova_flooding_2024,Moldova Flooding Sept 16 2024,flood,2024-09-16 16:00:00,47.182048824861475,28.551556929292932,metadata_json,peak_0_25,peak_phi_aggregate_0-25km_from_existing_table,2024-10-05 08:00:00,448.0,3660584867350809_2024-10-05_0800.csv,0-25km,370,1.08531685024301,1.0673341750651983,0.9387891992924304,1.210926524472483,1.11185022851946
moldova_flooding_2024,Moldova Flooding Sept 16 2024,flood,2024-09-16 16:00:00,47.182048824861475,28.551556929292932,metadata_json,peak_0_25,peak_phi_aggregate_0-25km_from_existing_table,2024-10-05 08:00:00,448.0,3660584867350809_2024-10-05_0800.csv,25-50km,962,1.0518154253081524,1.038684311325786,0.8712432673867164,1.2007473006777216,1.1418321836144947
moldova_flooding_2024,Moldova Flooding Sept 16 2024,flood,2024-09-16 16:00:00,47.182048824861475,28.551556929292932,metadata_json,peak_0_25,peak_phi_aggregate_0-25km_from_existing_table,2024-10-05 08:00:00,448.0,3660584867350809_2024-10-05_0800.csv,50-100km,1470,1.0508556743903,1.037910755797217,0.873324843437759,1.208307481666415,1.0631860709101002
moldova_flooding_2024,Moldova Flooding Sept 16 2024,flood,2024-09-16 16:00:00,47.182048824861475,28.551556929292932,metadata_json,peak_0_25,peak_phi_aggregate_0-25km_from_existing_table,2024-10-05 08:00:00,448.0,3660584867350809_2024-10-05_0800.csv,100-200km,1222,1.0435826655628329,1.036203583167333,0.8778582917365134,1.2090319696969691,1.0451020235853983
park_fire_2024,"The Park Fire in Northern California, US",wildfire,2024-07-29 16:00:00,38.9076659746211,-121.4453147319471,metadata_json,peak_0_25,peak_phi_aggregate_0-25km_from_existing_table,2024-08-14 08:00:00,376.0,949242724385190_2024-08-14_0800.csv,0-25km,267,1.1617612082497382,1.057480559853895,0.9625365000388849,1.1800839108604666,1.0636333618171518
park_fire_2024,"The Park Fire in Northern California, US",wildfire,2024-07-29 16:00:00,38.9076659746211,-121.4453147319471,metadata_json,peak_0_25,peak_phi_aggregate_0-25km_from_existing_table,2024-08-14 08:00:00,376.0,949242724385190_2024-08-14_0800.csv,25-50km,920,1.0861942304702914,1.051097703421879,0.980731730223272,1.1553697914337784,1.0487227014415248
park_fire_2024,"The Park Fire in Northern California, US",wildfire,2024-07-29 16:00:00,38.9076659746211,-121.4453147319471,metadata_json,peak_0_25,peak_phi_aggregate_0-25km_from_existing_table,2024-08-14 08:00:00,376.0,949242724385190_2024-08-14_0800.csv,50-100km,1591,1.0735582267404304,1.0576012625865787,0.9547608808503857,1.1958928217536124,1.0573478393663502
