alpha,E,n_disasters,x_min,x_max
0.0,0.1997342555209409,3,0.4039384310863077,3.8831875977720456
0.05,0.22442439668271047,3,0.3946564785020131,3.793957258728767
0.1,0.22951325037994882,3,0.3855878124909851,3.7067773108152786
0.15000000000000002,0.23311063011198563,3,0.3767275320195325,3.62160063884822
0.2,0.26510222817182283,3,0.3680708486730141,3.5383812102866985
0.25,0.2724894978574155,3,0.3596130840680067,3.4570740503546378
0.30000000000000004,0.2661229368542296,3,0.3513496673239386,3.377635217734795
0.35000000000000003,0.2959464216667162,3,0.3432761325928209,3.300021780821288
0.4,0.29931971806144614,3,0.3353881166457426,3.2241917945178113
0.45,0.3087662663239717,3,0.3276813565148243,3.150104277568993
0.5,0.3358799021587636,3,0.32015168718935705,3.0777191904126493
0.55,0.338807841858531,3,0.3127950393648805,3.006997413540965
0.6000000000000001,0.34540382234477834,3,0.3056074372439844,2.9379007263589028
0.65,0.37924462207818277,3,0.2985849963876442,2.8703917865284128
0.7000000000000001,0.37721653913680864,3,0.29172392161593047,2.804434109787294
0.75,0.37539662610888663,3,0.285020504956957,2.7399920502317814
0.8,0.4118313482081761,3,0.2784711236429594,2.677030781052218
0.8500000000000001,0.41049344909258706,3,0.2720722381524206,2.615516275711391
0.9,0.42091648631186873,3,0.2658203902971862,2.5554152895553677
0.9500000000000001,0.44428136974020266,3,0.259712201353535,2.496695341846885
1.0,0.42635675314366955,3,0.2537443702361952,2.4747449022335957
1.05,0.4115006552022152,3,0.2479136717143187,2.456261464414609
1.1,0.41000151399017637,3,0.24221695466845036,2.4379160761672374
1.1500000000000001,0.39550990930504004,3,0.23665114038754964,2.4197077064233206
1.2000000000000002,0.3897522578716422,3,0.23121322090514426,2.4016353318155654
1.25,0.4009451118789806,3,0.22590025737371683,2.383697936620033
1.3,0.4069855223542253,3,0.22070937847644553,2.3658945126990476
1.35,0.42253109302313957,3,0.21563777887544153,2.3482240594445387
1.4000000000000001,0.45900649366332413,3,0.21068271769564306,2.330685583721802
1.4500000000000002,0.4751173385573858,3,0.205841517043548,2.3132780998136835
1.5,0.4972553008601668,3,0.2011115605599837,2.296000629365179
1.55,0.5530753657743932,3,0.1964902920061322,2.2788522013284456
1.6,0.5693052087575989,3,0.19197521388204689,2.26183185190823
1.6500000000000001,0.5779564050978523,3,0.18756388607691352,2.2449386245076943
1.7000000000000002,0.5333947468871252,3,0.1832539245503264,2.228171569674658
1.75,0.5727504513740543,3,0.17904300004386717,2.2115297450482316
1.8,0.5862728697544571,3,0.1749288368222896,2.195012215305855
1.85,0.6331826697970777,3,0.1709092114436304,2.1786180521107306
1.9000000000000001,0.7190323006580507,3,0.16698195155758105,2.162346334059644
1.9500000000000002,0.7373268132798291,3,0.1631449347314715,2.1461961466311816
2.0,0.7487695588692747,3,0.15939608730323115,2.130166582134331
