distance_band,alpha_star,E_min,n_disasters,phi_scale
0-25km,0.0,0.1997342555209409,3,mean
100-200km,0.05,0.160090258248898,4,mean
200km+,0.1,0.14752923878880594,3,mean
25-50km,0.0,0.08582027538365669,3,mean
50-100km,0.05,0.1286660403082994,4,mean
