slug,short_name,disaster_type,event_type,n_bins,n_points,k_minus,k_plus,k_ratio,gamma,c,r2,BIC_A,BIC_B,BIC_C,BIC_D,best_model,near_delta,D_peak,alpha
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,21,294,0.02645502748822673,0.02645502748822673,1.0,0.0,0.024115626092857466,0.5513891654600911,-2248.813850712073,-2248.3220751713716,-2243.2406045751527,-2242.919173447657,A,-0.1686674012421007,0.1182352467469458,0.6471140254387306
spain_flood,spain_flood,flood,INFL,21,315,0.009812261390671874,0.009812261390671874,1.0,-0.09174299582732076,1.1271959738801376e-16,0.6310219463533454,-1865.4819513069674,-1869.9848527157446,-1897.4775433739915,-1896.5621082038008,C,0.1384680031755251,0.1291051378624129,0.2672111552113404
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,flood,EVAC,20,280,0.05672657801649733,0.05672657801649733,1.0,0.0,0.04980771693634858,0.06549853328572108,-1644.293583402941,-1640.288202713425,-1641.019517043463,-1636.5065540283795,A,-0.1036825312156231,0.1846441741699349,1.1346522923352398
