slug,status,n_rows,n_geo_units,n_windows,message
flooding_in_central_and_eastern_europe_sept_16_2024,ok,30041,1117,27,ok
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,ok,4324,340,14,ok
hurricane_beryl_across_southeastern_texas_us,ok,9455,690,15,ok
hurricane_beryl_pre_landfall_2024,ok,1340,44,32,ok
hurricane_john_across_southeastern_guerrero_mexico,ok,3926,580,7,ok
hurricane_john_southern_mexico_25_september_2024,ok,13166,908,15,ok
hurricane_milton_across_florida_us,ok,2990,308,10,ok
moldova_flooding_2024,ok,1762,63,28,ok
spain_flood,ok,5754,628,10,ok
the_flooding_across_bagmati_and_koshi_provinces_nepal,ok,1171,79,15,ok
the_flooding_across_gujarat_india,ok,5366,683,8,ok
turkiye_earthquake_2023,ok,25798,744,36,ok
typhoon_yagi_across_northeastern_vietnam,ok,315,29,11,ok
wildfires_in_boise_county_idaho_27_august_2024,ok,1150,93,15,ok
