slug,short_name,name,disaster_type,output_root,n_time_windows,n_time_windows_raw,median_step_hours_raw,daily_avg_applied,t_peak_hours,D_peak,event_type,near_delta_peak_windows_mean,D_inf
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,Flooding In Central And Eastern Europe Sept 16 2024,flood,outputs/_runs/routeB16_frozen_radial_20260223_101220,27,27,24.0,0,448.0,0.10140977225297246,INFL,0.06977976660180835,0.9382873307233776
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,outputs/_runs/routeB16_frozen_radial_20260223_101220,14,14,24.0,0,-8.0,0.17419228592402028,EVAC,-0.32989580712750044,0.16203108558204476
hurricane_beryl_across_southeastern_texas_us,beryl_tx,"Hurricane Beryl Across Southeastern Texas, US",hurricane,outputs/_runs/routeB16_frozen_radial_20260223_101220,15,15,24.0,0,0.0,0.24076115611938526,EVAC,-0.279299263948949,0.11688674322546568
hurricane_beryl_pre_landfall_2024,beryl_pre,Hurricane Beryl Pre Landfall Disaster Maps June 30 2024,hurricane,outputs/_runs/routeB16_frozen_radial_20260223_101220,32,32,24.0,0,16.0,0.2408522972731543,NEUTRAL,,0.17918869331169632
hurricane_john_across_southeastern_guerrero_mexico,john_gue,"Hurricane John Across Southeastern Guerrero, Mexico",hurricane,outputs/_runs/routeB16_frozen_radial_20260223_101220,7,7,24.0,0,72.0,0.10634443541887714,INFL,0.07709149782075107,0.7882899520311668
hurricane_john_southern_mexico_25_september_2024,john_sm,Hurricane John Southern Mexico 25 September 2024,hurricane,outputs/_runs/routeB16_frozen_radial_20260223_101220,15,15,24.0,0,168.0,0.1056329999735687,INFL,0.08043877581080847,0.7203077292941922
hurricane_milton_across_florida_us,milton_fl,"Hurricane Milton Across Florida, US",hurricane,outputs/_runs/routeB16_frozen_radial_20260223_101220,10,10,24.0,0,0.0,0.19681374167841237,INFL,0.03710834271388047,0.5823460802730399
moldova_flooding_2024,moldova,Moldova Flooding Sept 16 2024,flood,outputs/_runs/routeB16_frozen_radial_20260223_101220,28,28,24.0,0,448.0,0.058662951664797056,INFL,0.041744017169828646,0.6954259000503025
spain_flood,spain_flood,Spain Flood (Valencia and Castilla-La Mancha Regions),flood,outputs/_runs/routeB16_frozen_radial_20260223_101220,10,10,24.0,0,88.0,0.13305641705151502,INFL,0.16486129195534002,0.771509589947988
the_earthquake_across_central_mexico,the_earthquake_across_,The Earthquake Across Central Mexico,earthquake,outputs/_runs/routeB16_frozen_radial_20260223_101220,4,4,24.0,0,32.0,0.2591338774688805,EXCLUDED_SHORT,,
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,"The Flooding Across Bagmati and Koshi Provinces, Nepal",flood,outputs/_runs/routeB16_frozen_radial_20260223_101220,15,15,24.0,0,-8.0,0.18936627469120573,EVAC,-0.06799159854072688,0.5198433422657118
the_flooding_across_eastern_bangladesh,bangladesh_fld,The Flooding Across Eastern Bangladesh,flood,outputs/_runs/routeB16_frozen_radial_20260223_101220,12,12,24.0,0,16.0,0.07899557914859343,INFL,0.0611732947202712,0.5735912882241628
the_flooding_across_gujarat_india,gujarat_fld,"The Flooding Across Gujarat, India",flood,outputs/_runs/routeB16_frozen_radial_20260223_101220,8,8,24.0,0,16.0,0.12328359603960092,EVAC,-0.07136659993960054,0.6961618195470718
turkiye_earthquake_2023,turkiye,Turkiye Turkey Earthquake Full Country Version Feb 8 2023,earthquake,outputs/_runs/routeB16_frozen_radial_20260223_101220,36,36,24.0,0,16.0,0.40114008822652447,INFL,0.05663369481729249,0.5693644673300816
typhoon_yagi_across_northeastern_vietnam,yagi_vn,Typhoon Yagi Across Northeastern Vietnam,typhoon,outputs/_runs/routeB16_frozen_radial_20260223_101220,11,11,24.0,0,29.0,0.3173934156827427,EVAC,-0.5472429120883096,0.28279859189766005
wildfires_in_boise_county_idaho_27_august_2024,boise_fire,Wildfires In Boise County Idaho 27 August 2024,wildfire,outputs/_runs/routeB16_frozen_radial_20260223_101220,15,15,24.0,0,136.0,0.13702819190526905,INFL,0.04453490059936686,0.36042467877560797
