iter,rho_alpha_pred_vs_delta_near,p_value,n_eff,mode
0,-0.4613003095975232,0.053990476377347364,18,E
1,-0.3498452012383901,0.15469232181385817,18,E
2,-0.6388028895768835,0.004322124802950012,18,E
3,-0.13106295149638802,0.6041941281040611,18,E
4,-0.4633642930856553,0.05278586195356667,18,E
5,-0.2776057791537668,0.2647097281537839,18,E
6,-0.5356037151702786,0.021973121639608077,18,E
7,-0.35810113519091846,0.14452928966155032,18,E
8,-0.5211558307533539,0.026565697103864788,18,E
9,-0.7131062951496387,0.0008932304748108607,18,E
10,-0.5954592363261093,0.009125961400493128,18,E
11,-0.7358101135190918,0.0005000834138759303,18,E
12,-0.6656346749226005,0.002568327960293709,18,E
13,-0.4406604747162023,0.06720191241367014,18,E
14,-0.3519091847265222,0.15210693918997695,18,E
15,-0.3415892672858617,0.1653345412255697,18,E
16,-0.6119711042311662,0.006950274712161287,18,E
17,0.2528379772961816,0.31141340050989863,18,E
18,-0.16615067079463364,0.5099504603438955,18,E
19,-0.4716202270381837,0.048168976789553265,18,E
20,0.13725490196078433,0.5870615369663565,18,E
21,-0.31888544891640863,0.19712791388889878,18,E
22,-0.8224974200206397,2.792617066610629e-05,18,E
23,-0.13725490196078433,0.5870615369663565,18,E
24,-0.013415892672858616,0.9578637574487228,18,E
25,-0.36016511867905054,0.14206248632367482,18,E
26,-0.1475748194014448,0.5589695952802587,18,E
27,-0.3828689370485036,0.11683232301276776,18,E
28,-0.283797729618163,0.25375641790875597,18,E
29,-0.2652218782249742,0.28748424291745134,18,E
30,-0.20123839009287925,0.42328766928815764,18,E
31,-0.15583075335397317,0.5369306230900768,18,E
32,-0.10629514963880288,0.6746395315456968,18,E
33,-0.3065015479876161,0.2160637946112576,18,E
34,0.017543859649122806,0.9449151835129638,18,E
35,-0.6676986584107326,0.002462394297708647,18,E
36,-0.6821465428276574,0.0018170810177521768,18,E
37,-0.7048503611971104,0.0010886663167765575,18,E
38,-0.3663570691434469,0.13483747906980886,18,E
39,-0.2549019607843137,0.30734528041254605,18,E
40,-0.3168214654282766,0.20020499436454783,18,E
41,0.04850361197110423,0.848430360162973,18,E
42,-0.37048503611971106,0.13016560662863327,18,E
43,-0.19711042311661509,0.4330576703920279,18,E
44,-0.005159958720330237,0.9837879533049655,18,E
45,-0.4262125902992776,0.07778293683965697,18,E
46,-0.4613003095975232,0.053990476377347364,18,E
47,-0.35397316821465424,0.1495513888590625,18,E
48,-0.12074303405572755,0.6331873816566363,18,E
49,-0.17853457172342618,0.4784449329228026,18,E
50,-0.7275541795665634,0.0006215020932519377,18,E
51,-0.3622291021671827,0.13962500641700296,18,E
52,-0.17234262125902994,0.49407642787678363,18,E
53,-0.35810113519091846,0.14452928966155032,18,E
54,-0.4489164086687306,0.06165736262614077,18,E
55,-0.3126934984520124,0.2064536417438368,18,E
56,-0.35810113519091846,0.14452928966155032,18,E
57,0.17647058823529413,0.4836281454935329,18,E
58,-0.6119711042311662,0.006950274712161287,18,E
59,-0.3415892672858617,0.1653345412255697,18,E
60,-0.7708978328173374,0.00018055675377341658,18,E
61,-0.13519091847265222,0.5927498112228585,18,E
62,-0.7564499484004128,0.0002802193872136038,18,E
63,0.739938080495356,0.0004472657750928332,18,E
64,-0.15789473684210525,0.5314832784708439,18,E
65,-0.0010319917440660476,0.9967573972800612,18,E
66,-0.479876160990712,0.04386464036882086,18,E
67,-0.05675954592363261,0.8229893024799763,18,E
68,-0.10835913312693499,0.6686595229846738,18,E
69,-0.4303405572755417,0.07464277608599117,18,E
70,-0.4282765737874097,0.0762009593524021,18,E
71,-0.33952528379772956,0.16807083488832178,18,E
72,-0.347781217750258,0.15730765714242592,18,E
73,-0.040247678018575844,0.8740147776078565,18,E
74,-0.6099071207430341,0.0071966585949820045,18,E
75,-0.3519091847265222,0.15210693918997695,18,E
76,-0.283797729618163,0.25375641790875597,18,E
77,-0.03199174406604747,0.8997186782888819,18,E
78,-0.3498452012383901,0.15469232181385817,18,E
79,-0.34365325077399383,0.1626286535167655,18,E
80,-0.391124871001032,0.10849983794275488,18,E
81,-0.27347781217750256,0.2721726853194867,18,E
82,-0.4674922600619195,0.050437519451044396,18,E
83,-0.040247678018575844,0.8740147776078565,18,E
84,-0.4840041279669762,0.04182551548646379,18,E
85,-0.16408668730650156,0.5152947310342115,18,E
86,-0.31888544891640863,0.19712791388889878,18,E
87,-0.34365325077399383,0.1626286535167655,18,E
88,-0.2198142414860681,0.3807953913501374,18,E
89,-0.6243550051599587,0.005611272629892071,18,E
90,-0.6016511867905057,0.008253780479294344,18,E
91,-0.12487100103199174,0.62152591689147,18,E
92,-0.4220846233230134,0.0810190486949893,18,E
93,-0.2714138286893705,0.27595238461589006,18,E
94,0.007223942208462332,0.9773044881689205,18,E
95,-0.6697626418988648,0.0023600851881755394,18,E
96,-0.1496388028895769,0.5534228921214378,18,E
97,-0.3498452012383901,0.15469232181385817,18,E
98,-0.4303405572755417,0.07464277608599117,18,E
99,-0.021671826625386997,0.9319797351987382,18,E
100,-0.6862745098039216,0.001660913534899664,18,E
101,-0.49638802889576883,0.03614032375695943,18,E
102,-0.7027863777089782,0.0011427190651563906,18,E
103,-0.1475748194014448,0.5589695952802587,18,E
104,-0.4674922600619195,0.050437519451044396,18,E
105,-0.14344685242518057,0.5701354475609234,18,E
106,-0.4097007223942208,0.09131835313137278,18,E
107,-0.28792569659442724,0.24661488879554866,18,E
108,-0.14344685242518057,0.5701354475609234,18,E
109,-0.3663570691434469,0.13483747906980886,18,E
110,-0.25696594427244585,0.30330908061762435,18,E
111,0.13725490196078433,0.5870615369663565,18,E
112,-0.6408668730650156,0.004159550994391519,18,E
113,0.2693498452012384,0.27976422005657137,18,E
114,-0.6388028895768835,0.004322124802950012,18,E
115,-0.5624355005159958,0.015110986482633102,18,E
116,-0.28998968008255926,0.2430922860390451,18,E
117,-0.25696594427244585,0.30330908061762435,18,E
118,-0.15995872033023736,0.5260613631447345,18,E
119,-0.3333333333333333,0.17646319681352746,18,E
120,-0.3519091847265222,0.15210693918997695,18,E
121,-0.23426212590299278,0.34945414298064165,18,E
122,-0.22187822497420018,0.37622542106556206,18,E
123,-0.3973168214654283,0.10253523912493727,18,E
124,0.06707946336429307,0.7914253837974394,18,E
125,-0.49638802889576883,0.03614032375695943,18,E
126,-0.4757481940144479,0.0459785720312123,18,E
127,-0.5913312693498451,0.00974749319593869,18,E
128,-0.1042311661506708,0.6806381463141873,18,E
129,-0.17027863777089783,0.49934109695673945,18,E
130,-0.3498452012383901,0.15469232181385817,18,E
131,-0.07739938080495357,0.7601672386317739,18,E
132,-0.33746130030959753,0.17083764052594708,18,E
133,-0.17234262125902994,0.49407642787678363,18,E
134,-0.17234262125902994,0.49407642787678363,18,E
135,-0.2260061919504644,0.3671777255550172,18,E
136,-0.5954592363261093,0.009125961400493128,18,E
137,-0.2260061919504644,0.3671777255550172,18,E
138,-0.17853457172342618,0.4784449329228026,18,E
139,-0.19711042311661509,0.4330576703920279,18,E
140,-0.3828689370485036,0.11683232301276776,18,E
141,-0.08771929824561403,0.7292587507339037,18,E
142,-0.17027863777089783,0.49934109695673945,18,E
143,-0.20949432404540763,0.40410193596361965,18,E
144,0.15583075335397317,0.5369306230900768,18,E
145,-0.052631578947368425,0.8356904320597222,18,E
146,-0.3353973168214654,0.17363506116754218,18,E
147,-0.011351909184726523,0.9643420040748253,18,E
148,-0.28586171310629516,0.2501695935454806,18,E
149,-0.5128998968008256,0.029506553722099392,18,E
150,-0.2239422084623323,0.3716861637562172,18,E
151,-0.36429308565531476,0.13721671612433217,18,E
152,-0.04850361197110423,0.848430360162973,18,E
153,-0.054695562435500514,0.8293348337875046,18,E
154,-0.5975232198142414,0.008827374421547778,18,E
155,-0.3973168214654283,0.10253523912493727,18,E
156,0.19711042311661509,0.4330576703920279,18,E
157,0.16202270381836945,0.5206651056985048,18,E
158,-0.47781217750258,0.04491215118822409,18,E
159,-0.3931888544891641,0.10648479569520816,18,E
160,-0.4943240454076367,0.03704404980744616,18,E
161,-0.3498452012383901,0.15469232181385817,18,E
162,-0.2507739938080495,0.3155133959594858,18,E
163,0.08359133126934985,0.7415774315720881,18,E
164,-0.543859649122807,0.019643563727791594,18,E
165,-0.40763673890608876,0.09312305169960107,18,E
166,-0.23219814241486067,0.3538383254251315,18,E
167,0.23013415892672856,0.35825371050744315,18,E
168,-0.3457172342621259,0.15995306278645874,18,E
169,-0.2982456140350877,0.22932241176613294,18,E
170,-0.5046439628482973,0.032693733377739086,18,E
171,-0.027863777089783277,0.9126078919940869,18,E
172,-0.4674922600619195,0.050437519451044396,18,E
173,-0.21362229102167182,0.3946884572555505,18,E
174,-0.24664602683178533,0.3238088129377634,18,E
175,0.009287925696594427,0.9708223763257616,18,E
176,-0.32301341589267285,0.19106788357348967,18,E
177,-0.1475748194014448,0.5589695952802587,18,E
178,0.1413828689370485,0.5757540929543487,18,E
179,-0.6408668730650156,0.004159550994391519,18,E
180,-0.5665634674922602,0.014226822697300032,18,E
181,-0.3353973168214654,0.17363506116754218,18,E
182,-0.06707946336429307,0.7914253837974394,18,E
183,-0.054695562435500514,0.8293348337875046,18,E
184,-0.3168214654282766,0.20020499436454783,18,E
185,-0.5748194014447885,0.012581956389329603,18,E
186,-0.32507739938080493,0.188084781422369,18,E
187,-0.3746130030959752,0.1256082485036117,18,E
188,0.3085655314757482,0.21282870595868356,18,E
189,-0.2982456140350877,0.22932241176613294,18,E
190,-0.3663570691434469,0.13483747906980886,18,E
191,-0.040247678018575844,0.8740147776078565,18,E
192,-0.38493292053663575,0.11470802686534462,18,E
193,0.35397316821465424,0.1495513888590625,18,E
