slug,short_name,disaster_type,event_type,alpha,delta_near,D_peak,t_peak_hours,t_snap,t_snap_abs_diff_h,n_profile_bins,pos_frac,r_centroid,spatial_cv,radial_slope,sign_changes,delta_range,gradient_0_100,E_low_frac,E_high_frac,c0,c1,c2
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,-0.014878197323548,0.10130224222134,0.1426724059165762,519.0,519.0,0.0,21,1.0,103.61185684020907,0.18974765800505408,0.00012437543939790839,0.0,0.11198048720729292,0.0019140227241754015,0.46125044454645137,0.5387495554535486,0.14933923102303148,0.2365601174649686,-0.18598873857588452
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,0.7412300746592427,-0.441916794587687,0.2361301317007472,4.0,4.0,0.0,21,0.1405224305753268,62.878360653271045,1.5538743800863732,0.0032460315324483735,7.0,0.9361522240887585,-0.9194829610746621,0.10822661621072743,0.8917733837892725,-0.05931139519343501,-0.20636632775962524,-0.1333101181486262
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,0.8001103007909469,-0.279299263948949,0.2407611561193852,0.0,0.0,0.0,20,0.0,89.36281897220994,0.5916266904258549,0.0013704661463699369,0.0,0.5706582008531847,-0.3289097793644403,0.5009880222654979,0.4990119777345021,-0.2061003164198457,-0.37403855441755435,0.16413112233435856
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,beryl_pre,hurricane,EVAC,0.3873447555457084,-0.4043102839178534,0.5637501440286489,63.0,63.0,0.0,11,0.0,60.50312990532692,0.30313139502207986,0.0005622672611696908,0.0,0.5315286631778086,-0.15199725519584661,0.5068095981361465,0.49319040186385354,-0.48931365209651295,-0.8227599419026184,0.4686551954508356
moldova_flooding_2024,moldova,flood,EVAC,0.0706355627672506,-0.028757709768474,0.0536562673777671,513.0,513.0,0.0,21,0.949891824243453,103.93279253213755,0.9644790739320134,0.0001884856463222822,2.0,0.23298722702944907,-0.03628227202987966,0.328843200555787,0.671156799444213,0.05654178906092512,0.09368582668303271,-0.06286483247629845
park_fire_california_29_july_2024,park_fire2,wildfire,INFL,0.222634525318664,0.0460209237770549,0.0395090968309567,161.13333333333333,161.13333333333333,0.0,21,0.9507799006187319,81.93413691328152,0.768277288529634,-0.000143214027169112,2.0,0.13303715796704307,0.05834960319376825,0.30328465777070257,0.6967153422292974,0.031082331078925336,0.05276978264103579,-0.016075559262053882
spain_flood,spain_flood,flood,INFL,0.0575378664819348,0.2026389717764428,0.1268297089427715,120.5,120.5,0.0,21,0.8802333905317111,73.3467495709849,1.238555401797536,-0.0015885393511016858,5.0,0.47060945393983566,0.14888100487508993,0.1458872557735737,0.8541127442264262,0.042025394019784966,0.13510838238808084,0.09323852681661979
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,flood,EVAC,1.215462091736481,-0.1196054495060361,0.21193679634191,36.0,36.0,0.0,21,0.0,102.69184821974635,0.49364259203606325,0.0001068497840813865,0.0,0.5339403114194446,-0.35748477697455394,0.39156991669459296,0.608430083305407,-0.20743558581359808,-0.3244808459571761,0.2432402038124784
the_flooding_across_eastern_bangladesh,bangladesh_fld,flood,INFL,0.4720635678723257,0.0282371516585952,0.0968228366680995,206.0,206.0,0.0,21,0.7884655898333379,97.86630007405628,1.5424374197353328,0.0003077297130922356,2.0,0.4021103195105674,0.10099350018228326,0.10024407087895508,0.899755929121045,0.06918625634742924,0.07073407943793353,-0.19642699952736026
the_flooding_across_gujarat_india,gujarat_fld,flood,EVAC,0.1594546201967668,-0.1330644640750969,0.1394194439567995,182.0,182.0,0.0,20,0.0,96.06420608777282,0.3192336189033899,0.0003964485275304532,0.0,0.14708366885021473,0.04577124831608137,0.5869425582288269,0.4130574417711731,-0.12833594715223418,-0.2314483120815837,0.12075468493380534
