slug,short_name,disaster_type,event_type,r_bin_km,delta_at_peak,n_tiles,t_snap,t_peak_hours,t_snap_abs_diff_h,delta_near,D_peak,alpha
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,60.0,-0.2651816899627123,48.0,4.0,4.0,0.0,-0.441916794587687,0.2361301317007472,0.7412300746592427
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,70.0,-0.18277801894848122,36.0,4.0,4.0,0.0,-0.441916794587687,0.2361301317007472,0.7412300746592427
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,80.0,-0.13010675297743746,37.0,4.0,4.0,0.0,-0.441916794587687,0.2361301317007472,0.7412300746592427
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,90.0,-0.33380648127105705,81.0,4.0,4.0,0.0,-0.441916794587687,0.2361301317007472,0.7412300746592427
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,100.0,0.2822326950534857,79.0,4.0,4.0,0.0,-0.441916794587687,0.2361301317007472,0.7412300746592427
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,110.0,0.08829373320286615,77.0,4.0,4.0,0.0,-0.441916794587687,0.2361301317007472,0.7412300746592427
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,120.0,-0.24832098532675273,60.0,4.0,4.0,0.0,-0.441916794587687,0.2361301317007472,0.7412300746592427
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,130.0,-0.3059067688850532,33.0,4.0,4.0,0.0,-0.441916794587687,0.2361301317007472,0.7412300746592427
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,140.0,-0.046122416337633254,32.0,4.0,4.0,0.0,-0.441916794587687,0.2361301317007472,0.7412300746592427
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,150.0,0.039808786276126495,45.0,4.0,4.0,0.0,-0.441916794587687,0.2361301317007472,0.7412300746592427
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,160.0,-0.036048013211151586,57.0,4.0,4.0,0.0,-0.441916794587687,0.2361301317007472,0.7412300746592427
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,170.0,-0.017817842236933168,74.0,4.0,4.0,0.0,-0.441916794587687,0.2361301317007472,0.7412300746592427
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,180.0,-0.007379911924351945,57.0,4.0,4.0,0.0,-0.441916794587687,0.2361301317007472,0.7412300746592427
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,190.0,0.1416393472519899,80.0,4.0,4.0,0.0,-0.441916794587687,0.2361301317007472,0.7412300746592427
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,200.0,0.13051814141080165,112.0,4.0,4.0,0.0,-0.441916794587687,0.2361301317007472,0.7412300746592427
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,10.0,-0.44008272545089844,3.0,0.0,0.0,0.0,-0.279299263948949,0.2407611561193852,0.8001103007909469
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,20.0,-0.5713307379136228,17.0,0.0,0.0,0.0,-0.279299263948949,0.2407611561193852,0.8001103007909469
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,30.0,-0.15641622075680417,22.0,0.0,0.0,0.0,-0.279299263948949,0.2407611561193852,0.8001103007909469
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,40.0,-0.3846349655456285,48.0,0.0,0.0,0.0,-0.279299263948949,0.2407611561193852,0.8001103007909469
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,50.0,-0.4503705527576901,74.0,0.0,0.0,0.0,-0.279299263948949,0.2407611561193852,0.8001103007909469
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,60.0,-0.14300456695872665,147.0,0.0,0.0,0.0,-0.279299263948949,0.2407611561193852,0.8001103007909469
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,70.0,-0.3427977469787341,173.0,0.0,0.0,0.0,-0.279299263948949,0.2407611561193852,0.8001103007909469
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,80.0,-0.14009762596596353,154.0,0.0,0.0,0.0,-0.279299263948949,0.2407611561193852,0.8001103007909469
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,90.0,-0.0006725370604380165,164.0,0.0,0.0,0.0,-0.279299263948949,0.2407611561193852,0.8001103007909469
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,100.0,-0.11117294608645811,228.0,0.0,0.0,0.0,-0.279299263948949,0.2407611561193852,0.8001103007909469
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,110.0,-0.31780191844606087,289.0,0.0,0.0,0.0,-0.279299263948949,0.2407611561193852,0.8001103007909469
