k,Ds,spearman_rho_alpha_emp_D,spearman_p_alpha_emp_D,pearson_r_alpha_emp_D,pearson_p_alpha_emp_D,mae_alpha_D,n_events_D,spearman_rho_alpha_pred_vs_delta_near_D,spearman_p_alpha_pred_vs_delta_near_D,spearman_rho_alpha_pred_vs_D_peak_D,spearman_p_alpha_pred_vs_D_peak_D,spearman_rho_alpha_emp_E,spearman_p_alpha_emp_E,pearson_r_alpha_emp_E,pearson_p_alpha_emp_E,mae_alpha_E,n_events_E,spearman_rho_alpha_pred_vs_delta_near_E,spearman_p_alpha_pred_vs_delta_near_E,spearman_rho_alpha_pred_vs_D_peak_E,spearman_p_alpha_pred_vs_D_peak_E,criterion,optimizer_success,optimizer_fun,mode
0.0001,92.36708571873865,0.19711042311661509,0.4330576703920279,0.14042788970004288,0.5783617275977506,0.2909642816388284,18.0,-0.32920536635706915,0.18221199775917413,0.4303405572755417,0.07464277608599117,0.2693498452012384,0.27976422005657137,0.13971272239356336,0.580317814797599,0.2478327691807853,18.0,-0.3560371517027864,0.1470255476478887,0.29411764705882354,0.23614329729664102,max_spearman_E,,,
0.0005298316906283707,85.3167852417281,0.1929824561403509,0.44294415082481003,0.14208223807073658,0.5738476046955965,0.28903402599262873,18.0,-0.3457172342621259,0.15995306278645874,0.413828689370485,0.08778525139466073,0.2549019607843137,0.30734528041254605,0.1397265557464227,0.580279952031588,0.2463725401612123,18.0,-0.32094943240454077,0.19408223512614609,0.29205366357069146,0.23960176390544208,max_pearson_E,,,
0.004520353656360241,28.072162039411786,0.17853457172342618,0.4784449329228026,0.15229515795586288,0.5463203221149875,0.27692888036407676,18.0,-0.24458204334365324,0.3280041243603068,0.15583075335397317,0.5369306230900768,0.08152734778121776,0.7477594697936525,0.09898065490007599,0.6959795826805268,0.23508775718266298,18.0,0.017543859649122806,0.9449151835129638,-0.2672858617131063,0.2836081785098672,min_mae_E,,,
0.0017433288221999873,92.36708571873865,0.19711042311661509,0.4330576703920279,0.1404278897000434,0.5783617275977488,0.272851578127825,18.0,-0.32920536635706915,0.18221199775917413,0.4303405572755417,0.07464277608599117,0.2693498452012384,0.27976422005657137,0.13971272239356425,0.5803178147975966,0.23844018655844845,18.0,-0.3560371517027864,0.1470255476478887,0.29411764705882354,0.23614329729664102,min_joint_E,,,
0.002334723498057676,93.48316016390085,,,,,,18.0,,,,,0.27966976264189886,0.26102647706844145,0.1396568810556378,0.5804706667101741,0.23817892277760727,18.0,-0.3746130030959752,0.1256082485036117,0.29205366357069146,0.23960176390544208,min_sse_opt_E,1.0,0.09592773997770673,E
