metric,target,n,spearman_rho,spearman_p
pos_frac,alpha,18,-0.6520996395495344,0.003359910920076944
pos_frac,delta_near,18,0.7240914397558029,0.0006792997837812022
pos_frac,D_peak,18,-0.5488070566448882,0.01834365637879434
r_centroid,alpha,18,-0.27966976264189886,0.26102647706844145
r_centroid,delta_near,18,0.479876160990712,0.04386464036882086
r_centroid,D_peak,18,-0.479876160990712,0.04386464036882086
spatial_cv,alpha,18,0.23013415892672856,0.35825371050744315
spatial_cv,delta_near,18,-0.09391124871001032,0.7108992592881784
spatial_cv,D_peak,18,-0.04643962848297213,0.8548139516870751
radial_slope,alpha,18,0.5583075335397317,0.01603820039772077
radial_slope,delta_near,18,-0.7667698658410733,0.0002053541650777991
radial_slope,D_peak,18,0.6264189886480908,0.005410032721793995
sign_changes,alpha,18,-0.07376447019638885,0.7711394121438007
sign_changes,delta_near,18,0.11390102015618866,0.6526973734651933
sign_changes,D_peak,18,-0.19200457683471803,0.4453030969933322
delta_range,alpha,18,0.6202270381836945,0.006032002847171182
delta_range,delta_near,18,-0.5170278637770898,0.02800614736378716
delta_range,D_peak,18,0.6862745098039216,0.001660913534899664
gradient_0_100,alpha,18,-0.4097007223942208,0.09131835313137278
gradient_0_100,delta_near,18,0.696594427244582,0.0013184382796678938
gradient_0_100,D_peak,18,-0.20123839009287925,0.42328766928815764
E_low_frac,alpha,18,-0.017543859649122806,0.9449151835129638
E_low_frac,delta_near,18,-0.17853457172342618,0.4784449329228026
E_low_frac,D_peak,18,0.32301341589267285,0.19106788357348967
E_high_frac,alpha,18,0.017543859649122806,0.9449151835129638
E_high_frac,delta_near,18,0.17853457172342618,0.4784449329228026
E_high_frac,D_peak,18,-0.32301341589267285,0.19106788357348967
c0,alpha,18,-0.564499484004128,0.014663613053810908
c0,delta_near,18,0.6057791537667698,0.0077106082493158725
c0,D_peak,18,-0.6264189886480908,0.005410032721793995
c1,alpha,18,-0.6346749226006192,0.004662842748871135
c1,delta_near,18,0.6718266253869969,0.002261304519717512
c1,D_peak,18,-0.6759545923632612,0.0020739524486674096
c2,alpha,18,0.10216718266253869,0.6866550541678015
c2,delta_near,18,-0.06707946336429307,0.7914253837974394
c2,D_peak,18,0.23219814241486067,0.3538383254251315
