subset,n,spearman_rho_alpha_vs_Dinf,spearman_p_alpha_vs_Dinf
selected,11,-0.8636363636363636,0.0006116938500931701
selected_r2_ge_0p8,9,-0.7833333333333333,0.012519873019449885
