slug,short_name,disaster_type,event_type,fit_method,n_pts,best_model,BIC_power,BIC_exp,BIC_strexp,dBIC_power,dBIC_exp,dBIC_strexp,alpha_power,tau_exp,tau_strexp,beta_strexp
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,monotone_truncated,6,power_law,-42.057760881130854,-36.72561949561731,-39.111525967464274,0.0,5.332141385513545,2.9462349136665793,-0.010022781852407067,1999.9999999778786,1999.9999947233896,0.010000000000000002
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,monotone_truncated,4,stretched_exp,-27.660170659950587,-32.52509159113315,-44.631818644408284,16.971647984457697,12.106727053275137,0.0,0.5854821966544382,76.57375690030489,90.6241642146276,2.117750221752514
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,monotone_truncated,6,power_law,-50.69524491156094,-40.913333252840694,-49.67705764528115,0.0,9.781911658720247,1.0181872662797886,0.7633168790793107,71.05028754363943,1.0000000000007832,0.2694372626661023
hurricane_beryl_pre_landfall_2024,beryl_pre,hurricane,NEUTRAL,monotone_truncated,2,,,,,,,,,,,
hurricane_john_across_southeastern_guerrero_mexico,john_gue,hurricane,INFL,monotone_truncated,3,power_law,-27.631210492618965,-26.798010528302978,-26.51972745941996,0.0,0.8331999643159875,1.1114830331990042,0.01891619283130759,1999.999999747641,1.0001362552609454,0.017617512828162804
hurricane_john_southern_mexico_25_september_2024,john_sm,hurricane,INFL,monotone_truncated,3,power_law,-34.83538785476578,-28.90033913443332,-33.17682242281357,0.0,5.935048720332457,1.658565431952205,0.07475438728449546,587.9569824040583,1.000362887219852,0.059817344438866
hurricane_milton_across_florida_us,milton_fl,hurricane,INFL,monotone_truncated,2,,,,,,,,,,,
moldova_flooding_2024,moldova,flood,INFL,monotone_truncated,4,power_law,-29.49324317145428,-25.83087405612772,-27.671475111775358,0.0,3.6623691153265625,1.8217680596789236,0.24786130766289083,207.7227240219613,1.0000000000000002,0.14282347566674639
spain_flood,spain_flood,flood,INFL,monotone_truncated,4,stretched_exp,-45.15375172082726,-35.39998695326939,-48.49002870226024,3.336276981432981,13.09004174899085,0.0,0.1279190302375164,399.30603543908364,445.8218529832248,0.20154030201769751
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,flood,EVAC,monotone_truncated,5,stretched_exp,-30.62798380389873,-42.47578825699176,-48.059237037697066,17.431253233798337,5.583448780705304,0.0,0.7434737194317215,52.60791544386412,30.924479679110444,0.6882579392937576
the_flooding_across_eastern_bangladesh,bangladesh_fld,flood,INFL,monotone_truncated,1,,,,,,,,,,,
the_flooding_across_gujarat_india,gujarat_fld,flood,EVAC,monotone_truncated,6,exponential,-38.026498361212,-43.17487985735474,-41.7568596483351,5.14838149614274,0.0,1.4180202090196374,0.12721469565687185,482.38333334214633,391.9481266487111,1.2759687745331298
turkiye_earthquake_2023,turkiye,earthquake,NEUTRAL,monotone_truncated,4,stretched_exp,-34.12149527100568,-30.90931710779455,-35.2303663907374,1.1088711197317238,4.321049282942852,0.0,0.30895208755006326,159.41732552079884,66.0153871031843,0.35080369492969926
typhoon_yagi_across_northeastern_vietnam,yagi_vn,typhoon,EVAC,monotone_truncated,5,stretched_exp,-32.25127411128643,-43.707706528436816,-44.62601894988774,12.374744838601309,0.9183124214509206,0.0,0.49683007025537385,105.72640428893787,95.50261364076859,0.8312450854642561
wildfires_in_boise_county_idaho_27_august_2024,boise_fire,wildfire,INFL,monotone_truncated,2,,,,,,,,,,,
