slug,short_name,name,disaster_type,output_root,n_time_windows,n_time_windows_raw,median_step_hours_raw,daily_avg_applied,t_peak_hours,D_peak,event_type,near_delta_peak_windows_mean,D_inf,D_baseline_std,D_peak_snr
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,Flooding In Central And Eastern Europe Sept 16 2024,flood,outputs/_runs/routeB16_partner_opinion_main_20260223_1725,27,27,24.0,0,448.0,0.11597337415204326,INFL,0.06977976660180835,0.9324607891333008,,
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,outputs/_runs/routeB16_partner_opinion_main_20260223_1725,14,14,24.0,0,-8.0,0.1764812144614291,EVAC,-0.32989580712750044,0.1899104391125031,,
hurricane_beryl_across_southeastern_texas_us,beryl_tx,"Hurricane Beryl Across Southeastern Texas, US",hurricane,outputs/_runs/routeB16_partner_opinion_main_20260223_1725,15,15,24.0,0,0.0,0.2701956855248753,EVAC,-0.40056704048492875,0.11265214999165613,,
hurricane_beryl_pre_landfall_2024,beryl_pre,Hurricane Beryl Pre Landfall Disaster Maps June 30 2024,hurricane,outputs/_runs/routeB16_partner_opinion_main_20260223_1725,32,32,24.0,0,16.0,0.16560318887757747,NEUTRAL,,0.21810744175977895,,
hurricane_john_across_southeastern_guerrero_mexico,john_gue,"Hurricane John Across Southeastern Guerrero, Mexico",hurricane,outputs/_runs/routeB16_partner_opinion_main_20260223_1725,7,7,24.0,0,72.0,0.11469235259687795,INFL,0.07709149782075107,0.7476646787558738,,
hurricane_john_southern_mexico_25_september_2024,john_sm,Hurricane John Southern Mexico 25 September 2024,hurricane,outputs/_runs/routeB16_partner_opinion_main_20260223_1725,15,15,24.0,0,168.0,0.10772159942741184,INFL,0.08043877581080847,0.7048999876094539,,
hurricane_milton_across_florida_us,milton_fl,"Hurricane Milton Across Florida, US",hurricane,outputs/_runs/routeB16_partner_opinion_main_20260223_1725,10,10,24.0,0,0.0,0.2108908765038638,INFL,0.039682968827513945,0.5572855086551796,,
moldova_flooding_2024,moldova,Moldova Flooding Sept 16 2024,flood,outputs/_runs/routeB16_partner_opinion_main_20260223_1725,28,28,24.0,0,448.0,0.06658564805383829,INFL,0.04835696583339444,0.5992365693466856,,
spain_flood,spain_flood,Spain Flood (Valencia and Castilla-La Mancha Regions),flood,outputs/_runs/routeB16_partner_opinion_main_20260223_1725,10,10,24.0,0,88.0,0.15131407343508113,INFL,0.16486129195534002,0.7838994654693396,,
the_earthquake_across_central_mexico,the_earthquake_across_,The Earthquake Across Central Mexico,earthquake,outputs/_runs/routeB16_partner_opinion_main_20260223_1725,4,4,24.0,0,32.0,0.26885269220216007,EXCLUDED_SHORT,,,,
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,"The Flooding Across Bagmati and Koshi Provinces, Nepal",flood,outputs/_runs/routeB16_partner_opinion_main_20260223_1725,15,15,24.0,0,-8.0,0.19393916150435295,EVAC,-0.05685465267245717,0.550152647270896,,
the_flooding_across_eastern_bangladesh,bangladesh_fld,The Flooding Across Eastern Bangladesh,flood,outputs/_runs/routeB16_partner_opinion_main_20260223_1725,12,12,24.0,0,232.0,0.07823141512719195,INFL,0.0611732947202712,0.4203368420358506,,
the_flooding_across_gujarat_india,gujarat_fld,"The Flooding Across Gujarat, India",flood,outputs/_runs/routeB16_partner_opinion_main_20260223_1725,8,8,24.0,0,16.0,0.11128938797973106,EVAC,-0.07136659993960054,0.7420612012333132,,
turkiye_earthquake_2023,turkiye,Turkiye Turkey Earthquake Full Country Version Feb 8 2023,earthquake,outputs/_runs/routeB16_partner_opinion_main_20260223_1725,36,36,24.0,0,16.0,0.44716643561220276,NEUTRAL,0.010860086447488296,0.4740320196559403,,
typhoon_yagi_across_northeastern_vietnam,yagi_vn,Typhoon Yagi Across Northeastern Vietnam,typhoon,outputs/_runs/routeB16_partner_opinion_main_20260223_1725,11,11,24.0,0,29.0,0.34745282608287953,EVAC,-0.5472429120883096,0.24294024462413286,,
wildfires_in_boise_county_idaho_27_august_2024,boise_fire,Wildfires In Boise County Idaho 27 August 2024,wildfire,outputs/_runs/routeB16_partner_opinion_main_20260223_1725,15,15,24.0,0,136.0,0.13766124285207226,INFL,0.04453490059936686,0.3474148996175013,,
