idx,id,collection_id,name,type,map_type,countries,date_start,date_end,download_types,hours_in_window,max_bulk_days,crisis_end_date
1,1603570647757603,1944075236187716,The Flooding Across Northwestern Colombia,Movement Between Places During Crisis,Movement Between Places During Crisis (Bing Tiles),Colombia,2026-02-03 16:00,2026-02-04 16:00,DOWNLOADABLE_CSV,8,83,1771180445
2,898288549245887,907928545062728,"Tropical Cyclone Fytia Across Analamanga and Boeny Regions, Madagascar",Movement Between Places During Crisis,Movement Between Places During Crisis (Bing Tiles),Madagascar,2026-02-03 08:00,2026-02-04 16:00,DOWNLOADABLE_CSV,8,365,1770933667
3,2400215927094863,26068107169482234,"Winter Storm Fern Across Tennessee and Kentucky, US",Movement Between Places During Crisis,Movement Between Places During Crisis (Bing Tiles),United States,2026-01-30 08:00,2026-02-04 16:00,DOWNLOADABLE_CSV,8,12,1770931889
4,2673506263006023,2161148864655958,"Winter Storm Fern Across Tennessee and Kentucky, US",Facebook Population During Crisis,Facebook Population During Crisis (Bing Tiles),United States,3000-01-01,1800-01-01,"DOWNLOADABLE_CSV, DOWNLOADABLE_GEOTIFF",8,60,1770931889
5,2383145292130335,879722138101142,"Winter Storm Fern Across Tennessee and Kentucky, US",Network Coverage Maps,Active Network Coverage,United States,2026-01-30 00:00,2026-02-01 00:00,"DOWNLOADABLE_CSV, DOWNLOADABLE_GEOTIFF",24,136,1770931889
6,761700556996705,1904795643760899,Winter Storm Fern 2026 01 27,Network Coverage Maps,Active Network Coverage,United States,3000-01-01,1800-01-01,"DOWNLOADABLE_CSV, DOWNLOADABLE_GEOTIFF",24,60,1770751137
7,1444576480719086,917493137528958,Winter Storm Fern 2026 01 27,Business Activity Trends During Crisis,Business Activity Trends During Crisis,United States,2026-01-27 00:00,2026-02-04 00:00,"DOWNLOADABLE_CSV, DOWNLOADABLE_MBTILE",24,229,1770751137
8,740801659088506,785901080461560,Winter Storm Fern 2026 01 27,Movement Between Places During Crisis,Movement Between Places During Crisis (Bing Tiles),United States,2026-01-27 08:00,2026-02-04 08:00,DOWNLOADABLE_CSV,8,3,1770751137
9,4214223752167099,2240928850011183,Storm Chandra 2026 01 27,Business Activity Trends During Crisis,Business Activity Trends During Crisis,United Kingdom,2026-01-27 00:00,2026-02-04 00:00,"DOWNLOADABLE_CSV, DOWNLOADABLE_MBTILE",24,1095,1770750942
10,1997385907487982,780541451735263,Storm Chandra 2026 01 27,Movement Between Places During Crisis,Movement Between Places During Crisis (Bing Tiles),United Kingdom,2026-01-27 16:00,2026-02-04 16:00,DOWNLOADABLE_CSV,8,14,1770750942
