slug,event_type,drop_reason_primary,n_time_windows,n_post_fit,n_total_post,near_delta_peak_windows_mean,alpha,r2
global_earthquake_model_research_2025_sep_18,INFL,analysis_alpha_nan,3,2,2,0.0320920360481641,,
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,EVAC,analysis_alpha_nan,2,1,1,-0.2710710661212674,,
hurricane_beryl_across_southeastern_texas_us,EVAC,analysis_alpha_nan,2,1,1,-0.3640016121340131,,
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,EVAC,analysis_alpha_nan,4,1,1,-0.3126373008671694,,
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,EVAC,analysis_alpha_nan,2,1,1,-0.2403061033278675,,
mountain_fire_in_california,INFL,analysis_alpha_nan,2,1,1,0.0473184836949953,,
the_earthquake_across_dhaka_division_bangladesh,INFL,analysis_alpha_nan,6,1,1,0.0563037233663674,,
the_flooding_across_antioquia_and_choc_departments_colombia,INFL,analysis_alpha_nan,2,1,1,0.1460301992932594,,
the_flooding_across_bagmati_and_koshi_provinces_nepal,NEUTRAL,analysis_alpha_nan,16,1,1,-0.0031656236369003,,
the_flooding_across_gujarat_india,EVAC,analysis_alpha_nan,9,2,2,-0.0810628631194202,,
tropical_storm_debby_united_states_pre_landfall_4_august_2024,EVAC,analysis_alpha_nan,15,1,1,-0.026552768995723,,
tropical_storm_yagi_philippines_2_september_2024,EVAC,analysis_alpha_nan,2,1,1,-0.0357711411943927,,
hurricane_melissa_10_27_2025,NEUTRAL,data_quality_missing_near_delta,6,5,5,,0.4700609854784871,0.980006933783371
hurricane_beryl_pre_landfall_2024,EVAC,data_quality_short_post_peak,2,0,0,-0.6885140280604218,,
hurricane_debby_across_florida_and_georgia_us,NEUTRAL,data_quality_short_post_peak,9,0,0,-0.0088585926308322,,
hurricane_milton_across_florida_us,INFL,data_quality_short_post_peak,1,0,0,0.1460473147730046,,
line_fire_southern_california_9_september_2024,INFL,data_quality_short_post_peak,16,0,0,0.0921181075099374,,
park_fire_2024,INFL,data_quality_short_post_peak,18,0,0,0.0525038884741125,,
the_flooding_in_benue_and_kogi_states_nigeria,INFL,data_quality_short_post_peak,8,0,0,0.1763625893595527,,
the_flooding_in_conakry_city_conakry_guinea,INFL,data_quality_short_post_peak,14,0,0,0.0201938942325247,,
tropical_storm_enteng_across_luzon_and_visayas_islands_philippines,EVAC,data_quality_short_post_peak,13,0,0,-0.0787965848430475,,
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,NEUTRAL,data_quality_short_post_peak,3,0,0,,,
typhoon_nika_across_northern_luzon_philippines,INFL,data_quality_short_post_peak,3,0,0,0.0772498379726429,,
