subset,n,spearman_rho_alpha_vs_Dinf,spearman_p_alpha_vs_Dinf
selected,18,-0.32714138286893707,0.18513284759128776
selected_r2_ge_0p8,5,-0.8999999999999998,0.03738607346849874
