t_start_hours,t_end_hours,duration_hours,n_windows
40.0,40.0,0.0,1
56.0,64.0,8.0,2
104.0,112.0,8.0,2
128.0,136.0,8.0,2
152.0,152.0,0.0,1
200.0,200.0,0.0,1
264.0,272.0,8.0,2
