slug,n_mono,t_peak_hours,alpha,route_b_selected,drop_reason_primary,drop_reason_class,r2,version
typhoon_krathon_across_taiwan,2,-13.666666666666666,,False,analysis_n_mono_lt_threshold,analysis_applicability,,old_round2
typhoon_krathon_across_taiwan,4,-13.666666666666666,0.1012997858927755,True,selected,selected,0.948745116262028,new_unified_static
